iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2016_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency
aby,Latn,aby_Latn,Aneme Wake, ,Zs,SPACE,355166,4,"2016,2018,2019,2020",279815,9867,56059,9425
aby,Latn,aby_Latn,Aneme Wake,a,Ll,LATIN SMALL LETTER A,324056,4,"2016,2018,2019,2020",262149,8322,46063,7522
aby,Latn,aby_Latn,Aneme Wake,i,Ll,LATIN SMALL LETTER I,219454,4,"2016,2018,2019,2020",178098,5222,30962,5172
aby,Latn,aby_Latn,Aneme Wake,e,Ll,LATIN SMALL LETTER E,218330,4,"2016,2018,2019,2020",171316,6341,34867,5806
aby,Latn,aby_Latn,Aneme Wake,o,Ll,LATIN SMALL LETTER O,139621,4,"2016,2018,2019,2020",110302,3754,21846,3719
aby,Latn,aby_Latn,Aneme Wake,u,Ll,LATIN SMALL LETTER U,138786,4,"2016,2018,2019,2020",113291,3409,18978,3108
aby,Latn,aby_Latn,Aneme Wake,n,Ll,LATIN SMALL LETTER N,113364,4,"2016,2018,2019,2020",89489,3036,17796,3043
aby,Latn,aby_Latn,Aneme Wake,r,Ll,LATIN SMALL LETTER R,106756,4,"2016,2018,2019,2020",82858,2953,17782,3163
aby,Latn,aby_Latn,Aneme Wake,k,Ll,LATIN SMALL LETTER K,96535,4,"2016,2018,2019,2020",78765,2459,13161,2150
aby,Latn,aby_Latn,Aneme Wake,m,Ll,LATIN SMALL LETTER M,88140,4,"2016,2018,2019,2020",70036,2404,13487,2213
aby,Latn,aby_Latn,Aneme Wake,w,Ll,LATIN SMALL LETTER W,68757,4,"2016,2018,2019,2020",55634,1696,9820,1607
aby,Latn,aby_Latn,Aneme Wake,b,Ll,LATIN SMALL LETTER B,54838,4,"2016,2018,2019,2020",43949,1439,8120,1330
aby,Latn,aby_Latn,Aneme Wake,s,Ll,LATIN SMALL LETTER S,54093,4,"2016,2018,2019,2020",40488,1737,10098,1770
aby,Latn,aby_Latn,Aneme Wake,d,Ll,LATIN SMALL LETTER D,48790,4,"2016,2018,2019,2020",38313,1271,7935,1271
aby,Latn,aby_Latn,Aneme Wake,f,Ll,LATIN SMALL LETTER F,27105,4,"2016,2018,2019,2020",21597,864,4018,626
aby,Latn,aby_Latn,Aneme Wake,y,Ll,LATIN SMALL LETTER Y,27015,4,"2016,2018,2019,2020",21705,702,3953,655
aby,Latn,aby_Latn,Aneme Wake,.,Po,FULL STOP,18883,4,"2016,2018,2019,2020",15040,533,2845,465
aby,Latn,aby_Latn,Aneme Wake,G,Lu,LATIN CAPITAL LETTER G,8923,4,"2016,2018,2019,2020",7025,222,1424,252
aby,Latn,aby_Latn,Aneme Wake,D,Lu,LATIN CAPITAL LETTER D,8660,4,"2016,2018,2019,2020",7133,187,1100,240
aby,Latn,aby_Latn,Aneme Wake,",",Po,COMMA,7212,4,"2016,2018,2019,2020",5282,187,1478,265
aby,Latn,aby_Latn,Aneme Wake,Y,Lu,LATIN CAPITAL LETTER Y,6717,4,"2016,2018,2019,2020",5376,151,993,197
aby,Latn,aby_Latn,Aneme Wake,I,Lu,LATIN CAPITAL LETTER I,6614,4,"2016,2018,2019,2020",5311,178,948,177
aby,Latn,aby_Latn,Aneme Wake,1,Nd,DIGIT ONE,6384,4,"2016,2018,2019,2020",4956,151,1097,180
