iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2022_frequency
abz,Latn,abz_Latn,Abui, ,Zs,SPACE,74564,6,"2014,2017,2018,2019,2020,2022",584,45443,25154,955,1470,958
abz,Latn,abz_Latn,Abui,a,Ll,LATIN SMALL LETTER A,61721,6,"2014,2017,2018,2019,2020,2022",586,37727,20756,762,1104,786
abz,Latn,abz_Latn,Abui,i,Ll,LATIN SMALL LETTER I,29304,6,"2014,2017,2018,2019,2020,2022",430,17903,9654,396,473,448
abz,Latn,abz_Latn,Abui,e,Ll,LATIN SMALL LETTER E,28967,6,"2014,2017,2018,2019,2020,2022",369,17544,9625,420,620,389
abz,Latn,abz_Latn,Abui,n,Ll,LATIN SMALL LETTER N,22883,6,"2014,2017,2018,2019,2020,2022",213,13757,7758,327,525,303
abz,Latn,abz_Latn,Abui,h,Ll,LATIN SMALL LETTER H,19277,6,"2014,2017,2018,2019,2020,2022",2,11955,6405,294,394,227
abz,Latn,abz_Latn,Abui,m,Ll,LATIN SMALL LETTER M,15093,6,"2014,2017,2018,2019,2020,2022",249,9200,5155,132,186,171
abz,Latn,abz_Latn,Abui,o,Ll,LATIN SMALL LETTER O,14529,6,"2014,2017,2018,2019,2020,2022",207,8542,5036,157,358,229
abz,Latn,abz_Latn,Abui,l,Ll,LATIN SMALL LETTER L,14499,6,"2014,2017,2018,2019,2020,2022",198,8791,4776,167,358,209
abz,Latn,abz_Latn,Abui,u,Ll,LATIN SMALL LETTER U,13745,6,"2014,2017,2018,2019,2020,2022",45,8350,4716,175,250,209
abz,Latn,abz_Latn,Abui,d,Ll,LATIN SMALL LETTER D,11637,6,"2014,2017,2018,2019,2020,2022",199,7143,3721,187,267,120
abz,Latn,abz_Latn,Abui,g,Ll,LATIN SMALL LETTER G,11471,6,"2014,2017,2018,2019,2020,2022",169,6799,3938,159,257,149
