iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2016_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
aca,Latn,aca_Latn,Achagua,a,Ll,LATIN SMALL LETTER A,116360,4,"2016,2022,2023,2024",99727,3451,9485,3697
aca,Latn,aca_Latn,Achagua, ,Zs,SPACE,99431,4,"2016,2022,2023,2024",84874,3146,8372,3039
aca,Latn,aca_Latn,Achagua,i,Ll,LATIN SMALL LETTER I,82240,4,"2016,2022,2023,2024",70393,2471,6798,2578
aca,Latn,aca_Latn,Achagua,n,Ll,LATIN SMALL LETTER N,55834,4,"2016,2022,2023,2024",48052,1562,4585,1635
aca,Latn,aca_Latn,Achagua,á,Ll,LATIN SMALL LETTER A WITH ACUTE,46787,4,"2016,2022,2023,2024",40102,1393,3815,1477
aca,Latn,aca_Latn,Achagua,c,Ll,LATIN SMALL LETTER C,40243,4,"2016,2022,2023,2024",34435,1161,3363,1284
aca,Latn,aca_Latn,Achagua,e,Ll,LATIN SMALL LETTER E,36857,4,"2016,2022,2023,2024",31733,1005,3255,864
aca,Latn,aca_Latn,Achagua,u,Ll,LATIN SMALL LETTER U,29580,4,"2016,2022,2023,2024",25137,1030,2491,922
aca,Latn,aca_Latn,Achagua,r,Ll,LATIN SMALL LETTER R,28347,4,"2016,2022,2023,2024",24211,925,2481,730
aca,Latn,aca_Latn,Achagua,l,Ll,LATIN SMALL LETTER L,27206,4,"2016,2022,2023,2024",23330,883,2249,744
aca,Latn,aca_Latn,Achagua,w,Ll,LATIN SMALL LETTER W,19295,4,"2016,2022,2023,2024",16478,600,1489,728
aca,Latn,aca_Latn,Achagua,s,Ll,LATIN SMALL LETTER S,17005,4,"2016,2022,2023,2024",14513,564,1427,501
aca,Latn,aca_Latn,Achagua,í,Ll,LATIN SMALL LETTER I WITH ACUTE,15894,4,"2016,2022,2023,2024",13523,525,1414,432
aca,Latn,aca_Latn,Achagua,é,Ll,LATIN SMALL LETTER E WITH ACUTE,14990,4,"2016,2022,2023,2024",12884,452,1184,470
aca,Latn,aca_Latn,Achagua,m,Ll,LATIN SMALL LETTER M,14506,4,"2016,2022,2023,2024",12385,423,1268,430
aca,Latn,aca_Latn,Achagua,j,Ll,LATIN SMALL LETTER J,14503,4,"2016,2022,2023,2024",12436,477,1143,447
aca,Latn,aca_Latn,Achagua,o,Ll,LATIN SMALL LETTER O,14245,4,"2016,2022,2023,2024",12222,422,1196,405
aca,Latn,aca_Latn,Achagua,',Po,APOSTROPHE,13168,4,"2016,2022,2023,2024",11274,394,1108,392
aca,Latn,aca_Latn,Achagua,h,Ll,LATIN SMALL LETTER H,12903,4,"2016,2022,2023,2024",11102,346,1045,410
aca,Latn,aca_Latn,Achagua,t,Ll,LATIN SMALL LETTER T,12721,4,"2016,2022,2023,2024",10859,420,1041,401
aca,Latn,aca_Latn,Achagua,y,Ll,LATIN SMALL LETTER Y,12648,4,"2016,2022,2023,2024",10769,420,954,505
aca,Latn,aca_Latn,Achagua,b,Ll,LATIN SMALL LETTER B,10771,4,"2016,2022,2023,2024",9355,265,922,229
aca,Latn,aca_Latn,Achagua,",",Po,COMMA,10031,4,"2016,2022,2023,2024",8604,307,764,356
aca,Latn,aca_Latn,Achagua,d,Ll,LATIN SMALL LETTER D,8697,4,"2016,2022,2023,2024",7462,245,692,298
aca,Latn,aca_Latn,Achagua,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,7587,4,"2016,2022,2023,2024",6465,176,761,185
aca,Latn,aca_Latn,Achagua,.,Po,FULL STOP,5481,4,"2016,2022,2023,2024",4660,182,469,170
aca,Latn,aca_Latn,Achagua,q,Ll,LATIN SMALL LETTER Q,4877,4,"2016,2022,2023,2024",4084,187,368,238
aca,Latn,aca_Latn,Achagua,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,4742,4,"2016,2022,2023,2024",4072,120,382,168
