iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2022_frequency,year_2023_frequency
adj,Latn,adj_Latn,Adioukrou, ,Zs,SPACE,351986,6,"2013,2017,2018,2019,2022,2023",2117,63,270045,920,24736,54105
adj,Latn,adj_Latn,Adioukrou,a,Ll,LATIN SMALL LETTER A,111404,6,"2013,2017,2018,2019,2022,2023",639,22,85567,280,7772,17124
adj,Latn,adj_Latn,Adioukrou,e,Ll,LATIN SMALL LETTER E,99981,6,"2013,2017,2018,2019,2022,2023",565,18,76491,278,7346,15283
adj,Latn,adj_Latn,Adioukrou,ɛ,Ll,LATIN SMALL LETTER OPEN E,85976,6,"2013,2017,2018,2019,2022,2023",480,12,66563,254,5777,12890
adj,Latn,adj_Latn,Adioukrou,m,Ll,LATIN SMALL LETTER M,66111,6,"2013,2017,2018,2019,2022,2023",321,10,50582,134,4792,10272
adj,Latn,adj_Latn,Adioukrou,n,Ll,LATIN SMALL LETTER N,62559,6,"2013,2017,2018,2019,2022,2023",385,13,48137,161,4462,9401
adj,Latn,adj_Latn,Adioukrou,l,Ll,LATIN SMALL LETTER L,62436,6,"2013,2017,2018,2019,2022,2023",345,5,48003,170,4417,9496
adj,Latn,adj_Latn,Adioukrou,k,Ll,LATIN SMALL LETTER K,58537,6,"2013,2017,2018,2019,2022,2023",291,14,44566,147,4147,9372
adj,Latn,adj_Latn,Adioukrou,i,Ll,LATIN SMALL LETTER I,54051,6,"2013,2017,2018,2019,2022,2023",315,4,41397,177,3813,8345
adj,Latn,adj_Latn,Adioukrou,ŋ,Ll,LATIN SMALL LETTER ENG,47677,6,"2013,2017,2018,2019,2022,2023",297,14,36587,111,3230,7438
adj,Latn,adj_Latn,Adioukrou,ʼ,Lm,MODIFIER LETTER APOSTROPHE,47511,4,"2018,2019,2022,2023",0,0,36219,122,3417,7753
adj,Latn,adj_Latn,Adioukrou,s,Ll,LATIN SMALL LETTER S,44848,6,"2013,2017,2018,2019,2022,2023",236,4,34323,141,3291,6853
adj,Latn,adj_Latn,Adioukrou,b,Ll,LATIN SMALL LETTER B,42758,6,"2013,2017,2018,2019,2022,2023",253,3,32970,103,2700,6729
adj,Latn,adj_Latn,Adioukrou,o,Ll,LATIN SMALL LETTER O,39621,6,"2013,2017,2018,2019,2022,2023",227,8,30437,91,2463,6395
adj,Latn,adj_Latn,Adioukrou,y,Ll,LATIN SMALL LETTER Y,38371,6,"2013,2017,2018,2019,2022,2023",210,7,29364,82,2706,6002
adj,Latn,adj_Latn,Adioukrou,w,Ll,LATIN SMALL LETTER W,35125,6,"2013,2017,2018,2019,2022,2023",169,5,26970,93,2383,5505
adj,Latn,adj_Latn,Adioukrou,ↄ,Ll,LATIN SMALL LETTER REVERSED C,30526,4,"2018,2019,2022,2023",0,0,23186,60,2274,5006
adj,Latn,adj_Latn,Adioukrou,u,Ll,LATIN SMALL LETTER U,30504,6,"2013,2017,2018,2019,2022,2023",217,4,23622,74,2068,4519
adj,Latn,adj_Latn,Adioukrou,r,Ll,LATIN SMALL LETTER R,29718,6,"2013,2017,2018,2019,2022,2023",152,4,22596,82,2195,4689
adj,Latn,adj_Latn,Adioukrou,g,Ll,LATIN SMALL LETTER G,23930,6,"2013,2017,2018,2019,2022,2023",166,3,18665,44,1362,3690
adj,Latn,adj_Latn,Adioukrou,c,Ll,LATIN SMALL LETTER C,20990,6,"2013,2017,2018,2019,2022,2023",97,3,16116,60,1472,3242
adj,Latn,adj_Latn,Adioukrou,",",Po,COMMA,20091,6,"2013,2017,2018,2019,2022,2023",105,5,15326,40,1447,3168
adj,Latn,adj_Latn,Adioukrou,t,Ll,LATIN SMALL LETTER T,17235,6,"2013,2017,2018,2019,2022,2023",107,3,13108,57,1317,2643
adj,Latn,adj_Latn,Adioukrou,d,Ll,LATIN SMALL LETTER D,15582,6,"2013,2017,2018,2019,2022,2023",171,6,12285,55,734,2331
adj,Latn,adj_Latn,Adioukrou,.,Po,FULL STOP,14691,6,"2013,2017,2018,2019,2022,2023",92,3,11073,66,1169,2288
adj,Latn,adj_Latn,Adioukrou,f,Ll,LATIN SMALL LETTER F,11621,6,"2013,2017,2018,2019,2022,2023",49,4,8996,32,753,1787
adj,Latn,adj_Latn,Adioukrou,j,Ll,LATIN SMALL LETTER J,9474,5,"2013,2018,2019,2022,2023",66,0,7413,19,533,1443
adj,Latn,adj_Latn,Adioukrou,N,Lu,LATIN CAPITAL LETTER N,6427,6,"2013,2017,2018,2019,2022,2023",24,2,4761,11,627,1002
adj,Latn,adj_Latn,Adioukrou,1,Nd,DIGIT ONE,5639,6,"2013,2017,2018,2019,2022,2023",25,1,4229,30,467,887
adj,Latn,adj_Latn,Adioukrou,-,Pd,HYPHEN-MINUS,5194,5,"2013,2018,2019,2022,2023",39,0,4056,27,270,802
adj,Latn,adj_Latn,Adioukrou,Ɛ,Lu,LATIN CAPITAL LETTER OPEN E,5098,5,"2013,2018,2019,2022,2023",34,0,3957,9,364,734
adj,Latn,adj_Latn,Adioukrou,J,Lu,LATIN CAPITAL LETTER J,4770,6,"2013,2017,2018,2019,2022,2023",48,1,3835,24,327,535
adj,Latn,adj_Latn,Adioukrou,K,Lu,LATIN CAPITAL LETTER K,4481,5,"2013,2018,2019,2022,2023",17,0,3292,6,468,698
adj,Latn,adj_Latn,Adioukrou,p,Ll,LATIN SMALL LETTER P,4112,6,"2013,2017,2018,2019,2022,2023",42,1,3156,18,252,643
adj,Latn,adj_Latn,Adioukrou,:,Po,COLON,3860,6,"2013,2017,2018,2019,2022,2023",41,1,3231,14,130,443
adj,Latn,adj_Latn,Adioukrou,2,Nd,DIGIT TWO,3852,5,"2013,2018,2019,2022,2023",19,0,2912,23,233,665
adj,Latn,adj_Latn,Adioukrou,L,Lu,LATIN CAPITAL LETTER L,2663,5,"2013,2018,2019,2022,2023",15,0,2042,10,188,408
adj,Latn,adj_Latn,Adioukrou,3,Nd,DIGIT THREE,2639,6,"2013,2017,2018,2019,2022,2023",16,1,2014,7,126,475
adj,Latn,adj_Latn,Adioukrou,A,Lu,LATIN CAPITAL LETTER A,2463,5,"2013,2018,2019,2022,2023",21,0,1816,4,207,415
adj,Latn,adj_Latn,Adioukrou,E,Lu,LATIN CAPITAL LETTER E,2328,5,"2013,2018,2019,2022,2023",38,0,1752,26,131,381
