iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
aeb,Arab,aeb_Arab,Tunisian Arabic, ,Zs,SPACE,8580556,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",93157,223021,159358,1077875,1697061,913351,737791,719494,789134,829265,1034671,306378
aeb,Arab,aeb_Arab,Tunisian Arabic,ا,Lo,ARABIC LETTER ALEF,5183991,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",66426,123131,85584,595505,1041114,572301,465256,407634,470724,498543,662386,195387
aeb,Arab,aeb_Arab,Tunisian Arabic,ل,Lo,ARABIC LETTER LAM,3913688,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",76703,100709,66951,512019,743693,447210,395641,314990,330811,352331,436974,135656
aeb,Arab,aeb_Arab,Tunisian Arabic,ي,Lo,ARABIC LETTER YEH,2986001,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",19127,69853,45076,370313,589872,317689,251185,252546,276760,284029,394334,115217
aeb,Arab,aeb_Arab,Tunisian Arabic,م,Lo,ARABIC LETTER MEEM,2329709,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",30152,36384,32193,297318,511441,250402,214337,184630,200631,216212,273750,82259
aeb,Arab,aeb_Arab,Tunisian Arabic,و,Lo,ARABIC LETTER WAW,2303567,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13999,38710,40238,277712,479029,256455,192230,194030,210236,214559,298707,87662
aeb,Arab,aeb_Arab,Tunisian Arabic,ن,Lo,ARABIC LETTER NOON,1875741,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",20536,36149,30077,230133,366494,198217,152323,157956,172643,191525,246311,73377
aeb,Arab,aeb_Arab,Tunisian Arabic,ر,Lo,ARABIC LETTER REH,1549586,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9423,37447,24772,190736,305309,162086,135242,131124,143702,149411,202999,57335
aeb,Arab,aeb_Arab,Tunisian Arabic,ت,Lo,ARABIC LETTER TEH,1532525,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15268,35160,28074,159345,287849,152554,128321,132220,147411,157932,219618,68773
aeb,Arab,aeb_Arab,Tunisian Arabic,ب,Lo,ARABIC LETTER BEH,1378710,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7811,50524,19317,166867,271521,158280,115595,113394,124938,127420,173129,49914
aeb,Arab,aeb_Arab,Tunisian Arabic,ه,Lo,ARABIC LETTER HEH,1243589,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9064,29076,18495,224142,249999,114410,84225,85818,103375,126655,158173,40157
aeb,Arab,aeb_Arab,Tunisian Arabic,ع,Lo,ARABIC LETTER AIN,1220074,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7436,27127,17469,175564,242216,128071,94040,98545,115734,115845,152509,45518
aeb,Arab,aeb_Arab,Tunisian Arabic,س,Lo,ARABIC LETTER SEEN,1051648,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4796,19006,13886,196194,190681,117806,110418,79470,82944,84392,118490,33565
aeb,Arab,aeb_Arab,Tunisian Arabic,ك,Lo,ARABIC LETTER KAF,986212,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6638,15538,12835,119056,186546,110817,82785,84937,92742,107776,131407,35135
aeb,Arab,aeb_Arab,Tunisian Arabic,ف,Lo,ARABIC LETTER FEH,958119,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6984,24429,17310,126858,211576,98163,76127,74654,81398,88363,118139,34118
aeb,Arab,aeb_Arab,Tunisian Arabic,ة,Lo,ARABIC LETTER TEH MARBUTA,951661,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7216,20236,14892,86415,174933,105169,122070,81130,80494,96491,124805,37810
aeb,Arab,aeb_Arab,Tunisian Arabic,د,Lo,ARABIC LETTER DAL,951229,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10305,29145,15012,118403,187580,98851,77152,75352,85349,93587,124239,36254
aeb,Arab,aeb_Arab,Tunisian Arabic,ح,Lo,ARABIC LETTER HAH,836045,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5399,14100,11151,122108,150009,93887,82508,65604,72543,85997,103483,29256
aeb,Arab,aeb_Arab,Tunisian Arabic,ق,Lo,ARABIC LETTER QAF,745728,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4743,14575,10131,95319,144040,87799,71482,63466,64517,69958,91345,28353
aeb,Arab,aeb_Arab,Tunisian Arabic,ش,Lo,ARABIC LETTER SHEEN,584850,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4754,11939,6777,58801,117229,69696,49522,51691,55985,57169,78899,22388
