iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2019_frequency
aia,Latn,aia_Latn,Arosi,a,Ll,LATIN SMALL LETTER A,227411,2,"2017,2019",684,226727
aia,Latn,aia_Latn,Arosi, ,Zs,SPACE,171566,2,"2017,2019",495,171071
aia,Latn,aia_Latn,Arosi,i,Ll,LATIN SMALL LETTER I,116080,2,"2017,2019",266,115814
aia,Latn,aia_Latn,Arosi,',Po,APOSTROPHE,76959,2,"2017,2019",171,76788
aia,Latn,aia_Latn,Arosi,n,Ll,LATIN SMALL LETTER N,59505,2,"2017,2019",192,59313
aia,Latn,aia_Latn,Arosi,o,Ll,LATIN SMALL LETTER O,54095,2,"2017,2019",116,53979
aia,Latn,aia_Latn,Arosi,u,Ll,LATIN SMALL LETTER U,48651,2,"2017,2019",90,48561
aia,Latn,aia_Latn,Arosi,r,Ll,LATIN SMALL LETTER R,48585,2,"2017,2019",108,48477
aia,Latn,aia_Latn,Arosi,h,Ll,LATIN SMALL LETTER H,32490,2,"2017,2019",58,32432
aia,Latn,aia_Latn,Arosi,e,Ll,LATIN SMALL LETTER E,30576,2,"2017,2019",115,30461
aia,Latn,aia_Latn,Arosi,m,Ll,LATIN SMALL LETTER M,29943,2,"2017,2019",111,29832
aia,Latn,aia_Latn,Arosi,s,Ll,LATIN SMALL LETTER S,21355,2,"2017,2019",68,21287
aia,Latn,aia_Latn,Arosi,t,Ll,LATIN SMALL LETTER T,20051,2,"2017,2019",52,19999
aia,Latn,aia_Latn,Arosi,d,Ll,LATIN SMALL LETTER D,15032,2,"2017,2019",49,14983
aia,Latn,aia_Latn,Arosi,g,Ll,LATIN SMALL LETTER G,14634,2,"2017,2019",24,14610
aia,Latn,aia_Latn,Arosi,w,Ll,LATIN SMALL LETTER W,10285,2,"2017,2019",16,10269
aia,Latn,aia_Latn,Arosi,.,Po,FULL STOP,10063,2,"2017,2019",25,10038
aia,Latn,aia_Latn,Arosi,b,Ll,LATIN SMALL LETTER B,9371,2,"2017,2019",40,9331
aia,Latn,aia_Latn,Arosi,",",Po,COMMA,8650,2,"2017,2019",51,8599
aia,Latn,aia_Latn,Arosi,M,Lu,LATIN CAPITAL LETTER M,4985,2,"2017,2019",17,4968
aia,Latn,aia_Latn,Arosi,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,3845,1,2019,0,3845
aia,Latn,aia_Latn,Arosi,1,Nd,DIGIT ONE,3421,2,"2017,2019",13,3408
