iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency,year_2023_frequency,year_2024_frequency
ajz,Latn,ajz_Latn,Amri Karbi, ,Zs,SPACE,1173,3,"2019,2023,2024",510,334,329
ajz,Latn,ajz_Latn,Amri Karbi,a,Ll,LATIN SMALL LETTER A,821,3,"2019,2023,2024",349,211,261
ajz,Latn,ajz_Latn,Amri Karbi,n,Ll,LATIN SMALL LETTER N,529,3,"2019,2023,2024",172,172,185
ajz,Latn,ajz_Latn,Amri Karbi,o,Ll,LATIN SMALL LETTER O,484,3,"2019,2023,2024",298,93,93
ajz,Latn,ajz_Latn,Amri Karbi,i,Ll,LATIN SMALL LETTER I,401,3,"2019,2023,2024",148,158,95
ajz,Latn,ajz_Latn,Amri Karbi,p,Ll,LATIN SMALL LETTER P,379,3,"2019,2023,2024",198,95,86
ajz,Latn,ajz_Latn,Amri Karbi,e,Ll,LATIN SMALL LETTER E,329,3,"2019,2023,2024",162,80,87
ajz,Latn,ajz_Latn,Amri Karbi,k,Ll,LATIN SMALL LETTER K,276,3,"2019,2023,2024",118,96,62
ajz,Latn,ajz_Latn,Amri Karbi,h,Ll,LATIN SMALL LETTER H,252,3,"2019,2023,2024",87,85,80
ajz,Latn,ajz_Latn,Amri Karbi,g,Ll,LATIN SMALL LETTER G,247,3,"2019,2023,2024",83,77,87
ajz,Latn,ajz_Latn,Amri Karbi,l,Ll,LATIN SMALL LETTER L,242,3,"2019,2023,2024",94,68,80
ajz,Latn,ajz_Latn,Amri Karbi,r,Ll,LATIN SMALL LETTER R,207,3,"2019,2023,2024",87,59,61
ajz,Latn,ajz_Latn,Amri Karbi,t,Ll,LATIN SMALL LETTER T,183,3,"2019,2023,2024",63,74,46
ajz,Latn,ajz_Latn,Amri Karbi,s,Ll,LATIN SMALL LETTER S,165,3,"2019,2023,2024",108,31,26
ajz,Latn,ajz_Latn,Amri Karbi,m,Ll,LATIN SMALL LETTER M,132,3,"2019,2023,2024",52,49,31
ajz,Latn,ajz_Latn,Amri Karbi,u,Ll,LATIN SMALL LETTER U,131,3,"2019,2023,2024",49,44,38
ajz,Latn,ajz_Latn,Amri Karbi,d,Ll,LATIN SMALL LETTER D,87,3,"2019,2023,2024",24,30,33
ajz,Latn,ajz_Latn,Amri Karbi,b,Ll,LATIN SMALL LETTER B,76,3,"2019,2023,2024",38,17,21
ajz,Latn,ajz_Latn,Amri Karbi,y,Ll,LATIN SMALL LETTER Y,68,3,"2019,2023,2024",52,10,6
ajz,Latn,ajz_Latn,Amri Karbi,.,Po,FULL STOP,60,3,"2019,2023,2024",16,24,20
ajz,Latn,ajz_Latn,Amri Karbi,A,Lu,LATIN CAPITAL LETTER A,57,3,"2019,2023,2024",30,24,3
ajz,Latn,ajz_Latn,Amri Karbi,J,Lu,LATIN CAPITAL LETTER J,43,3,"2019,2023,2024",37,2,4
ajz,Latn,ajz_Latn,Amri Karbi,j,Ll,LATIN SMALL LETTER J,42,3,"2019,2023,2024",23,3,16
ajz,Latn,ajz_Latn,Amri Karbi,c,Ll,LATIN SMALL LETTER C,41,3,"2019,2023,2024",16,14,11
ajz,Latn,ajz_Latn,Amri Karbi,w,Ll,LATIN SMALL LETTER W,35,3,"2019,2023,2024",11,9,15
ajz,Latn,ajz_Latn,Amri Karbi,;,Po,SEMICOLON,34,1,2019,34,0,0
ajz,Latn,ajz_Latn,Amri Karbi,",",Po,COMMA,31,2,"2019,2024",29,0,2
ajz,Latn,ajz_Latn,Amri Karbi,0,Nd,DIGIT ZERO,29,3,"2019,2023,2024",2,2,25
ajz,Latn,ajz_Latn,Amri Karbi,-,Pd,HYPHEN-MINUS,29,3,"2019,2023,2024",20,5,4
ajz,Latn,ajz_Latn,Amri Karbi,K,Lu,LATIN CAPITAL LETTER K,27,3,"2019,2023,2024",8,15,4
ajz,Latn,ajz_Latn,Amri Karbi,2,Nd,DIGIT TWO,21,3,"2019,2023,2024",11,7,3
ajz,Latn,ajz_Latn,Amri Karbi,1,Nd,DIGIT ONE,20,3,"2019,2023,2024",15,2,3
ajz,Latn,ajz_Latn,Amri Karbi,L,Lu,LATIN CAPITAL LETTER L,16,3,"2019,2023,2024",5,5,6
ajz,Latn,ajz_Latn,Amri Karbi,M,Lu,LATIN CAPITAL LETTER M,15,3,"2019,2023,2024",12,2,1
ajz,Latn,ajz_Latn,Amri Karbi,H,Lu,LATIN CAPITAL LETTER H,14,3,"2019,2023,2024",7,3,4
ajz,Latn,ajz_Latn,Amri Karbi,B,Lu,LATIN CAPITAL LETTER B,11,3,"2019,2023,2024",6,4,1
ajz,Latn,ajz_Latn,Amri Karbi,I,Lu,LATIN CAPITAL LETTER I,11,3,"2019,2023,2024",1,6,4
ajz,Latn,ajz_Latn,Amri Karbi,N,Lu,LATIN CAPITAL LETTER N,10,3,"2019,2023,2024",2,2,6
ajz,Latn,ajz_Latn,Amri Karbi,S,Lu,LATIN CAPITAL LETTER S,9,2,"2019,2024",8,0,1
ajz,Latn,ajz_Latn,Amri Karbi,D,Lu,LATIN CAPITAL LETTER D,9,2,"2019,2024",6,0,3
ajz,Latn,ajz_Latn,Amri Karbi,3,Nd,DIGIT THREE,9,2,"2019,2023",6,3,0
ajz,Latn,ajz_Latn,Amri Karbi,E,Lu,LATIN CAPITAL LETTER E,9,2,"2019,2024",6,0,3
