iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
aln,Latn,aln_Latn,Gheg Albanian, ,Zs,SPACE,373284,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5263,597,2164,5344,20425,106892,114938,48446,36345,27159,5711
aln,Latn,aln_Latn,Gheg Albanian,e,Ll,LATIN SMALL LETTER E,179428,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2302,342,1040,2818,8739,53809,57502,21070,16898,12011,2897
aln,Latn,aln_Latn,Gheg Albanian,a,Ll,LATIN SMALL LETTER A,119725,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1646,246,721,1745,6249,35167,37230,15129,10962,8722,1908
aln,Latn,aln_Latn,Gheg Albanian,t,Ll,LATIN SMALL LETTER T,103375,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1623,151,688,1540,6449,27117,28868,15149,11766,8270,1754
aln,Latn,aln_Latn,Gheg Albanian,i,Ll,LATIN SMALL LETTER I,93013,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1582,92,600,1366,5909,24006,25060,14221,10713,8029,1435
aln,Latn,aln_Latn,Gheg Albanian,n,Ll,LATIN SMALL LETTER N,88573,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1348,125,595,1300,5406,25102,26162,12145,8565,6425,1400
aln,Latn,aln_Latn,Gheg Albanian,r,Ll,LATIN SMALL LETTER R,83607,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1387,124,465,1160,5458,21363,22673,12772,9211,7553,1441
aln,Latn,aln_Latn,Gheg Albanian,s,Ll,LATIN SMALL LETTER S,79661,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1189,104,434,1166,4252,22323,24554,10043,8382,6047,1167
aln,Latn,aln_Latn,Gheg Albanian,m,Ll,LATIN SMALL LETTER M,74568,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",893,107,233,1018,3576,23475,26190,8362,5426,4182,1106
aln,Latn,aln_Latn,Gheg Albanian,h,Ll,LATIN SMALL LETTER H,70357,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",946,87,377,1134,3701,19569,21544,9069,7597,5342,991
aln,Latn,aln_Latn,Gheg Albanian,u,Ll,LATIN SMALL LETTER U,64124,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",919,120,299,918,3484,18804,20399,7901,5947,4330,1003
aln,Latn,aln_Latn,Gheg Albanian,o,Ll,LATIN SMALL LETTER O,58848,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",847,91,273,903,3336,16867,18862,7276,5694,3810,889
