iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
alp,Latn,alp_Latn,Alune, ,Zs,SPACE,232225,6,"2018,2019,2021,2022,2023,2024",206276,3522,9524,10154,141,2608
alp,Latn,alp_Latn,Alune,e,Ll,LATIN SMALL LETTER E,199815,6,"2018,2019,2021,2022,2023,2024",177713,2897,8544,8412,122,2127
alp,Latn,alp_Latn,Alune,a,Ll,LATIN SMALL LETTER A,145701,6,"2018,2019,2021,2022,2023,2024",129889,2104,6072,6039,89,1508
alp,Latn,alp_Latn,Alune,i,Ll,LATIN SMALL LETTER I,104517,6,"2018,2019,2021,2022,2023,2024",92981,1820,3943,4518,62,1193
alp,Latn,alp_Latn,Alune,k,Ll,LATIN SMALL LETTER K,71283,6,"2018,2019,2021,2022,2023,2024",63526,1088,2824,3047,45,753
alp,Latn,alp_Latn,Alune,l,Ll,LATIN SMALL LETTER L,66234,6,"2018,2019,2021,2022,2023,2024",58772,1072,2715,2857,52,766
alp,Latn,alp_Latn,Alune,u,Ll,LATIN SMALL LETTER U,62806,6,"2018,2019,2021,2022,2023,2024",55695,776,2674,3026,51,584
alp,Latn,alp_Latn,Alune,t,Ll,LATIN SMALL LETTER T,54796,6,"2018,2019,2021,2022,2023,2024",48884,862,2177,2285,23,565
alp,Latn,alp_Latn,Alune,s,Ll,LATIN SMALL LETTER S,54010,6,"2018,2019,2021,2022,2023,2024",48212,821,2088,2315,43,531
alp,Latn,alp_Latn,Alune,m,Ll,LATIN SMALL LETTER M,50080,6,"2018,2019,2021,2022,2023,2024",44559,843,2016,2065,29,568
alp,Latn,alp_Latn,Alune,n,Ll,LATIN SMALL LETTER N,48277,6,"2018,2019,2021,2022,2023,2024",42988,658,2272,1775,29,555
alp,Latn,alp_Latn,Alune,o,Ll,LATIN SMALL LETTER O,47808,6,"2018,2019,2021,2022,2023,2024",42252,764,2167,2026,21,578
alp,Latn,alp_Latn,Alune,r,Ll,LATIN SMALL LETTER R,38070,6,"2018,2019,2021,2022,2023,2024",34095,514,1491,1525,10,435
alp,Latn,alp_Latn,Alune,b,Ll,LATIN SMALL LETTER B,25180,6,"2018,2019,2021,2022,2023,2024",22531,301,1083,1010,10,245
alp,Latn,alp_Latn,Alune,p,Ll,LATIN SMALL LETTER P,18814,6,"2018,2019,2021,2022,2023,2024",16938,250,576,831,16,203
alp,Latn,alp_Latn,Alune,.,Po,FULL STOP,13800,6,"2018,2019,2021,2022,2023,2024",12177,237,612,593,11,170
alp,Latn,alp_Latn,Alune,h,Ll,LATIN SMALL LETTER H,10868,6,"2018,2019,2021,2022,2023,2024",9506,191,621,432,4,114
alp,Latn,alp_Latn,Alune,",",Po,COMMA,9741,6,"2018,2019,2021,2022,2023,2024",8721,129,367,400,3,121
alp,Latn,alp_Latn,Alune,A,Lu,LATIN CAPITAL LETTER A,8936,6,"2018,2019,2021,2022,2023,2024",7929,125,353,409,3,117
alp,Latn,alp_Latn,Alune,I,Lu,LATIN CAPITAL LETTER I,8559,6,"2018,2019,2021,2022,2023,2024",7734,148,303,255,8,111
alp,Latn,alp_Latn,Alune,1,Nd,DIGIT ONE,5772,6,"2018,2019,2021,2022,2023,2024",5178,83,252,191,1,67
alp,Latn,alp_Latn,Alune,w,Ll,LATIN SMALL LETTER W,5589,6,"2018,2019,2021,2022,2023,2024",4906,82,286,194,6,115
alp,Latn,alp_Latn,Alune,E,Lu,LATIN CAPITAL LETTER E,5038,6,"2018,2019,2021,2022,2023,2024",4565,63,122,222,6,60
alp,Latn,alp_Latn,Alune,d,Ll,LATIN SMALL LETTER D,4590,6,"2018,2019,2021,2022,2023,2024",4069,83,190,189,5,54
alp,Latn,alp_Latn,Alune,K,Lu,LATIN CAPITAL LETTER K,4450,5,"2018,2019,2021,2022,2024",3967,76,174,181,0,52
alp,Latn,alp_Latn,Alune,j,Ll,LATIN SMALL LETTER J,4103,6,"2018,2019,2021,2022,2023,2024",3648,53,165,182,7,48
alp,Latn,alp_Latn,Alune,Y,Lu,LATIN CAPITAL LETTER Y,3901,6,"2018,2019,2021,2022,2023,2024",3435,47,161,225,3,30
alp,Latn,alp_Latn,Alune,2,Nd,DIGIT TWO,3550,6,"2018,2019,2021,2022,2023,2024",3200,54,95,167,1,33
alp,Latn,alp_Latn,Alune,T,Lu,LATIN CAPITAL LETTER T,2901,6,"2018,2019,2021,2022,2023,2024",2564,76,141,98,2,20
alp,Latn,alp_Latn,Alune,y,Ll,LATIN SMALL LETTER Y,2877,6,"2018,2019,2021,2022,2023,2024",2415,56,270,94,4,38
alp,Latn,alp_Latn,Alune,P,Lu,LATIN CAPITAL LETTER P,2555,6,"2018,2019,2021,2022,2023,2024",2184,36,107,203,1,24
alp,Latn,alp_Latn,Alune,M,Lu,LATIN CAPITAL LETTER M,2390,6,"2018,2019,2021,2022,2023,2024",2155,33,96,93,1,12
alp,Latn,alp_Latn,Alune,3,Nd,DIGIT THREE,2198,5,"2018,2019,2021,2022,2024",1993,28,51,111,0,15
