iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
aly,Latn,aly_Latn,Alyawarr,e,Ll,LATIN SMALL LETTER E,213848,5,"2013,2021,2022,2023,2024",199,177524,2312,224,33589
aly,Latn,aly_Latn,Alyawarr,r,Ll,LATIN SMALL LETTER R,154513,5,"2013,2021,2022,2023,2024",164,127649,1780,187,24733
aly,Latn,aly_Latn,Alyawarr,a,Ll,LATIN SMALL LETTER A,151621,5,"2013,2021,2022,2023,2024",141,124666,1663,190,24961
aly,Latn,aly_Latn,Alyawarr, ,Zs,SPACE,142457,5,"2013,2021,2022,2023,2024",137,118851,1467,228,21774
aly,Latn,aly_Latn,Alyawarr,n,Ll,LATIN SMALL LETTER N,140755,5,"2013,2021,2022,2023,2024",140,115730,1531,176,23178
aly,Latn,aly_Latn,Alyawarr,t,Ll,LATIN SMALL LETTER T,70703,5,"2013,2021,2022,2023,2024",55,58892,827,87,10842
aly,Latn,aly_Latn,Alyawarr,l,Ll,LATIN SMALL LETTER L,62217,5,"2013,2021,2022,2023,2024",65,51538,631,89,9894
aly,Latn,aly_Latn,Alyawarr,k,Ll,LATIN SMALL LETTER K,61191,5,"2013,2021,2022,2023,2024",61,52609,566,70,7885
aly,Latn,aly_Latn,Alyawarr,w,Ll,LATIN SMALL LETTER W,60216,5,"2013,2021,2022,2023,2024",42,48530,636,48,10960
aly,Latn,aly_Latn,Alyawarr,h,Ll,LATIN SMALL LETTER H,59279,5,"2013,2021,2022,2023,2024",40,49333,648,52,9206
aly,Latn,aly_Latn,Alyawarr,y,Ll,LATIN SMALL LETTER Y,58108,5,"2013,2021,2022,2023,2024",45,47925,637,62,9439
aly,Latn,aly_Latn,Alyawarr,-,Pd,HYPHEN-MINUS,51641,5,"2013,2021,2022,2023,2024",38,43003,555,37,8008
aly,Latn,aly_Latn,Alyawarr,m,Ll,LATIN SMALL LETTER M,36649,5,"2013,2021,2022,2023,2024",42,30184,374,57,5992
aly,Latn,aly_Latn,Alyawarr,g,Ll,LATIN SMALL LETTER G,34304,5,"2013,2021,2022,2023,2024",30,28542,359,47,5326
aly,Latn,aly_Latn,Alyawarr,i,Ll,LATIN SMALL LETTER I,33814,5,"2013,2021,2022,2023,2024",33,27992,409,71,5309
aly,Latn,aly_Latn,Alyawarr,p,Ll,LATIN SMALL LETTER P,24506,5,"2013,2021,2022,2023,2024",34,19688,301,41,4442
aly,Latn,aly_Latn,Alyawarr,",",Po,COMMA,18593,5,"2013,2021,2022,2023,2024",15,15478,195,25,2880
aly,Latn,aly_Latn,Alyawarr,.,Po,FULL STOP,18581,5,"2013,2021,2022,2023,2024",26,15345,204,35,2971
aly,Latn,aly_Latn,Alyawarr,A,Lu,LATIN CAPITAL LETTER A,14613,5,"2013,2021,2022,2023,2024",12,12211,173,16,2201
aly,Latn,aly_Latn,Alyawarr,s,Ll,LATIN SMALL LETTER S,9235,5,"2013,2021,2022,2023,2024",7,8457,78,28,665
aly,Latn,aly_Latn,Alyawarr,R,Lu,LATIN CAPITAL LETTER R,5030,5,"2013,2021,2022,2023,2024",7,4147,57,7,812
aly,Latn,aly_Latn,Alyawarr,I,Lu,LATIN CAPITAL LETTER I,4675,5,"2013,2021,2022,2023,2024",2,3914,53,6,700
aly,Latn,aly_Latn,Alyawarr,u,Ll,LATIN SMALL LETTER U,4547,5,"2013,2021,2022,2023,2024",8,4167,10,25,337
aly,Latn,aly_Latn,Alyawarr,J,Lu,LATIN CAPITAL LETTER J,4120,4,"2021,2022,2023,2024",0,3838,18,1,263
aly,Latn,aly_Latn,Alyawarr,1,Nd,DIGIT ONE,3874,5,"2013,2021,2022,2023,2024",2,3267,44,7,554
aly,Latn,aly_Latn,Alyawarr,o,Ll,LATIN SMALL LETTER O,3004,5,"2013,2021,2022,2023,2024",10,2542,37,49,366
aly,Latn,aly_Latn,Alyawarr,2,Nd,DIGIT TWO,2870,5,"2013,2021,2022,2023,2024",1,2592,19,1,257
aly,Latn,aly_Latn,Alyawarr,“,Pi,LEFT DOUBLE QUOTATION MARK,2496,5,"2013,2021,2022,2023,2024",2,2179,20,2,293
aly,Latn,aly_Latn,Alyawarr,”,Pf,RIGHT DOUBLE QUOTATION MARK,2491,5,"2013,2021,2022,2023,2024",2,2178,20,2,289
aly,Latn,aly_Latn,Alyawarr,N,Lu,LATIN CAPITAL LETTER N,2249,5,"2013,2021,2022,2023,2024",3,1886,37,4,319
aly,Latn,aly_Latn,Alyawarr,3,Nd,DIGIT THREE,1927,5,"2013,2021,2022,2023,2024",1,1788,18,1,119
aly,Latn,aly_Latn,Alyawarr,!,Po,EXCLAMATION MARK,1650,3,"2021,2022,2024",0,1292,35,0,323
aly,Latn,aly_Latn,Alyawarr,M,Lu,LATIN CAPITAL LETTER M,1541,4,"2021,2022,2023,2024",0,1393,29,1,118
aly,Latn,aly_Latn,Alyawarr,4,Nd,DIGIT FOUR,1475,5,"2013,2021,2022,2023,2024",1,1313,10,1,150
aly,Latn,aly_Latn,Alyawarr,K,Lu,LATIN CAPITAL LETTER K,1368,5,"2013,2021,2022,2023,2024",2,1183,20,2,161
aly,Latn,aly_Latn,Alyawarr,P,Lu,LATIN CAPITAL LETTER P,1324,5,"2013,2021,2022,2023,2024",1,1243,3,3,74
aly,Latn,aly_Latn,Alyawarr,0,Nd,DIGIT ZERO,1213,4,"2013,2021,2022,2024",1,1001,28,0,183
aly,Latn,aly_Latn,Alyawarr,d,Ll,LATIN SMALL LETTER D,1114,5,"2013,2021,2022,2023,2024",4,901,14,8,187
aly,Latn,aly_Latn,Alyawarr,5,Nd,DIGIT FIVE,1090,5,"2013,2021,2022,2023,2024",1,980,7,1,101
aly,Latn,aly_Latn,Alyawarr,T,Lu,LATIN CAPITAL LETTER T,1083,5,"2013,2021,2022,2023,2024",2,959,22,3,97
aly,Latn,aly_Latn,Alyawarr,7,Nd,DIGIT SEVEN,941,5,"2013,2021,2022,2023,2024",1,790,9,1,140
aly,Latn,aly_Latn,Alyawarr,6,Nd,DIGIT SIX,923,5,"2013,2021,2022,2023,2024",3,815,8,1,96
aly,Latn,aly_Latn,Alyawarr,G,Lu,LATIN CAPITAL LETTER G,883,4,"2021,2022,2023,2024",0,806,19,2,56
aly,Latn,aly_Latn,Alyawarr,S,Lu,LATIN CAPITAL LETTER S,847,5,"2013,2021,2022,2023,2024",1,801,5,3,37
aly,Latn,aly_Latn,Alyawarr,8,Nd,DIGIT EIGHT,799,5,"2013,2021,2022,2023,2024",1,711,5,1,81
aly,Latn,aly_Latn,Alyawarr,?,Po,QUESTION MARK,792,4,"2021,2022,2023,2024",0,697,5,1,89
