iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2023_frequency,year_2024_frequency
amf,Latn,amf_Latn,Hamer-Banna,a,Ll,LATIN SMALL LETTER A,62004,6,"2017,2018,2019,2021,2023,2024",2267,606,33031,2680,22806,614
amf,Latn,amf_Latn,Hamer-Banna, ,Zs,SPACE,48685,6,"2017,2018,2019,2021,2023,2024",1842,394,26255,2117,17618,459
amf,Latn,amf_Latn,Hamer-Banna,n,Ll,LATIN SMALL LETTER N,29513,6,"2017,2018,2019,2021,2023,2024",1216,140,16194,1291,10367,305
amf,Latn,amf_Latn,Hamer-Banna,e,Ll,LATIN SMALL LETTER E,27324,6,"2017,2018,2019,2021,2023,2024",1021,231,14097,1174,10504,297
amf,Latn,amf_Latn,Hamer-Banna,i,Ll,LATIN SMALL LETTER I,24182,6,"2017,2018,2019,2021,2023,2024",898,187,13230,989,8653,225
amf,Latn,amf_Latn,Hamer-Banna,o,Ll,LATIN SMALL LETTER O,19511,6,"2017,2018,2019,2021,2023,2024",994,165,10665,1026,6462,199
amf,Latn,amf_Latn,Hamer-Banna,s,Ll,LATIN SMALL LETTER S,14873,6,"2017,2018,2019,2021,2023,2024",643,109,7923,695,5388,115
amf,Latn,amf_Latn,Hamer-Banna,d,Ll,LATIN SMALL LETTER D,13846,6,"2017,2018,2019,2021,2023,2024",566,176,7396,578,5012,118
amf,Latn,amf_Latn,Hamer-Banna,h,Ll,LATIN SMALL LETTER H,12707,6,"2017,2018,2019,2021,2023,2024",530,112,6752,539,4660,114
amf,Latn,amf_Latn,Hamer-Banna,k,Ll,LATIN SMALL LETTER K,12318,6,"2017,2018,2019,2021,2023,2024",468,109,6339,532,4758,112
amf,Latn,amf_Latn,Hamer-Banna,m,Ll,LATIN SMALL LETTER M,11789,6,"2017,2018,2019,2021,2023,2024",477,117,6206,529,4321,139
amf,Latn,amf_Latn,Hamer-Banna,y,Ll,LATIN SMALL LETTER Y,10162,6,"2017,2018,2019,2021,2023,2024",263,74,5401,439,3878,107
amf,Latn,amf_Latn,Hamer-Banna,t,Ll,LATIN SMALL LETTER T,9782,6,"2017,2018,2019,2021,2023,2024",331,54,5328,393,3564,112
amf,Latn,amf_Latn,Hamer-Banna,r,Ll,LATIN SMALL LETTER R,8977,6,"2017,2018,2019,2021,2023,2024",365,114,4741,416,3242,99
amf,Latn,amf_Latn,Hamer-Banna,b,Ll,LATIN SMALL LETTER B,6067,6,"2017,2018,2019,2021,2023,2024",194,51,3154,266,2315,87
amf,Latn,amf_Latn,Hamer-Banna,g,Ll,LATIN SMALL LETTER G,4110,6,"2017,2018,2019,2021,2023,2024",109,18,2172,207,1554,50
amf,Latn,amf_Latn,Hamer-Banna,l,Ll,LATIN SMALL LETTER L,4054,6,"2017,2018,2019,2021,2023,2024",140,34,2175,227,1434,44
amf,Latn,amf_Latn,Hamer-Banna,w,Ll,LATIN SMALL LETTER W,3940,6,"2017,2018,2019,2021,2023,2024",219,15,2173,246,1243,44
amf,Latn,amf_Latn,Hamer-Banna,.,Po,FULL STOP,3225,6,"2017,2018,2019,2021,2023,2024",159,30,1779,137,1089,31
amf,Latn,amf_Latn,Hamer-Banna,u,Ll,LATIN SMALL LETTER U,3180,6,"2017,2018,2019,2021,2023,2024",115,23,1586,125,1308,23
amf,Latn,amf_Latn,Hamer-Banna,p,Ll,LATIN SMALL LETTER P,2561,6,"2017,2018,2019,2021,2023,2024",123,20,1429,90,869,30
amf,Latn,amf_Latn,Hamer-Banna,q,Ll,LATIN SMALL LETTER Q,1930,6,"2017,2018,2019,2021,2023,2024",49,17,1097,78,672,17
amf,Latn,amf_Latn,Hamer-Banna,",",Po,COMMA,1899,6,"2017,2018,2019,2021,2023,2024",83,12,941,70,771,22
amf,Latn,amf_Latn,Hamer-Banna,j,Ll,LATIN SMALL LETTER J,1877,6,"2017,2018,2019,2021,2023,2024",139,7,1095,101,507,28
amf,Latn,amf_Latn,Hamer-Banna,B,Lu,LATIN CAPITAL LETTER B,1628,6,"2017,2018,2019,2021,2023,2024",118,14,911,107,456,22
amf,Latn,amf_Latn,Hamer-Banna,c,Ll,LATIN SMALL LETTER C,1624,6,"2017,2018,2019,2021,2023,2024",25,3,900,48,640,8
amf,Latn,amf_Latn,Hamer-Banna,1,Nd,DIGIT ONE,1548,6,"2017,2018,2019,2021,2023,2024",59,13,896,61,506,13
amf,Latn,amf_Latn,Hamer-Banna,Y,Lu,LATIN CAPITAL LETTER Y,1290,6,"2017,2018,2019,2021,2023,2024",19,27,671,51,514,8
amf,Latn,amf_Latn,Hamer-Banna,K,Lu,LATIN CAPITAL LETTER K,1091,6,"2017,2018,2019,2021,2023,2024",53,8,585,49,383,13
amf,Latn,amf_Latn,Hamer-Banna,2,Nd,DIGIT TWO,1027,6,"2017,2018,2019,2021,2023,2024",31,9,562,36,385,4
amf,Latn,amf_Latn,Hamer-Banna,;,Po,SEMICOLON,990,6,"2017,2018,2019,2021,2023,2024",46,26,499,41,372,6
amf,Latn,amf_Latn,Hamer-Banna,v,Ll,LATIN SMALL LETTER V,970,6,"2017,2018,2019,2021,2023,2024",17,17,528,44,357,7
amf,Latn,amf_Latn,Hamer-Banna,z,Ll,LATIN SMALL LETTER Z,876,6,"2017,2018,2019,2021,2023,2024",17,14,462,47,331,5
amf,Latn,amf_Latn,Hamer-Banna,I,Lu,LATIN CAPITAL LETTER I,837,6,"2017,2018,2019,2021,2023,2024",28,18,505,29,249,8
amf,Latn,amf_Latn,Hamer-Banna,3,Nd,DIGIT THREE,685,6,"2017,2018,2019,2021,2023,2024",12,3,369,23,276,2
amf,Latn,amf_Latn,Hamer-Banna,“,Pi,LEFT DOUBLE QUOTATION MARK,624,4,"2019,2021,2023,2024",0,0,350,17,254,3
amf,Latn,amf_Latn,Hamer-Banna,:,Po,COLON,593,6,"2017,2018,2019,2021,2023,2024",8,2,394,13,175,1
amf,Latn,amf_Latn,Hamer-Banna,4,Nd,DIGIT FOUR,542,6,"2017,2018,2019,2021,2023,2024",12,3,310,11,204,2
amf,Latn,amf_Latn,Hamer-Banna,”,Pf,RIGHT DOUBLE QUOTATION MARK,540,4,"2019,2021,2023,2024",0,0,309,15,213,3
amf,Latn,amf_Latn,Hamer-Banna,M,Lu,LATIN CAPITAL LETTER M,513,5,"2017,2018,2019,2021,2023",15,12,262,14,210,0
amf,Latn,amf_Latn,Hamer-Banna,O,Lu,LATIN CAPITAL LETTER O,493,6,"2017,2018,2019,2021,2023,2024",11,6,261,28,186,1
amf,Latn,amf_Latn,Hamer-Banna,5,Nd,DIGIT FIVE,445,6,"2017,2018,2019,2021,2023,2024",11,3,266,14,149,2
amf,Latn,amf_Latn,Hamer-Banna,W,Lu,LATIN CAPITAL LETTER W,358,5,"2017,2019,2021,2023,2024",20,0,213,17,103,5
amf,Latn,amf_Latn,Hamer-Banna,6,Nd,DIGIT SIX,346,6,"2017,2018,2019,2021,2023,2024",10,2,209,15,107,3
amf,Latn,amf_Latn,Hamer-Banna,E,Lu,LATIN CAPITAL LETTER E,341,6,"2017,2018,2019,2021,2023,2024",3,5,177,10,144,2
amf,Latn,amf_Latn,Hamer-Banna,H,Lu,LATIN CAPITAL LETTER H,324,6,"2017,2018,2019,2021,2023,2024",10,2,156,11,141,4
amf,Latn,amf_Latn,Hamer-Banna,7,Nd,DIGIT SEVEN,308,6,"2017,2018,2019,2021,2023,2024",10,2,181,10,103,2
amf,Latn,amf_Latn,Hamer-Banna,8,Nd,DIGIT EIGHT,294,6,"2017,2018,2019,2021,2023,2024",10,2,161,14,105,2
amf,Latn,amf_Latn,Hamer-Banna,T,Lu,LATIN CAPITAL LETTER T,286,6,"2017,2018,2019,2021,2023,2024",3,1,166,16,94,6
amf,Latn,amf_Latn,Hamer-Banna,9,Nd,DIGIT NINE,279,6,"2017,2018,2019,2021,2023,2024",10,2,156,12,97,2
amf,Latn,amf_Latn,Hamer-Banna,0,Nd,DIGIT ZERO,274,6,"2017,2018,2019,2021,2023,2024",9,2,151,9,101,2
amf,Latn,amf_Latn,Hamer-Banna,-,Pd,HYPHEN-MINUS,272,5,"2017,2018,2019,2021,2023",2,1,168,6,95,0
amf,Latn,amf_Latn,Hamer-Banna,G,Lu,LATIN CAPITAL LETTER G,265,6,"2017,2018,2019,2021,2023,2024",1,2,162,10,88,2
amf,Latn,amf_Latn,Hamer-Banna,A,Lu,LATIN CAPITAL LETTER A,249,5,"2017,2018,2019,2021,2023",3,24,127,18,77,0
amf,Latn,amf_Latn,Hamer-Banna,S,Lu,LATIN CAPITAL LETTER S,239,5,"2017,2018,2019,2021,2023",18,8,102,7,104,0
amf,Latn,amf_Latn,Hamer-Banna,?,Po,QUESTION MARK,237,4,"2017,2019,2021,2023",5,0,125,6,101,0
amf,Latn,amf_Latn,Hamer-Banna,N,Lu,LATIN CAPITAL LETTER N,233,5,"2017,2018,2019,2021,2023",34,3,124,5,67,0
amf,Latn,amf_Latn,Hamer-Banna,P,Lu,LATIN CAPITAL LETTER P,223,6,"2017,2018,2019,2021,2023,2024",5,3,121,11,82,1
amf,Latn,amf_Latn,Hamer-Banna,),Pe,RIGHT PARENTHESIS,162,1,2019,0,0,162,0,0,0
amf,Latn,amf_Latn,Hamer-Banna,(,Ps,LEFT PARENTHESIS,151,1,2019,0,0,151,0,0,0
amf,Latn,amf_Latn,Hamer-Banna,‘,Pi,LEFT SINGLE QUOTATION MARK,149,4,"2018,2019,2021,2023",0,8,56,3,82,0
amf,Latn,amf_Latn,Hamer-Banna,’,Pf,RIGHT SINGLE QUOTATION MARK,148,4,"2018,2019,2021,2023",0,8,55,3,82,0
amf,Latn,amf_Latn,Hamer-Banna,D,Lu,LATIN CAPITAL LETTER D,140,5,"2017,2018,2019,2021,2023",6,6,74,1,53,0
amf,Latn,amf_Latn,Hamer-Banna,x,Ll,LATIN SMALL LETTER X,116,4,"2018,2019,2021,2023",0,4,60,10,42,0
amf,Latn,amf_Latn,Hamer-Banna,!,Po,EXCLAMATION MARK,115,5,"2017,2018,2019,2021,2023",1,1,44,4,65,0
amf,Latn,amf_Latn,Hamer-Banna,Q,Lu,LATIN CAPITAL LETTER Q,88,4,"2017,2019,2021,2023",1,0,57,8,22,0
amf,Latn,amf_Latn,Hamer-Banna,L,Lu,LATIN CAPITAL LETTER L,86,3,"2019,2021,2023",0,0,66,1,19,0
amf,Latn,amf_Latn,Hamer-Banna,R,Lu,LATIN CAPITAL LETTER R,71,5,"2017,2018,2019,2021,2023",1,5,40,5,20,0
amf,Latn,amf_Latn,Hamer-Banna,Z,Lu,LATIN CAPITAL LETTER Z,40,4,"2018,2019,2021,2023",0,3,23,1,13,0
amf,Latn,amf_Latn,Hamer-Banna,"""",Po,QUOTATION MARK,38,1,2017,38,0,0,0,0,0
amf,Latn,amf_Latn,Hamer-Banna,–,Pd,EN DASH,29,1,2019,0,0,29,0,0,0
amf,Latn,amf_Latn,Hamer-Banna,*,Po,ASTERISK,24,2,"2019,2023",0,0,22,0,2,0
amf,Latn,amf_Latn,Hamer-Banna,U,Lu,LATIN CAPITAL LETTER U,23,4,"2017,2018,2019,2023",2,1,13,0,7,0
amf,Latn,amf_Latn,Hamer-Banna,C,Lu,LATIN CAPITAL LETTER C,18,3,"2018,2019,2023",0,1,10,0,7,0
amf,Latn,amf_Latn,Hamer-Banna,/,Po,SOLIDUS,12,1,2017,12,0,0,0,0,0
amf,Latn,amf_Latn,Hamer-Banna,J,Lu,LATIN CAPITAL LETTER J,10,3,"2017,2019,2023",2,0,3,0,5,0
amf,Latn,amf_Latn,Hamer-Banna,[,Ps,LEFT SQUARE BRACKET,8,2,"2019,2023",0,0,5,0,3,0
amf,Latn,amf_Latn,Hamer-Banna,],Pe,RIGHT SQUARE BRACKET,7,2,"2019,2023",0,0,4,0,3,0
amf,Latn,amf_Latn,Hamer-Banna,†,Po,DAGGER,4,1,2019,0,0,4,0,0,0
amf,Latn,amf_Latn,Hamer-Banna,',Po,APOSTROPHE,3,1,2023,0,0,0,0,3,0
amf,Latn,amf_Latn,Hamer-Banna,F,Lu,LATIN CAPITAL LETTER F,2,1,2017,2,0,0,0,0,0
amf,Latn,amf_Latn,Hamer-Banna,^,Sk,CIRCUMFLEX ACCENT,1,1,2019,0,0,1,0,0,0
amf,Latn,amf_Latn,Hamer-Banna,‡,Po,DOUBLE DAGGER,1,1,2019,0,0,1,0,0,0
