iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
amh,Ethi,amh_Ethi,Amharic, ,Zs,SPACE,202440750,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",948050,856291,443856,1106919,13959860,15356818,15155515,15438658,28333013,32373533,67289324,11178913
amh,Ethi,amh_Ethi,Amharic,ን,Lo,ETHIOPIC SYLLABLE NE,37990576,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",194187,172302,85976,228783,2856437,3213751,3008058,3099706,5580659,6431725,11016445,2102547
amh,Ethi,amh_Ethi,Amharic,ት,Lo,ETHIOPIC SYLLABLE TE,28409879,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",144809,134016,67929,162748,2231848,2460773,2268125,2256786,3945536,4586780,8543607,1606922
amh,Ethi,amh_Ethi,Amharic,የ,Lo,ETHIOPIC SYLLABLE YA,25867962,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",122127,112664,57492,137402,1921757,2133763,1985168,2019079,3628174,4234789,8044739,1470808
amh,Ethi,amh_Ethi,Amharic,በ,Lo,ETHIOPIC SYLLABLE BA,22862618,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",121600,111263,56107,139832,1848984,2026100,1907622,1949256,3478204,3869605,6091556,1262489
amh,Ethi,amh_Ethi,Amharic,ው,Lo,ETHIOPIC SYLLABLE WE,20936759,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",114872,97015,44949,131482,1660103,1769538,1740670,1815532,3094017,3573602,5752763,1142216
amh,Ethi,amh_Ethi,Amharic,ር,Lo,ETHIOPIC SYLLABLE RE,19764143,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",94932,87411,46588,113049,1498712,1682139,1616465,1587701,2816899,3359656,5753079,1107512
amh,Ethi,amh_Ethi,Amharic,መ,Lo,ETHIOPIC SYLLABLE MA,19619536,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",101247,89428,45253,109907,1520750,1689861,1613567,1644676,2931540,3393597,5361396,1118314
amh,Ethi,amh_Ethi,Amharic,ስ,Lo,ETHIOPIC SYLLABLE SE,19256992,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",91046,83172,41951,110028,1370959,1492183,1503994,1558329,2783184,3167128,5981207,1073811
amh,Ethi,amh_Ethi,Amharic,ል,Lo,ETHIOPIC SYLLABLE LE,18762889,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",88368,79672,40588,101616,1388967,1556532,1494225,1517628,2691619,3060580,5664306,1078788
amh,Ethi,amh_Ethi,Amharic,ም,Lo,ETHIOPIC SYLLABLE ME,18315099,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",91815,79903,40970,106119,1360672,1545440,1487297,1539869,2712425,3105482,5239941,1005166
amh,Ethi,amh_Ethi,Amharic,አ,Lo,ETHIOPIC SYLLABLE GLOTTAL A,17910901,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",96819,89047,44725,110199,1459570,1618944,1511484,1501775,2629537,2940774,4930892,977135
amh,Ethi,amh_Ethi,Amharic,ለ,Lo,ETHIOPIC SYLLABLE LA,17449493,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",94378,84501,41940,107868,1389651,1542014,1436055,1495758,2638748,2993520,4660026,965034
amh,Ethi,amh_Ethi,Amharic,እ,Lo,ETHIOPIC SYLLABLE GLOTTAL E,15386298,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",68263,63130,29684,86314,1019613,1122377,1164246,1270245,2303527,2647317,4754344,857238
amh,Ethi,amh_Ethi,Amharic,ተ,Lo,ETHIOPIC SYLLABLE TA,15232240,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",78743,71979,36897,91521,1238413,1334478,1289950,1274029,2253220,2602328,4075283,885399
amh,Ethi,amh_Ethi,Amharic,ይ,Lo,ETHIOPIC SYLLABLE YE,15112592,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",69820,60052,29225,80039,1037288,1209103,1211705,1269303,2275206,2620672,4419033,831146
amh,Ethi,amh_Ethi,Amharic,ች,Lo,ETHIOPIC SYLLABLE CE,14688769,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",52979,49852,25121,60755,884099,999253,1049642,1106057,2133492,2536635,4928407,862477
amh,Ethi,amh_Ethi,Amharic,ያ,Lo,ETHIOPIC SYLLABLE YAA,14449985,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",74392,65157,33063,87298,1109187,1222191,1144221,1167540,2145932,2547618,4059258,794128
amh,Ethi,amh_Ethi,Amharic,ና,Lo,ETHIOPIC SYLLABLE NAA,12753226,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",60984,55789,29159,71978,917998,1011577,1000493,1023884,1846602,2133753,3875475,725534
amh,Ethi,amh_Ethi,Amharic,ነ,Lo,ETHIOPIC SYLLABLE NA,12078506,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",69931,62097,29551,83498,1005819,1116359,1037679,1087854,1805328,1994386,3136550,649454
amh,Ethi,amh_Ethi,Amharic,x,Ll,LATIN SMALL LETTER X,11990095,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",943,922,594,638,6448,7567,13073,13816,25955,35613,11137680,746846
amh,Ethi,amh_Ethi,Amharic,ማ,Lo,ETHIOPIC SYLLABLE MAA,11241827,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",50577,47930,24259,61734,804088,885825,880740,896142,1672746,2024291,3246492,647003
amh,Ethi,amh_Ethi,Amharic,ብ,Lo,ETHIOPIC SYLLABLE BE,11098457,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",50652,45930,23184,59567,764922,835855,775088,777194,1397728,1559954,4186083,622300
amh,Ethi,amh_Ethi,Amharic,ደ,Lo,ETHIOPIC SYLLABLE DA,10124275,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",52965,48871,23705,61379,840709,916293,854668,854411,1489776,1694513,2717752,569233
