iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
ami,Latn,ami_Latn,Amis,a,Ll,LATIN SMALL LETTER A,475455,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",801,52,208,3047,2419,16706,6302,48123,133340,248851,15606
ami,Latn,ami_Latn,Amis, ,Zs,SPACE,464156,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",941,56,224,2669,3306,17992,6298,54603,128698,235158,14211
ami,Latn,ami_Latn,Amis,o,Ll,LATIN SMALL LETTER O,222403,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",321,23,92,1371,1359,7379,2695,19470,65829,116616,7248
ami,Latn,ami_Latn,Amis,i,Ll,LATIN SMALL LETTER I,216837,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",246,24,96,1163,1386,7487,2713,19216,60809,117174,6523
ami,Latn,ami_Latn,Amis,n,Ll,LATIN SMALL LETTER N,183332,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",363,20,80,1067,744,6236,2589,17523,53153,95451,6106
ami,Latn,ami_Latn,Amis,t,Ll,LATIN SMALL LETTER T,119146,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",114,5,20,765,327,3279,1352,11451,32903,65371,3559
ami,Latn,ami_Latn,Amis,k,Ll,LATIN SMALL LETTER K,114023,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",173,0,0,647,267,4077,1361,8900,31954,63071,3573
ami,Latn,ami_Latn,Amis,m,Ll,LATIN SMALL LETTER M,86478,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",232,41,164,602,326,3566,1234,9668,22967,44740,2938
ami,Latn,ami_Latn,Amis,s,Ll,LATIN SMALL LETTER S,81295,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",180,16,64,544,243,3187,1003,9071,23040,41649,2298
ami,Latn,ami_Latn,Amis,l,Ll,LATIN SMALL LETTER L,81138,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",107,4,16,501,250,2687,1046,6663,22521,44927,2416
ami,Latn,ami_Latn,Amis,e,Ll,LATIN SMALL LETTER E,77268,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",249,14,56,370,388,2631,878,9274,19328,41953,2127
ami,Latn,ami_Latn,Amis,y,Ll,LATIN SMALL LETTER Y,69464,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",48,2,8,471,747,1636,874,6671,19412,37303,2292
ami,Latn,ami_Latn,Amis,r,Ll,LATIN SMALL LETTER R,68227,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",147,18,72,467,151,3025,741,9410,18349,33924,1923
ami,Latn,ami_Latn,Amis,c,Ll,LATIN SMALL LETTER C,50867,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",86,4,16,319,228,1465,819,6602,13094,26814,1420
ami,Latn,ami_Latn,Amis,d,Ll,LATIN SMALL LETTER D,46838,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",123,5,20,221,115,1823,637,5869,11962,24704,1359
ami,Latn,ami_Latn,Amis,p,Ll,LATIN SMALL LETTER P,46519,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",55,2,8,283,162,1196,504,4396,12690,25794,1429
ami,Latn,ami_Latn,Amis,",",Po,COMMA,43552,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",74,7,28,559,286,1935,717,3565,13538,21376,1467
ami,Latn,ami_Latn,Amis,g,Ll,LATIN SMALL LETTER G,42509,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",123,6,24,252,143,1669,697,5611,10908,21777,1299
ami,Latn,ami_Latn,Amis,w,Ll,LATIN SMALL LETTER W,39810,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",60,2,8,267,307,1092,515,4273,11406,20546,1334
ami,Latn,ami_Latn,Amis,h,Ll,LATIN SMALL LETTER H,37120,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",82,6,24,175,980,1272,525,4493,9804,18528,1231
ami,Latn,ami_Latn,Amis,’,Pf,RIGHT SINGLE QUOTATION MARK,27433,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,0,69,19,1241,357,274,8878,15419,1176
ami,Latn,ami_Latn,Amis,.,Po,FULL STOP,26579,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",65,0,0,179,38,1101,377,2869,6784,14592,574
ami,Latn,ami_Latn,Amis,f,Ll,LATIN SMALL LETTER F,24557,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",31,2,8,205,72,760,283,2809,6306,13295,786
ami,Latn,ami_Latn,Amis,1,Nd,DIGIT ONE,18149,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",16,0,0,61,47,985,232,2048,4239,10165,356
ami,Latn,ami_Latn,Amis,0,Nd,DIGIT ZERO,17259,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,0,55,10,1093,194,701,4316,10516,374
ami,Latn,ami_Latn,Amis,-,Pd,HYPHEN-MINUS,15650,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",10,0,0,61,315,158,51,328,3358,10932,437
ami,Latn,ami_Latn,Amis,u,Ll,LATIN SMALL LETTER U,15337,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",78,2,8,23,20,534,481,2727,3792,7396,276
ami,Latn,ami_Latn,Amis,2,Nd,DIGIT TWO,14434,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",11,9,0,35,38,685,144,1429,3271,8544,268
ami,Latn,ami_Latn,Amis,),Pe,RIGHT PARENTHESIS,12238,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",14,0,0,33,101,369,91,2606,3358,5310,356
ami,Latn,ami_Latn,Amis,(,Ps,LEFT PARENTHESIS,12234,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",14,0,0,33,101,369,91,2597,3359,5313,357
ami,Latn,ami_Latn,Amis,A,Lu,LATIN CAPITAL LETTER A,8673,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",6,0,0,42,263,257,102,634,2274,4884,211
ami,Latn,ami_Latn,Amis,I,Lu,LATIN CAPITAL LETTER I,8358,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",5,0,0,21,104,327,129,439,2499,4660,174
ami,Latn,ami_Latn,Amis,|,Sm,VERTICAL LINE,7875,8,"2014,2017,2019,2020,2021,2022,2023,2024",1,0,0,2,0,2,7,106,3613,4057,87
ami,Latn,ami_Latn,Amis,S,Lu,LATIN CAPITAL LETTER S,7791,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",10,0,0,15,28,339,122,561,2426,4159,131
ami,Latn,ami_Latn,Amis,9,Nd,DIGIT NINE,7176,10,"2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2,0,9,11,11,410,58,592,1880,4047,156
ami,Latn,ami_Latn,Amis,K,Lu,LATIN CAPITAL LETTER K,6959,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",34,9,36,36,68,163,68,678,2278,3391,198
ami,Latn,ami_Latn,Amis,P,Lu,LATIN CAPITAL LETTER P,6761,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",4,0,0,25,34,395,117,497,2657,2907,125
ami,Latn,ami_Latn,Amis,M,Lu,LATIN CAPITAL LETTER M,6386,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",2,0,0,29,37,298,113,688,1684,3440,95
ami,Latn,ami_Latn,Amis,O,Lu,LATIN CAPITAL LETTER O,6244,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13,9,36,34,71,368,111,618,1933,2865,186
ami,Latn,ami_Latn,Amis,3,Nd,DIGIT THREE,5980,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",11,0,0,24,17,392,58,898,1561,2912,107
ami,Latn,ami_Latn,Amis,[,Ps,LEFT SQUARE BRACKET,5787,6,"2019,2020,2021,2022,2023,2024",0,0,0,0,0,227,24,57,1636,3687,156
ami,Latn,ami_Latn,Amis,4,Nd,DIGIT FOUR,5716,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",22,0,0,16,15,364,63,924,1394,2818,100
ami,Latn,ami_Latn,Amis,],Pe,RIGHT SQUARE BRACKET,5625,6,"2019,2020,2021,2022,2023,2024",0,0,0,0,0,158,20,56,1577,3660,154
ami,Latn,ami_Latn,Amis,T,Lu,LATIN CAPITAL LETTER T,5598,11,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",20,1,4,37,58,114,56,470,1732,2953,153
