iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency
amn,Latn,amn_Latn,Amanab, ,Zs,SPACE,221625,5,"2017,2018,2019,2020,2021",510,203144,2077,8698,7196
amn,Latn,amn_Latn,Amanab,a,Ll,LATIN SMALL LETTER A,184646,5,"2017,2018,2019,2020,2021",514,168425,1682,7651,6374
amn,Latn,amn_Latn,Amanab,i,Ll,LATIN SMALL LETTER I,108963,5,"2017,2018,2019,2020,2021",243,99202,1060,4638,3820
amn,Latn,amn_Latn,Amanab,e,Ll,LATIN SMALL LETTER E,105837,5,"2017,2018,2019,2020,2021",238,97564,1000,3810,3225
amn,Latn,amn_Latn,Amanab,n,Ll,LATIN SMALL LETTER N,92995,5,"2017,2018,2019,2020,2021",240,84995,922,3575,3263
amn,Latn,amn_Latn,Amanab,g,Ll,LATIN SMALL LETTER G,82976,5,"2017,2018,2019,2020,2021",195,74928,945,3929,2979
amn,Latn,amn_Latn,Amanab,m,Ll,LATIN SMALL LETTER M,55212,5,"2017,2018,2019,2020,2021",116,50137,652,2399,1908
amn,Latn,amn_Latn,Amanab,s,Ll,LATIN SMALL LETTER S,53442,5,"2017,2018,2019,2020,2021",116,49586,369,1841,1530
amn,Latn,amn_Latn,Amanab,f,Ll,LATIN SMALL LETTER F,50884,5,"2017,2018,2019,2020,2021",91,46400,504,2177,1712
amn,Latn,amn_Latn,Amanab,o,Ll,LATIN SMALL LETTER O,45840,5,"2017,2018,2019,2020,2021",106,42202,504,1621,1407
amn,Latn,amn_Latn,Amanab,l,Ll,LATIN SMALL LETTER L,42687,5,"2017,2018,2019,2020,2021",149,38917,372,1746,1503
amn,Latn,amn_Latn,Amanab,u,Ll,LATIN SMALL LETTER U,33671,5,"2017,2018,2019,2020,2021",78,30604,376,1429,1184
amn,Latn,amn_Latn,Amanab,h,Ll,LATIN SMALL LETTER H,32606,5,"2017,2018,2019,2020,2021",69,30370,305,1057,805
amn,Latn,amn_Latn,Amanab,b,Ll,LATIN SMALL LETTER B,26257,5,"2017,2018,2019,2020,2021",70,24123,232,947,885
amn,Latn,amn_Latn,Amanab,w,Ll,LATIN SMALL LETTER W,21769,5,"2017,2018,2019,2020,2021",43,19900,225,914,687
amn,Latn,amn_Latn,Amanab,t,Ll,LATIN SMALL LETTER T,20977,5,"2017,2018,2019,2020,2021",41,19983,123,420,410
amn,Latn,amn_Latn,Amanab,k,Ll,LATIN SMALL LETTER K,20490,5,"2017,2018,2019,2020,2021",35,18689,222,846,698
amn,Latn,amn_Latn,Amanab,r,Ll,LATIN SMALL LETTER R,16134,5,"2017,2018,2019,2020,2021",27,15826,22,142,117
amn,Latn,amn_Latn,Amanab,.,Po,FULL STOP,14133,5,"2017,2018,2019,2020,2021",73,12909,143,577,431
amn,Latn,amn_Latn,Amanab,A,Lu,LATIN CAPITAL LETTER A,11978,5,"2017,2018,2019,2020,2021",33,10972,95,470,408
amn,Latn,amn_Latn,Amanab,d,Ll,LATIN SMALL LETTER D,10069,5,"2017,2018,2019,2020,2021",16,9514,58,272,209
amn,Latn,amn_Latn,Amanab,p,Ll,LATIN SMALL LETTER P,6914,5,"2017,2018,2019,2020,2021",23,6485,38,156,212
amn,Latn,amn_Latn,Amanab,",",Po,COMMA,5525,5,"2017,2018,2019,2020,2021",7,5298,18,65,137
amn,Latn,amn_Latn,Amanab,G,Lu,LATIN CAPITAL LETTER G,5508,5,"2017,2018,2019,2020,2021",14,4951,60,288,195
amn,Latn,amn_Latn,Amanab,S,Lu,LATIN CAPITAL LETTER S,5071,5,"2017,2018,2019,2020,2021",20,4759,29,137,126
amn,Latn,amn_Latn,Amanab,y,Ll,LATIN SMALL LETTER Y,4606,5,"2017,2018,2019,2020,2021",10,4310,33,122,131
amn,Latn,amn_Latn,Amanab,1,Nd,DIGIT ONE,4175,5,"2017,2018,2019,2020,2021",22,3807,35,161,150
amn,Latn,amn_Latn,Amanab,c,Ll,LATIN SMALL LETTER C,4128,1,2018,0,4128,0,0,0
amn,Latn,amn_Latn,Amanab,E,Lu,LATIN CAPITAL LETTER E,3524,5,"2017,2018,2019,2020,2021",28,3347,23,64,62
amn,Latn,amn_Latn,Amanab,T,Lu,LATIN CAPITAL LETTER T,2800,5,"2017,2018,2019,2020,2021",1,2759,1,16,23
amn,Latn,amn_Latn,Amanab,v,Ll,LATIN SMALL LETTER V,2619,4,"2017,2018,2020,2021",9,2572,0,15,23
amn,Latn,amn_Latn,Amanab,',Po,APOSTROPHE,2580,1,2018,0,2580,0,0,0
amn,Latn,amn_Latn,Amanab,V,Lu,LATIN CAPITAL LETTER V,2580,1,2018,0,2580,0,0,0
amn,Latn,amn_Latn,Amanab,2,Nd,DIGIT TWO,2464,5,"2017,2018,2019,2020,2021",10,2262,21,74,97
amn,Latn,amn_Latn,Amanab,K,Lu,LATIN CAPITAL LETTER K,2423,5,"2017,2018,2019,2020,2021",3,2132,38,175,75
amn,Latn,amn_Latn,Amanab,N,Lu,LATIN CAPITAL LETTER N,2168,5,"2017,2018,2019,2020,2021",4,2088,6,16,54
amn,Latn,amn_Latn,Amanab,J,Lu,LATIN CAPITAL LETTER J,1653,5,"2017,2018,2019,2020,2021",26,1519,5,24,79
amn,Latn,amn_Latn,Amanab,H,Lu,LATIN CAPITAL LETTER H,1645,5,"2017,2018,2019,2020,2021",7,1576,3,29,30
amn,Latn,amn_Latn,Amanab,x,Ll,LATIN SMALL LETTER X,1505,1,2018,0,1505,0,0,0
amn,Latn,amn_Latn,Amanab,3,Nd,DIGIT THREE,1469,5,"2017,2018,2019,2020,2021",5,1360,8,34,62
amn,Latn,amn_Latn,Amanab,P,Lu,LATIN CAPITAL LETTER P,1401,5,"2017,2018,2019,2020,2021",2,1291,10,51,47
amn,Latn,amn_Latn,Amanab,“,Pi,LEFT DOUBLE QUOTATION MARK,1340,5,"2017,2018,2019,2020,2021",2,1264,1,5,68
amn,Latn,amn_Latn,Amanab,I,Lu,LATIN CAPITAL LETTER I,1294,5,"2017,2018,2019,2020,2021",2,1271,2,3,16
amn,Latn,amn_Latn,Amanab,”,Pf,RIGHT DOUBLE QUOTATION MARK,1227,5,"2017,2018,2019,2020,2021",2,1158,1,5,61
amn,Latn,amn_Latn,Amanab,M,Lu,LATIN CAPITAL LETTER M,1144,5,"2017,2018,2019,2020,2021",12,1047,9,35,41
amn,Latn,amn_Latn,Amanab,4,Nd,DIGIT FOUR,1142,5,"2017,2018,2019,2020,2021",6,1044,7,33,52
amn,Latn,amn_Latn,Amanab,0,Nd,DIGIT ZERO,1008,5,"2017,2018,2019,2020,2021",3,950,5,24,26
amn,Latn,amn_Latn,Amanab,8,Nd,DIGIT EIGHT,874,5,"2017,2018,2019,2020,2021",2,819,5,20,28
amn,Latn,amn_Latn,Amanab,5,Nd,DIGIT FIVE,871,5,"2017,2018,2019,2020,2021",3,802,7,27,32
amn,Latn,amn_Latn,Amanab,U,Lu,LATIN CAPITAL LETTER U,863,2,"2017,2018",1,862,0,0,0
amn,Latn,amn_Latn,Amanab,B,Lu,LATIN CAPITAL LETTER B,851,5,"2017,2018,2019,2020,2021",4,833,1,2,11
amn,Latn,amn_Latn,Amanab,6,Nd,DIGIT SIX,743,5,"2017,2018,2019,2020,2021",3,678,5,24,33
amn,Latn,amn_Latn,Amanab,7,Nd,DIGIT SEVEN,694,5,"2017,2018,2019,2020,2021",2,631,5,25,31
amn,Latn,amn_Latn,Amanab,C,Lu,LATIN CAPITAL LETTER C,679,2,"2017,2018",1,678,0,0,0
