iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2017_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
amr,Latn,amr_Latn,Amarakaeri,a,Ll,LATIN SMALL LETTER A,92520,7,"2013,2014,2017,2019,2021,2022,2023",1306,1230,1268,399,17358,27372,43587
amr,Latn,amr_Latn,Amarakaeri, ,Zs,SPACE,72563,7,"2013,2014,2017,2019,2021,2022,2023",1335,942,1171,383,13311,21296,34125
amr,Latn,amr_Latn,Amarakaeri,o,Ll,LATIN SMALL LETTER O,63028,7,"2013,2014,2017,2019,2021,2022,2023",927,784,888,273,12193,17796,30167
amr,Latn,amr_Latn,Amarakaeri,ʼ,Lm,MODIFIER LETTER APOSTROPHE,56149,6,"2014,2017,2019,2021,2022,2023",0,724,184,184,10791,17400,26866
amr,Latn,amr_Latn,Amarakaeri,e,Ll,LATIN SMALL LETTER E,54361,7,"2013,2014,2017,2019,2021,2022,2023",911,759,823,281,9709,15955,25923
amr,Latn,amr_Latn,Amarakaeri,n,Ll,LATIN SMALL LETTER N,38672,7,"2013,2014,2017,2019,2021,2022,2023",636,525,532,149,7568,11312,17950
amr,Latn,amr_Latn,Amarakaeri,i,Ll,LATIN SMALL LETTER I,36888,7,"2013,2014,2017,2019,2021,2022,2023",634,507,479,101,7845,10878,16444
amr,Latn,amr_Latn,Amarakaeri,k,Ll,LATIN SMALL LETTER K,33803,7,"2013,2014,2017,2019,2021,2022,2023",708,349,463,60,6384,10696,15143
amr,Latn,amr_Latn,Amarakaeri,u,Ll,LATIN SMALL LETTER U,32975,7,"2013,2014,2017,2019,2021,2022,2023",383,458,393,183,6065,9211,16282
amr,Latn,amr_Latn,Amarakaeri,t,Ll,LATIN SMALL LETTER T,27299,7,"2013,2014,2017,2019,2021,2022,2023",392,459,358,123,4932,7722,13313
amr,Latn,amr_Latn,Amarakaeri,̱,Mn,COMBINING MACRON BELOW,26911,7,"2013,2014,2017,2019,2021,2022,2023",443,336,174,174,5006,8435,12343
amr,Latn,amr_Latn,Amarakaeri,p,Ll,LATIN SMALL LETTER P,22848,7,"2013,2014,2017,2019,2021,2022,2023",353,258,268,53,4608,6917,10391
amr,Latn,amr_Latn,Amarakaeri,d,Ll,LATIN SMALL LETTER D,20278,7,"2013,2014,2017,2019,2021,2022,2023",461,160,345,72,3810,6230,9200
amr,Latn,amr_Latn,Amarakaeri,h,Ll,LATIN SMALL LETTER H,18016,7,"2013,2014,2017,2019,2021,2022,2023",267,208,243,89,3099,5403,8707
amr,Latn,amr_Latn,Amarakaeri,y,Ll,LATIN SMALL LETTER Y,17684,7,"2013,2014,2017,2019,2021,2022,2023",198,227,265,83,2977,5040,8894
amr,Latn,amr_Latn,Amarakaeri,r,Ll,LATIN SMALL LETTER R,13102,7,"2013,2014,2017,2019,2021,2022,2023",236,191,233,65,2522,3400,6455
amr,Latn,amr_Latn,Amarakaeri,.,Po,FULL STOP,11823,7,"2013,2014,2017,2019,2021,2022,2023",230,196,224,75,2104,3413,5581
amr,Latn,amr_Latn,Amarakaeri,s,Ll,LATIN SMALL LETTER S,11776,7,"2013,2014,2017,2019,2021,2022,2023",33,254,98,85,2488,3304,5514
amr,Latn,amr_Latn,Amarakaeri,m,Ll,LATIN SMALL LETTER M,11363,7,"2013,2014,2017,2019,2021,2022,2023",101,145,161,45,2448,3133,5330
amr,Latn,amr_Latn,Amarakaeri,j,Ll,LATIN SMALL LETTER J,9160,7,"2013,2014,2017,2019,2021,2022,2023",84,143,106,49,1653,2270,4855
amr,Latn,amr_Latn,Amarakaeri,b,Ll,LATIN SMALL LETTER B,8894,7,"2013,2014,2017,2019,2021,2022,2023",171,93,146,44,1309,2502,4629
amr,Latn,amr_Latn,Amarakaeri,g,Ll,LATIN SMALL LETTER G,8833,7,"2013,2014,2017,2019,2021,2022,2023",180,75,118,18,1761,2707,3974
amr,Latn,amr_Latn,Amarakaeri,D,Lu,LATIN CAPITAL LETTER D,4398,7,"2013,2014,2017,2019,2021,2022,2023",14,92,27,16,1119,1203,1927
amr,Latn,amr_Latn,Amarakaeri,J,Lu,LATIN CAPITAL LETTER J,2899,7,"2013,2014,2017,2019,2021,2022,2023",1,83,37,36,513,737,1492
amr,Latn,amr_Latn,Amarakaeri,K,Lu,LATIN CAPITAL LETTER K,2859,7,"2013,2014,2017,2019,2021,2022,2023",62,45,41,6,560,769,1376
amr,Latn,amr_Latn,Amarakaeri,",",Po,COMMA,2070,7,"2013,2014,2017,2019,2021,2022,2023",12,53,10,1,335,501,1158
amr,Latn,amr_Latn,Amarakaeri,1,Nd,DIGIT ONE,1802,7,"2013,2014,2017,2019,2021,2022,2023",14,23,26,14,314,632,779
amr,Latn,amr_Latn,Amarakaeri,H,Lu,LATIN CAPITAL LETTER H,1632,7,"2013,2014,2017,2019,2021,2022,2023",27,24,23,7,315,561,675
amr,Latn,amr_Latn,Amarakaeri,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,1578,6,"2014,2017,2019,2021,2022,2023",0,34,7,7,129,431,970
amr,Latn,amr_Latn,Amarakaeri,',Po,APOSTROPHE,1575,3,"2013,2017,2022",922,0,616,0,0,37,0
amr,Latn,amr_Latn,Amarakaeri,l,Ll,LATIN SMALL LETTER L,1513,7,"2013,2014,2017,2019,2021,2022,2023",1,31,24,23,226,247,961
