iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2023_frequency
amu,Latn,amu_Latn,Guerrero Amuzgo, ,Zs,SPACE,631388,9,"2013,2014,2016,2017,2018,2019,2020,2021,2023",201632,11787,204867,13158,138224,36947,795,721,23257
amu,Latn,amu_Latn,Guerrero Amuzgo,a,Ll,LATIN SMALL LETTER A,561764,9,"2013,2014,2016,2017,2018,2019,2020,2021,2023",178890,10737,180801,11952,122779,34253,704,710,20938
amu,Latn,amu_Latn,Guerrero Amuzgo,n,Ll,LATIN SMALL LETTER N,560050,9,"2013,2014,2016,2017,2018,2019,2020,2021,2023",178074,10713,179817,11770,123845,32661,713,667,21790
amu,Latn,amu_Latn,Guerrero Amuzgo,o,Ll,LATIN SMALL LETTER O,307128,9,"2013,2014,2016,2017,2018,2019,2020,2021,2023",97948,5637,99088,6315,68906,16970,410,236,11618
amu,Latn,amu_Latn,Guerrero Amuzgo,e,Ll,LATIN SMALL LETTER E,233428,9,"2013,2014,2016,2017,2018,2019,2020,2021,2023",73692,4376,74861,4737,54271,11844,312,245,9090
amu,Latn,amu_Latn,Guerrero Amuzgo,i,Ll,LATIN SMALL LETTER I,224409,9,"2013,2014,2016,2017,2018,2019,2020,2021,2023",71516,4432,72022,4944,48462,13473,311,315,8934
amu,Latn,amu_Latn,Guerrero Amuzgo,t,Ll,LATIN SMALL LETTER T,180264,9,"2013,2014,2016,2017,2018,2019,2020,2021,2023",57079,3412,57503,3843,40771,10252,253,231,6920
amu,Latn,amu_Latn,Guerrero Amuzgo,m,Ll,LATIN SMALL LETTER M,143168,9,"2013,2014,2016,2017,2018,2019,2020,2021,2023",45342,2725,46312,3074,31282,8617,190,127,5499
amu,Latn,amu_Latn,Guerrero Amuzgo,c,Ll,LATIN SMALL LETTER C,133519,9,"2013,2014,2016,2017,2018,2019,2020,2021,2023",42337,2581,43017,2863,28581,8280,173,198,5489
amu,Latn,amu_Latn,Guerrero Amuzgo,u,Ll,LATIN SMALL LETTER U,129445,9,"2013,2014,2016,2017,2018,2019,2020,2021,2023",40898,2529,41769,2622,29307,7184,145,174,4817
amu,Latn,amu_Latn,Guerrero Amuzgo,',Po,APOSTROPHE,129222,4,"2013,2014,2016,2017",115567,5427,751,7477,0,0,0,0,0
amu,Latn,amu_Latn,Guerrero Amuzgo,j,Ll,LATIN SMALL LETTER J,128343,9,"2013,2014,2016,2017,2018,2019,2020,2021,2023",41009,2365,41154,2652,28745,7098,156,114,5050
amu,Latn,amu_Latn,Guerrero Amuzgo,y,Ll,LATIN SMALL LETTER Y,122705,9,"2013,2014,2016,2017,2018,2019,2020,2021,2023",39636,2185,39681,2663,26427,7239,195,118,4561
amu,Latn,amu_Latn,Guerrero Amuzgo,ˈ,Lm,MODIFIER LETTER VERTICAL LINE,119018,4,"2016,2017,2018,2023",0,0,116827,132,1738,0,0,0,321
amu,Latn,amu_Latn,Guerrero Amuzgo,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,113577,6,"2014,2016,2018,2019,2020,2023",0,1484,94,0,76255,21982,484,0,13278
amu,Latn,amu_Latn,Guerrero Amuzgo,s,Ll,LATIN SMALL LETTER S,110031,9,"2013,2014,2016,2017,2018,2019,2020,2021,2023",34563,2083,35275,2027,26210,6085,134,102,3552
