iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
ang,Latn,ang_Latn,Old English (ca. 450-1100), ,Zs,SPACE,855238,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12942,64166,50075,11157,135885,227227,76245,28743,59640,109101,69608,10449
ang,Latn,ang_Latn,Old English (ca. 450-1100),e,Ll,LATIN SMALL LETTER E,498827,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7942,39833,34745,6669,60122,147474,39197,17394,26959,69809,42418,6265
ang,Latn,ang_Latn,Old English (ca. 450-1100),n,Ll,LATIN SMALL LETTER N,365867,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6181,28022,23790,5489,52696,96737,33463,13126,25191,44321,31973,4878
ang,Latn,ang_Latn,Old English (ca. 450-1100),a,Ll,LATIN SMALL LETTER A,319449,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5098,24697,19849,4530,48647,85548,31276,11468,22962,34219,27092,4063
ang,Latn,ang_Latn,Old English (ca. 450-1100),r,Ll,LATIN SMALL LETTER R,247196,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3759,17399,15432,3254,41691,64796,24153,8851,18425,24392,21638,3406
ang,Latn,ang_Latn,Old English (ca. 450-1100),o,Ll,LATIN SMALL LETTER O,233811,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3259,16748,15627,2520,31678,71897,17961,7036,15071,29387,19908,2719
ang,Latn,ang_Latn,Old English (ca. 450-1100),i,Ll,LATIN SMALL LETTER I,231175,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3456,15189,12253,2682,36969,58090,22344,7495,16954,30539,22312,2892
ang,Latn,ang_Latn,Old English (ca. 450-1100),s,Ll,LATIN SMALL LETTER S,230037,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3901,17446,13879,3329,32309,62372,21403,8509,14416,28694,20841,2938
ang,Latn,ang_Latn,Old English (ca. 450-1100),d,Ll,LATIN SMALL LETTER D,192789,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3217,15601,13468,2796,22602,55092,16242,6720,11273,25956,17170,2652
ang,Latn,ang_Latn,Old English (ca. 450-1100),t,Ll,LATIN SMALL LETTER T,188982,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2772,13297,10452,2393,30607,50353,16664,6576,13304,24801,15590,2173
ang,Latn,ang_Latn,Old English (ca. 450-1100),l,Ll,LATIN SMALL LETTER L,168607,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2471,11804,10033,2213,27689,45628,15469,5271,13741,19616,12685,1987
ang,Latn,ang_Latn,Old English (ca. 450-1100),m,Ll,LATIN SMALL LETTER M,141653,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2268,10922,9221,2179,22823,37704,13329,4952,10052,14551,11934,1718
ang,Latn,ang_Latn,Old English (ca. 450-1100),h,Ll,LATIN SMALL LETTER H,133109,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1791,10343,7610,1372,22636,37111,9841,4075,8843,19153,9217,1117
ang,Latn,ang_Latn,Old English (ca. 450-1100),g,Ll,LATIN SMALL LETTER G,120843,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1657,6982,8060,1822,20421,36510,11364,4244,7767,10186,10212,1618
ang,Latn,ang_Latn,Old English (ca. 450-1100),u,Ll,LATIN SMALL LETTER U,113799,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1687,7876,6749,1499,18302,30572,9820,3453,8002,15248,9345,1246
ang,Latn,ang_Latn,Old English (ca. 450-1100),þ,Ll,LATIN SMALL LETTER THORN,111861,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1862,10004,6697,1864,17797,32299,11453,3889,4625,12284,7678,1409
ang,Latn,ang_Latn,Old English (ca. 450-1100),æ,Ll,LATIN SMALL LETTER AE,108193,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1192,7175,6126,826,31981,21831,12153,2861,11319,4630,6938,1161
ang,Latn,ang_Latn,Old English (ca. 450-1100),c,Ll,LATIN SMALL LETTER C,106511,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2097,8992,7453,1730,11813,27730,9471,4215,7809,12842,10762,1597
ang,Latn,ang_Latn,Old English (ca. 450-1100),f,Ll,LATIN SMALL LETTER F,102991,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1471,7602,6698,1282,15976,29013,8425,3369,9250,11020,7526,1359
ang,Latn,ang_Latn,Old English (ca. 450-1100),w,Ll,LATIN SMALL LETTER W,86625,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1052,4969,5588,1343,15782,28512,5567,1405,4796,10975,5772,864
ang,Latn,ang_Latn,Old English (ca. 450-1100),.,Po,FULL STOP,68130,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",733,3589,2797,636,12677,14578,7458,2083,5512,11545,5833,689
