iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency
any,Latn,any_Latn,Anyin, ,Zs,SPACE,21583,5,"2017,2018,2019,2021,2022",1316,115,2516,1616,16020
any,Latn,any_Latn,Anyin,n,Ll,LATIN SMALL LETTER N,13867,5,"2017,2018,2019,2021,2022",882,75,1514,990,10406
any,Latn,any_Latn,Anyin,a,Ll,LATIN SMALL LETTER A,9200,5,"2017,2018,2019,2021,2022",548,31,1060,733,6828
any,Latn,any_Latn,Anyin,ɛ,Ll,LATIN SMALL LETTER OPEN E,5763,5,"2017,2018,2019,2021,2022",345,41,556,454,4367
any,Latn,any_Latn,Anyin,ɔ,Ll,LATIN SMALL LETTER OPEN O,4813,5,"2017,2018,2019,2021,2022",336,17,558,336,3566
any,Latn,any_Latn,Anyin,ɩ,Ll,LATIN SMALL LETTER IOTA,4544,5,"2017,2018,2019,2021,2022",257,34,493,321,3439
any,Latn,any_Latn,Anyin,l,Ll,LATIN SMALL LETTER L,3954,5,"2017,2018,2019,2021,2022",229,15,444,265,3001
any,Latn,any_Latn,Anyin,m,Ll,LATIN SMALL LETTER M,3863,5,"2017,2018,2019,2021,2022",195,12,413,316,2927
any,Latn,any_Latn,Anyin,ʋ,Ll,LATIN SMALL LETTER V WITH HOOK,2936,5,"2017,2018,2019,2021,2022",183,23,404,199,2127
any,Latn,any_Latn,Anyin,i,Ll,LATIN SMALL LETTER I,2795,5,"2017,2018,2019,2021,2022",152,14,396,146,2087
any,Latn,any_Latn,Anyin,',Po,APOSTROPHE,2699,4,"2017,2019,2021,2022",171,0,325,176,2027
any,Latn,any_Latn,Anyin,y,Ll,LATIN SMALL LETTER Y,2587,5,"2017,2018,2019,2021,2022",109,20,247,169,2042
any,Latn,any_Latn,Anyin,k,Ll,LATIN SMALL LETTER K,2466,5,"2017,2018,2019,2021,2022",194,11,304,234,1723
any,Latn,any_Latn,Anyin,b,Ll,LATIN SMALL LETTER B,2326,5,"2017,2018,2019,2021,2022",153,18,283,210,1662
any,Latn,any_Latn,Anyin,́,Mn,COMBINING ACUTE ACCENT,2101,4,"2017,2019,2021,2022",117,0,206,164,1614
any,Latn,any_Latn,Anyin,s,Ll,LATIN SMALL LETTER S,1984,5,"2017,2018,2019,2021,2022",119,12,218,162,1473
any,Latn,any_Latn,Anyin,u,Ll,LATIN SMALL LETTER U,1918,5,"2017,2018,2019,2021,2022",138,5,225,123,1427
any,Latn,any_Latn,Anyin,e,Ll,LATIN SMALL LETTER E,1877,5,"2017,2018,2019,2021,2022",134,9,246,158,1330
any,Latn,any_Latn,Anyin,w,Ll,LATIN SMALL LETTER W,1474,4,"2017,2019,2021,2022",112,0,195,91,1076
any,Latn,any_Latn,Anyin,",",Po,COMMA,1301,5,"2017,2018,2019,2021,2022",97,2,180,92,930
any,Latn,any_Latn,Anyin,.,Po,FULL STOP,1232,5,"2017,2018,2019,2021,2022",76,10,131,86,929
any,Latn,any_Latn,Anyin,t,Ll,LATIN SMALL LETTER T,1203,5,"2017,2018,2019,2021,2022",77,9,115,87,915
any,Latn,any_Latn,Anyin,f,Ll,LATIN SMALL LETTER F,878,5,"2017,2018,2019,2021,2022",69,9,120,52,628
any,Latn,any_Latn,Anyin,d,Ll,LATIN SMALL LETTER D,809,5,"2017,2018,2019,2021,2022",45,5,98,53,608
any,Latn,any_Latn,Anyin,o,Ll,LATIN SMALL LETTER O,744,5,"2017,2018,2019,2021,2022",73,8,123,37,503
any,Latn,any_Latn,Anyin,h,Ll,LATIN SMALL LETTER H,678,5,"2017,2018,2019,2021,2022",50,1,70,46,511
any,Latn,any_Latn,Anyin,z,Ll,LATIN SMALL LETTER Z,606,5,"2017,2018,2019,2021,2022",58,2,111,21,414
any,Latn,any_Latn,Anyin,N,Lu,LATIN CAPITAL LETTER N,576,5,"2017,2018,2019,2021,2022",22,1,47,54,452
any,Latn,any_Latn,Anyin,-,Pd,HYPHEN-MINUS,525,4,"2017,2019,2021,2022",34,0,78,30,383
any,Latn,any_Latn,Anyin,g,Ll,LATIN SMALL LETTER G,468,5,"2017,2018,2019,2021,2022",22,3,45,37,361
any,Latn,any_Latn,Anyin,j,Ll,LATIN SMALL LETTER J,448,5,"2017,2018,2019,2021,2022",28,1,41,34,344
any,Latn,any_Latn,Anyin,Z,Lu,LATIN CAPITAL LETTER Z,424,5,"2017,2018,2019,2021,2022",58,4,84,3,275
any,Latn,any_Latn,Anyin,p,Ll,LATIN SMALL LETTER P,402,5,"2017,2018,2019,2021,2022",20,2,38,33,309
any,Latn,any_Latn,Anyin,M,Lu,LATIN CAPITAL LETTER M,387,4,"2017,2019,2021,2022",23,0,59,16,289
any,Latn,any_Latn,Anyin,1,Nd,DIGIT ONE,341,4,"2017,2019,2021,2022",16,0,49,24,252
any,Latn,any_Latn,Anyin,Ɛ,Lu,LATIN CAPITAL LETTER OPEN E,266,5,"2017,2018,2019,2021,2022",28,3,38,11,186
any,Latn,any_Latn,Anyin,A,Lu,LATIN CAPITAL LETTER A,253,5,"2017,2018,2019,2021,2022",9,1,32,13,198
any,Latn,any_Latn,Anyin,á,Ll,LATIN SMALL LETTER A WITH ACUTE,247,5,"2017,2018,2019,2021,2022",14,4,18,40,171
any,Latn,any_Latn,Anyin,K,Lu,LATIN CAPITAL LETTER K,243,5,"2017,2018,2019,2021,2022",7,4,11,3,218
any,Latn,any_Latn,Anyin,Ɔ,Lu,LATIN CAPITAL LETTER OPEN O,227,4,"2017,2019,2021,2022",16,0,13,12,186
any,Latn,any_Latn,Anyin,c,Ll,LATIN SMALL LETTER C,211,5,"2017,2018,2019,2021,2022",8,2,21,20,160
any,Latn,any_Latn,Anyin,2,Nd,DIGIT TWO,207,4,"2017,2019,2021,2022",15,0,38,21,133
any,Latn,any_Latn,Anyin,B,Lu,LATIN CAPITAL LETTER B,159,5,"2017,2018,2019,2021,2022",16,5,26,9,103
any,Latn,any_Latn,Anyin,S,Lu,LATIN CAPITAL LETTER S,147,4,"2017,2019,2021,2022",10,0,31,19,87
