iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
asm,Beng,asm_Beng,Assamese, ,Zs,SPACE,84371269,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",16359,43639,20638,29483,855329,2438531,6595289,8759225,13505583,15887740,26008148,10211305
asm,Beng,asm_Beng,Assamese,া,Mc,BENGALI VOWEL SIGN AA,41965892,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7563,20702,10296,14430,409485,1217262,3322687,4466657,6752304,7954161,12777533,5012812
asm,Beng,asm_Beng,Assamese,ৰ,Lo,BENGALI LETTER RA WITH MIDDLE DIAGONAL,41455782,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6752,18439,10583,12182,371504,1098332,3124073,4299949,6662922,7913175,12819291,5118580
asm,Beng,asm_Beng,Assamese,ি,Mc,BENGALI VOWEL SIGN I,28693767,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5096,14750,6983,9380,287921,841651,2238049,2985456,4596692,5419135,8815896,3472758
asm,Beng,asm_Beng,Assamese,্,Mn,BENGALI SIGN VIRAMA,27140228,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4592,14412,7367,7247,226284,688414,1950333,2761704,4368123,5268388,8512423,3330941
asm,Beng,asm_Beng,Assamese,ক,Lo,BENGALI LETTER KA,22430421,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4161,11729,5389,7471,215814,629912,1700589,2343864,3621326,4240452,6907989,2741725
asm,Beng,asm_Beng,Assamese,ত,Lo,BENGALI LETTER TA,20876004,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3533,9926,5253,6581,202184,594454,1579917,2171621,3347207,3958126,6500844,2496358
asm,Beng,asm_Beng,Assamese,ে,Mc,BENGALI VOWEL SIGN E,20547435,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3735,10610,4352,7251,212738,610288,1616121,2168200,3317806,3896875,6223998,2475461
asm,Beng,asm_Beng,Assamese,ন,Lo,BENGALI LETTER NA,19746719,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4068,10116,4909,6361,192412,571148,1492913,2026650,3181121,3744933,6082018,2430070
asm,Beng,asm_Beng,Assamese,ব,Lo,BENGALI LETTER BA,15761648,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3154,7914,4090,5409,151941,450617,1227038,1637481,2495829,2957136,4862271,1958768
