iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe, ,Zs,SPACE,92896,7,"2014,2017,2018,2019,2020,2021,2022",1866,25004,7015,30748,736,11622,15905
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,i,Ll,LATIN SMALL LETTER I,43265,7,"2014,2017,2018,2019,2020,2021,2022",858,10256,3726,14996,357,5381,7691
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,a,Ll,LATIN SMALL LETTER A,28088,7,"2014,2017,2018,2019,2020,2021,2022",559,7088,2280,9401,194,3658,4908
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,e,Ll,LATIN SMALL LETTER E,23801,7,"2014,2017,2018,2019,2020,2021,2022",504,6227,1715,7803,258,3154,4140
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,ẹ,Ll,LATIN SMALL LETTER E WITH DOT BELOW,22285,7,"2014,2017,2018,2019,2020,2021,2022",414,5663,1603,7685,188,2989,3743
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,ọ,Ll,LATIN SMALL LETTER O WITH DOT BELOW,21195,7,"2014,2017,2018,2019,2020,2021,2022",527,6343,1424,6623,173,2437,3668
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,h,Ll,LATIN SMALL LETTER H,20466,7,"2014,2017,2018,2019,2020,2021,2022",371,5442,1531,6874,129,2508,3611
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,n,Ll,LATIN SMALL LETTER N,17048,7,"2014,2017,2018,2019,2020,2021,2022",370,4108,1410,5674,127,2256,3103
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,l,Ll,LATIN SMALL LETTER L,13868,7,"2014,2017,2018,2019,2020,2021,2022",298,3613,1015,4466,133,1669,2674
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,o,Ll,LATIN SMALL LETTER O,13613,7,"2014,2017,2018,2019,2020,2021,2022",257,3362,1005,4692,115,1664,2518
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,g,Ll,LATIN SMALL LETTER G,13448,7,"2014,2017,2018,2019,2020,2021,2022",262,3438,1017,4355,101,1825,2450
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,m,Ll,LATIN SMALL LETTER M,12471,7,"2014,2017,2018,2019,2020,2021,2022",243,3642,919,4145,78,1414,2030
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,u,Ll,LATIN SMALL LETTER U,12016,7,"2014,2017,2018,2019,2020,2021,2022",266,3169,909,4004,109,1503,2056
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,k,Ll,LATIN SMALL LETTER K,10673,7,"2014,2017,2018,2019,2020,2021,2022",215,2673,757,3650,79,1390,1909
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,b,Ll,LATIN SMALL LETTER B,10598,7,"2014,2017,2018,2019,2020,2021,2022",217,2692,792,3500,64,1497,1836
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,s,Ll,LATIN SMALL LETTER S,10304,7,"2014,2017,2018,2019,2020,2021,2022",208,2615,894,3517,70,1358,1642
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,y,Ll,LATIN SMALL LETTER Y,7133,7,"2014,2017,2018,2019,2020,2021,2022",163,1905,559,2340,56,881,1229
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,r,Ll,LATIN SMALL LETTER R,6319,7,"2014,2017,2018,2019,2020,2021,2022",113,1269,623,2346,66,910,992
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,",",Po,COMMA,5854,7,"2014,2017,2018,2019,2020,2021,2022",134,1739,399,1865,44,662,1011
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,.,Po,FULL STOP,4908,7,"2014,2017,2018,2019,2020,2021,2022",125,1130,359,1637,54,679,924
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,t,Ll,LATIN SMALL LETTER T,4329,7,"2014,2017,2018,2019,2020,2021,2022",107,1085,365,1508,52,520,692
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,p,Ll,LATIN SMALL LETTER P,2906,7,"2014,2017,2018,2019,2020,2021,2022",62,668,184,1020,26,413,533
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,d,Ll,LATIN SMALL LETTER D,2551,7,"2014,2017,2018,2019,2020,2021,2022",65,666,182,807,23,328,480
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,w,Ll,LATIN SMALL LETTER W,2110,7,"2014,2017,2018,2019,2020,2021,2022",47,478,176,713,13,367,316
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,1,Nd,DIGIT ONE,2102,7,"2014,2017,2018,2019,2020,2021,2022",67,309,170,788,22,327,419
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,f,Ll,LATIN SMALL LETTER F,1861,7,"2014,2017,2018,2019,2020,2021,2022",33,411,155,635,18,270,339
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,I,Lu,LATIN CAPITAL LETTER I,1821,7,"2014,2017,2018,2019,2020,2021,2022",52,633,138,504,15,187,292
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,2,Nd,DIGIT TWO,1388,7,"2014,2017,2018,2019,2020,2021,2022",43,291,84,525,16,209,220
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,A,Lu,LATIN CAPITAL LETTER A,1380,7,"2014,2017,2018,2019,2020,2021,2022",35,382,96,437,13,184,233
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,J,Lu,LATIN CAPITAL LETTER J,1378,7,"2014,2017,2018,2019,2020,2021,2022",62,628,109,326,26,96,131
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,Ẹ,Lu,LATIN CAPITAL LETTER E WITH DOT BELOW,1315,7,"2014,2017,2018,2019,2020,2021,2022",29,261,137,445,6,224,213
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,-,Pd,HYPHEN-MINUS,1275,7,"2014,2017,2018,2019,2020,2021,2022",26,235,97,453,12,185,267
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,z,Ll,LATIN SMALL LETTER Z,1192,7,"2014,2017,2018,2019,2020,2021,2022",25,227,88,435,8,175,234
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,Ọ,Lu,LATIN CAPITAL LETTER O WITH DOT BELOW,1086,7,"2014,2017,2018,2019,2020,2021,2022",37,352,70,307,7,117,196
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,E,Lu,LATIN CAPITAL LETTER E,895,7,"2014,2017,2018,2019,2020,2021,2022",19,253,64,283,20,108,148
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,3,Nd,DIGIT THREE,847,7,"2014,2017,2018,2019,2020,2021,2022",27,236,35,290,6,88,165
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,“,Pi,LEFT DOUBLE QUOTATION MARK,796,7,"2014,2017,2018,2019,2020,2021,2022",37,414,24,147,12,38,124
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,4,Nd,DIGIT FOUR,698,7,"2014,2017,2018,2019,2020,2021,2022",26,177,33,233,4,94,131
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,”,Pf,RIGHT DOUBLE QUOTATION MARK,660,7,"2014,2017,2018,2019,2020,2021,2022",37,377,20,86,11,30,99
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,v,Ll,LATIN SMALL LETTER V,649,7,"2014,2017,2018,2019,2020,2021,2022",19,171,40,201,12,43,163
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,O,Lu,LATIN CAPITAL LETTER O,608,7,"2014,2017,2018,2019,2020,2021,2022",29,165,32,168,6,59,149
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,M,Lu,LATIN CAPITAL LETTER M,604,7,"2014,2017,2018,2019,2020,2021,2022",16,167,41,248,4,31,97
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,5,Nd,DIGIT FIVE,564,7,"2014,2017,2018,2019,2020,2021,2022",17,129,31,177,6,74,130
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,K,Lu,LATIN CAPITAL LETTER K,545,7,"2014,2017,2018,2019,2020,2021,2022",7,46,95,268,1,85,43
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,6,Nd,DIGIT SIX,490,7,"2014,2017,2018,2019,2020,2021,2022",12,97,29,176,3,69,104
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,L,Lu,LATIN CAPITAL LETTER L,443,7,"2014,2017,2018,2019,2020,2021,2022",17,36,45,164,6,81,94
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,7,Nd,DIGIT SEVEN,409,7,"2014,2017,2018,2019,2020,2021,2022",11,87,26,138,2,60,85
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,9,Nd,DIGIT NINE,405,7,"2014,2017,2018,2019,2020,2021,2022",12,81,29,140,3,61,79
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,8,Nd,DIGIT EIGHT,394,7,"2014,2017,2018,2019,2020,2021,2022",13,82,27,138,3,55,76
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,0,Nd,DIGIT ZERO,382,7,"2014,2017,2018,2019,2020,2021,2022",9,80,31,120,2,45,95
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,?,Po,QUESTION MARK,306,7,"2014,2017,2018,2019,2020,2021,2022",10,163,5,70,3,23,32
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,j,Ll,LATIN SMALL LETTER J,296,7,"2014,2017,2018,2019,2020,2021,2022",5,138,12,75,11,24,31
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,P,Lu,LATIN CAPITAL LETTER P,217,6,"2014,2017,2018,2019,2021,2022",5,88,21,74,0,23,6
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,;,Po,SEMICOLON,214,7,"2014,2017,2018,2019,2020,2021,2022",12,3,13,88,2,43,53
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,á,Ll,LATIN SMALL LETTER A WITH ACUTE,164,7,"2014,2017,2018,2019,2020,2021,2022",12,47,12,47,1,9,36
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,S,Lu,LATIN CAPITAL LETTER S,158,6,"2014,2017,2018,2019,2021,2022",6,67,6,54,0,12,13
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,U,Lu,LATIN CAPITAL LETTER U,157,6,"2014,2017,2018,2019,2021,2022",7,51,7,39,0,24,29
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,c,Ll,LATIN SMALL LETTER C,143,7,"2014,2017,2018,2019,2020,2021,2022",1,24,9,38,4,18,49
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,!,Po,EXCLAMATION MARK,130,6,"2014,2017,2018,2019,2021,2022",3,64,1,25,0,4,33
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,N,Lu,LATIN CAPITAL LETTER N,129,7,"2014,2017,2018,2019,2020,2021,2022",9,26,10,39,4,14,27
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,*,Po,ASTERISK,126,4,"2018,2019,2021,2022",0,0,13,65,0,34,14
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,:,Po,COLON,112,6,"2017,2018,2019,2020,2021,2022",0,2,8,53,1,28,20
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,R,Lu,LATIN CAPITAL LETTER R,110,6,"2014,2017,2019,2020,2021,2022",1,28,0,50,3,18,10
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,́,Mn,COMBINING ACUTE ACCENT,101,6,"2014,2017,2018,2019,2021,2022",12,63,3,1,0,7,15
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,†,Po,DAGGER,99,4,"2018,2019,2021,2022",0,0,11,50,0,26,12
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,G,Lu,LATIN CAPITAL LETTER G,87,7,"2014,2017,2018,2019,2020,2021,2022",4,34,5,26,1,8,9
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,‘,Pi,LEFT SINGLE QUOTATION MARK,86,7,"2014,2017,2018,2019,2020,2021,2022",3,22,2,42,1,3,13
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,’,Pf,RIGHT SINGLE QUOTATION MARK,85,7,"2014,2017,2018,2019,2020,2021,2022",3,22,2,42,1,2,13
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,‡,Po,DOUBLE DAGGER,82,4,"2018,2019,2021,2022",0,0,6,45,0,21,10
atg,Latn,atg_Latn,Ivbie North-Okpela-Arhe,T,Lu,LATIN CAPITAL LETTER T,81,5,"2017,2018,2019,2021,2022",0,12,17,23,0,20,9
