iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency
auc,Latn,auc_Latn,Waorani, ,Zs,SPACE,52544,4,"2014,2019,2021,2022",3248,738,25337,23221
auc,Latn,auc_Latn,Waorani,n,Ll,LATIN SMALL LETTER N,44831,4,"2014,2019,2021,2022",2887,679,21625,19640
auc,Latn,auc_Latn,Waorani,a,Ll,LATIN SMALL LETTER A,26363,4,"2014,2019,2021,2022",1786,382,12488,11707
auc,Latn,auc_Latn,Waorani,e,Ll,LATIN SMALL LETTER E,21669,4,"2014,2019,2021,2022",1334,330,10425,9580
auc,Latn,auc_Latn,Waorani,i,Ll,LATIN SMALL LETTER I,19540,4,"2014,2019,2021,2022",1208,275,9087,8970
auc,Latn,auc_Latn,Waorani,t,Ll,LATIN SMALL LETTER T,18446,4,"2014,2019,2021,2022",1177,238,8944,8087
auc,Latn,auc_Latn,Waorani,ö,Ll,LATIN SMALL LETTER O WITH DIAERESIS,18168,4,"2014,2019,2021,2022",1204,227,9360,7377
auc,Latn,auc_Latn,Waorani,æ,Ll,LATIN SMALL LETTER AE,16328,4,"2014,2019,2021,2022",946,247,7729,7406
auc,Latn,auc_Latn,Waorani,m,Ll,LATIN SMALL LETTER M,15761,4,"2014,2019,2021,2022",971,156,8054,6580
auc,Latn,auc_Latn,Waorani,o,Ll,LATIN SMALL LETTER O,14671,4,"2014,2019,2021,2022",1018,202,7020,6431
auc,Latn,auc_Latn,Waorani,ä,Ll,LATIN SMALL LETTER A WITH DIAERESIS,13221,4,"2014,2019,2021,2022",1069,228,5803,6121
auc,Latn,auc_Latn,Waorani,ï,Ll,LATIN SMALL LETTER I WITH DIAERESIS,12753,4,"2014,2019,2021,2022",718,137,6401,5497
auc,Latn,auc_Latn,Waorani,g,Ll,LATIN SMALL LETTER G,11290,4,"2014,2019,2021,2022",875,160,5243,5012
auc,Latn,auc_Latn,Waorani,d,Ll,LATIN SMALL LETTER D,10357,4,"2014,2019,2021,2022",732,209,4600,4816
auc,Latn,auc_Latn,Waorani,ë,Ll,LATIN SMALL LETTER E WITH DIAERESIS,10214,4,"2014,2019,2021,2022",588,210,4831,4585
auc,Latn,auc_Latn,Waorani,p,Ll,LATIN SMALL LETTER P,9084,4,"2014,2019,2021,2022",566,112,4629,3777
auc,Latn,auc_Latn,Waorani,c,Ll,LATIN SMALL LETTER C,8344,4,"2014,2019,2021,2022",420,80,3979,3865
auc,Latn,auc_Latn,Waorani,u,Ll,LATIN SMALL LETTER U,7959,4,"2014,2019,2021,2022",454,126,3750,3629
auc,Latn,auc_Latn,Waorani,w,Ll,LATIN SMALL LETTER W,7747,4,"2014,2019,2021,2022",355,119,3680,3593
auc,Latn,auc_Latn,Waorani,q,Ll,LATIN SMALL LETTER Q,5454,4,"2014,2019,2021,2022",297,101,2495,2561
auc,Latn,auc_Latn,Waorani,b,Ll,LATIN SMALL LETTER B,4865,4,"2014,2019,2021,2022",270,56,2524,2015
auc,Latn,auc_Latn,Waorani,̈,Mn,COMBINING DIAERESIS,4780,4,"2014,2019,2021,2022",335,76,2244,2125
auc,Latn,auc_Latn,Waorani,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,3650,4,"2014,2019,2021,2022",292,92,1550,1716
auc,Latn,auc_Latn,Waorani,",",Po,COMMA,3565,4,"2014,2019,2021,2022",259,53,1736,1517
auc,Latn,auc_Latn,Waorani,.,Po,FULL STOP,3517,4,"2014,2019,2021,2022",271,45,1620,1581
auc,Latn,auc_Latn,Waorani,y,Ll,LATIN SMALL LETTER Y,2380,4,"2014,2019,2021,2022",165,41,1198,976
auc,Latn,auc_Latn,Waorani,W,Lu,LATIN CAPITAL LETTER W,1662,4,"2014,2019,2021,2022",115,29,910,608
auc,Latn,auc_Latn,Waorani,M,Lu,LATIN CAPITAL LETTER M,1062,4,"2014,2019,2021,2022",74,9,527,452
auc,Latn,auc_Latn,Waorani,A,Lu,LATIN CAPITAL LETTER A,1059,4,"2014,2019,2021,2022",83,16,476,484
auc,Latn,auc_Latn,Waorani,1,Nd,DIGIT ONE,824,4,"2014,2019,2021,2022",76,13,356,379
auc,Latn,auc_Latn,Waorani,I,Lu,LATIN CAPITAL LETTER I,731,4,"2014,2019,2021,2022",74,5,261,391
auc,Latn,auc_Latn,Waorani,2,Nd,DIGIT TWO,542,4,"2014,2019,2021,2022",53,8,207,274
auc,Latn,auc_Latn,Waorani,B,Lu,LATIN CAPITAL LETTER B,541,4,"2014,2019,2021,2022",45,13,256,227
auc,Latn,auc_Latn,Waorani,T,Lu,LATIN CAPITAL LETTER T,488,4,"2014,2019,2021,2022",47,1,248,192
auc,Latn,auc_Latn,Waorani,C,Lu,LATIN CAPITAL LETTER C,449,4,"2014,2019,2021,2022",23,4,312,110
auc,Latn,auc_Latn,Waorani,Ï,Lu,LATIN CAPITAL LETTER I WITH DIAERESIS,357,4,"2014,2019,2021,2022",10,4,185,158
auc,Latn,auc_Latn,Waorani,3,Nd,DIGIT THREE,348,4,"2014,2019,2021,2022",39,3,93,213
auc,Latn,auc_Latn,Waorani,E,Lu,LATIN CAPITAL LETTER E,340,4,"2014,2019,2021,2022",16,24,180,120
auc,Latn,auc_Latn,Waorani,4,Nd,DIGIT FOUR,288,4,"2014,2019,2021,2022",37,2,85,164
auc,Latn,auc_Latn,Waorani,P,Lu,LATIN CAPITAL LETTER P,254,4,"2014,2019,2021,2022",27,2,133,92
auc,Latn,auc_Latn,Waorani,5,Nd,DIGIT FIVE,216,4,"2014,2019,2021,2022",22,2,83,109
auc,Latn,auc_Latn,Waorani,N,Lu,LATIN CAPITAL LETTER N,203,4,"2014,2019,2021,2022",17,7,93,86
auc,Latn,auc_Latn,Waorani,7,Nd,DIGIT SEVEN,174,4,"2014,2019,2021,2022",14,2,73,85
auc,Latn,auc_Latn,Waorani,6,Nd,DIGIT SIX,171,4,"2014,2019,2021,2022",18,2,76,75
auc,Latn,auc_Latn,Waorani,Æ,Lu,LATIN CAPITAL LETTER AE,169,4,"2014,2019,2021,2022",18,3,66,82
auc,Latn,auc_Latn,Waorani,—,Pd,EM DASH,167,4,"2014,2019,2021,2022",49,3,15,100
auc,Latn,auc_Latn,Waorani,8,Nd,DIGIT EIGHT,162,4,"2014,2019,2021,2022",18,2,60,82
auc,Latn,auc_Latn,Waorani,0,Nd,DIGIT ZERO,152,4,"2014,2019,2021,2022",18,2,56,76
auc,Latn,auc_Latn,Waorani,9,Nd,DIGIT NINE,150,4,"2014,2019,2021,2022",15,2,57,76
auc,Latn,auc_Latn,Waorani,“,Pi,LEFT DOUBLE QUOTATION MARK,149,4,"2014,2019,2021,2022",5,5,40,99
auc,Latn,auc_Latn,Waorani,”,Pf,RIGHT DOUBLE QUOTATION MARK,149,4,"2014,2019,2021,2022",5,5,40,99
auc,Latn,auc_Latn,Waorani,O,Lu,LATIN CAPITAL LETTER O,143,4,"2014,2019,2021,2022",15,19,43,66
auc,Latn,auc_Latn,Waorani,Ö,Lu,LATIN CAPITAL LETTER O WITH DIAERESIS,111,3,"2014,2021,2022",11,0,60,40
auc,Latn,auc_Latn,Waorani,G,Lu,LATIN CAPITAL LETTER G,104,4,"2014,2019,2021,2022",8,5,27,64
auc,Latn,auc_Latn,Waorani,Ä,Lu,LATIN CAPITAL LETTER A WITH DIAERESIS,91,4,"2014,2019,2021,2022",13,3,12,63
auc,Latn,auc_Latn,Waorani,-,Pd,HYPHEN-MINUS,85,3,"2014,2021,2022",14,0,3,68
auc,Latn,auc_Latn,Waorani,Q,Lu,LATIN CAPITAL LETTER Q,83,3,"2014,2021,2022",3,0,53,27
auc,Latn,auc_Latn,Waorani,D,Lu,LATIN CAPITAL LETTER D,70,4,"2014,2019,2021,2022",2,2,26,40
auc,Latn,auc_Latn,Waorani,Ñ,Lu,LATIN CAPITAL LETTER N WITH TILDE,63,3,"2014,2021,2022",2,0,29,32
auc,Latn,auc_Latn,Waorani,‘,Pi,LEFT SINGLE QUOTATION MARK,52,3,"2014,2021,2022",2,0,4,46
auc,Latn,auc_Latn,Waorani,’,Pf,RIGHT SINGLE QUOTATION MARK,52,3,"2014,2021,2022",2,0,4,46
auc,Latn,auc_Latn,Waorani,),Pe,RIGHT PARENTHESIS,48,3,"2014,2021,2022",6,0,1,41
auc,Latn,auc_Latn,Waorani,(,Ps,LEFT PARENTHESIS,48,3,"2014,2021,2022",6,0,1,41
auc,Latn,auc_Latn,Waorani,;,Po,SEMICOLON,32,2,"2014,2022",8,0,0,24
auc,Latn,auc_Latn,Waorani,Ë,Lu,LATIN CAPITAL LETTER E WITH DIAERESIS,28,4,"2014,2019,2021,2022",3,3,7,15
auc,Latn,auc_Latn,Waorani,Y,Lu,LATIN CAPITAL LETTER Y,18,4,"2014,2019,2021,2022",2,1,5,10
auc,Latn,auc_Latn,Waorani,r,Ll,LATIN SMALL LETTER R,8,1,2014,8,0,0,0
auc,Latn,auc_Latn,Waorani,s,Ll,LATIN SMALL LETTER S,4,1,2014,4,0,0,0
auc,Latn,auc_Latn,Waorani,h,Ll,LATIN SMALL LETTER H,3,1,2022,0,0,0,3
auc,Latn,auc_Latn,Waorani,번,Lo,HANGUL SYLLABLE BEON,2,1,2014,2,0,0,0
auc,Latn,auc_Latn,Waorani,v,Ll,LATIN SMALL LETTER V,2,1,2014,2,0,0,0
auc,Latn,auc_Latn,Waorani,f,Ll,LATIN SMALL LETTER F,2,1,2014,2,0,0,0
auc,Latn,auc_Latn,Waorani,L,Lu,LATIN CAPITAL LETTER L,2,1,2014,2,0,0,0
auc,Latn,auc_Latn,Waorani,참,Lo,HANGUL SYLLABLE CAM,1,1,2014,1,0,0,0
auc,Latn,auc_Latn,Waorani,두,Lo,HANGUL SYLLABLE DU,1,1,2014,1,0,0,0
auc,Latn,auc_Latn,Waorani,째,Lo,HANGUL SYLLABLE JJAE,1,1,2014,1,0,0,0
auc,Latn,auc_Latn,Waorani,역,Lo,HANGUL SYLLABLE YEOG,1,1,2014,1,0,0,0
auc,Latn,auc_Latn,Waorani,본,Lo,HANGUL SYLLABLE BON,1,1,2014,1,0,0,0
auc,Latn,auc_Latn,Waorani,에,Lo,HANGUL SYLLABLE E,1,1,2014,1,0,0,0
auc,Latn,auc_Latn,Waorani,서,Lo,HANGUL SYLLABLE SEO,1,1,2014,1,0,0,0
auc,Latn,auc_Latn,Waorani,니,Lo,HANGUL SYLLABLE NI,1,1,2014,1,0,0,0
auc,Latn,auc_Latn,Waorani,합,Lo,HANGUL SYLLABLE HAB,1,1,2014,1,0,0,0
