iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2022_frequency
avn,Latn,avn_Latn,Avatime, ,Zs,SPACE,2631,2,"2017,2022",604,2027
avn,Latn,avn_Latn,Avatime,a,Ll,LATIN SMALL LETTER A,1141,2,"2017,2022",272,869
avn,Latn,avn_Latn,Avatime,ɛ,Ll,LATIN SMALL LETTER OPEN E,938,2,"2017,2022",147,791
avn,Latn,avn_Latn,Avatime,i,Ll,LATIN SMALL LETTER I,893,2,"2017,2022",209,684
avn,Latn,avn_Latn,Avatime,e,Ll,LATIN SMALL LETTER E,683,2,"2017,2022",183,500
avn,Latn,avn_Latn,Avatime,ɔ,Ll,LATIN SMALL LETTER OPEN O,678,2,"2017,2022",119,559
avn,Latn,avn_Latn,Avatime,n,Ll,LATIN SMALL LETTER N,546,2,"2017,2022",113,433
avn,Latn,avn_Latn,Avatime,l,Ll,LATIN SMALL LETTER L,498,2,"2017,2022",98,400
avn,Latn,avn_Latn,Avatime,k,Ll,LATIN SMALL LETTER K,482,2,"2017,2022",64,418
avn,Latn,avn_Latn,Avatime,b,Ll,LATIN SMALL LETTER B,458,2,"2017,2022",87,371
avn,Latn,avn_Latn,Avatime,s,Ll,LATIN SMALL LETTER S,391,2,"2017,2022",78,313
avn,Latn,avn_Latn,Avatime,u,Ll,LATIN SMALL LETTER U,357,2,"2017,2022",57,300
avn,Latn,avn_Latn,Avatime,m,Ll,LATIN SMALL LETTER M,298,2,"2017,2022",68,230
avn,Latn,avn_Latn,Avatime,y,Ll,LATIN SMALL LETTER Y,273,2,"2017,2022",80,193
avn,Latn,avn_Latn,Avatime,o,Ll,LATIN SMALL LETTER O,269,2,"2017,2022",97,172
avn,Latn,avn_Latn,Avatime,t,Ll,LATIN SMALL LETTER T,247,2,"2017,2022",45,202
avn,Latn,avn_Latn,Avatime,p,Ll,LATIN SMALL LETTER P,207,2,"2017,2022",75,132
avn,Latn,avn_Latn,Avatime,",",Po,COMMA,192,2,"2017,2022",48,144
avn,Latn,avn_Latn,Avatime,d,Ll,LATIN SMALL LETTER D,165,2,"2017,2022",37,128
avn,Latn,avn_Latn,Avatime,g,Ll,LATIN SMALL LETTER G,163,2,"2017,2022",25,138
avn,Latn,avn_Latn,Avatime,z,Ll,LATIN SMALL LETTER Z,145,2,"2017,2022",35,110
avn,Latn,avn_Latn,Avatime,.,Po,FULL STOP,136,2,"2017,2022",38,98
avn,Latn,avn_Latn,Avatime,w,Ll,LATIN SMALL LETTER W,111,2,"2017,2022",17,94
avn,Latn,avn_Latn,Avatime,í,Ll,LATIN SMALL LETTER I WITH ACUTE,96,2,"2017,2022",19,77
avn,Latn,avn_Latn,Avatime,r,Ll,LATIN SMALL LETTER R,85,2,"2017,2022",51,34
avn,Latn,avn_Latn,Avatime,Y,Lu,LATIN CAPITAL LETTER Y,80,2,"2017,2022",36,44
avn,Latn,avn_Latn,Avatime,f,Ll,LATIN SMALL LETTER F,69,2,"2017,2022",20,49
avn,Latn,avn_Latn,Avatime,ʋ,Ll,LATIN SMALL LETTER V WITH HOOK,67,2,"2017,2022",15,52
avn,Latn,avn_Latn,Avatime,h,Ll,LATIN SMALL LETTER H,65,2,"2017,2022",13,52
avn,Latn,avn_Latn,Avatime,A,Lu,LATIN CAPITAL LETTER A,62,2,"2017,2022",28,34
avn,Latn,avn_Latn,Avatime,x,Ll,LATIN SMALL LETTER X,54,2,"2017,2022",15,39
avn,Latn,avn_Latn,Avatime,1,Nd,DIGIT ONE,42,2,"2017,2022",13,29
avn,Latn,avn_Latn,Avatime,ã,Ll,LATIN SMALL LETTER A WITH TILDE,39,2,"2017,2022",1,38
avn,Latn,avn_Latn,Avatime,M,Lu,LATIN CAPITAL LETTER M,38,2,"2017,2022",10,28
avn,Latn,avn_Latn,Avatime,̀,Mn,COMBINING GRAVE ACCENT,34,2,"2017,2022",2,32
avn,Latn,avn_Latn,Avatime,2,Nd,DIGIT TWO,34,2,"2017,2022",9,25
avn,Latn,avn_Latn,Avatime,L,Lu,LATIN CAPITAL LETTER L,29,2,"2017,2022",8,21
avn,Latn,avn_Latn,Avatime,ŋ,Ll,LATIN SMALL LETTER ENG,28,2,"2017,2022",1,27
avn,Latn,avn_Latn,Avatime,“,Pi,LEFT DOUBLE QUOTATION MARK,27,2,"2017,2022",3,24
