iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2022_frequency,year_2023_frequency
avt,Latn,avt_Latn,Au, ,Zs,SPACE,248991,3,"2018,2022,2023",184071,36931,27989
avt,Latn,avt_Latn,Au,e,Ll,LATIN SMALL LETTER E,143653,3,"2018,2022,2023",107661,20222,15770
avt,Latn,avt_Latn,Au,a,Ll,LATIN SMALL LETTER A,107818,3,"2018,2022,2023",79607,16237,11974
avt,Latn,avt_Latn,Au,n,Ll,LATIN SMALL LETTER N,90511,3,"2018,2022,2023",66868,12996,10647
avt,Latn,avt_Latn,Au,i,Ll,LATIN SMALL LETTER I,88816,3,"2018,2022,2023",65289,13514,10013
avt,Latn,avt_Latn,Au,m,Ll,LATIN SMALL LETTER M,81211,3,"2018,2022,2023",57859,13206,10146
avt,Latn,avt_Latn,Au,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,78770,3,"2018,2022,2023",56482,12524,9764
avt,Latn,avt_Latn,Au,k,Ll,LATIN SMALL LETTER K,75799,3,"2018,2022,2023",55960,11751,8088
avt,Latn,avt_Latn,Au,r,Ll,LATIN SMALL LETTER R,66576,3,"2018,2022,2023",50607,8998,6971
avt,Latn,avt_Latn,Au,t,Ll,LATIN SMALL LETTER T,56578,3,"2018,2022,2023",43338,7613,5627
avt,Latn,avt_Latn,Au,h,Ll,LATIN SMALL LETTER H,47079,3,"2018,2022,2023",35077,6715,5287
avt,Latn,avt_Latn,Au,s,Ll,LATIN SMALL LETTER S,30793,3,"2018,2022,2023",25221,3230,2342
avt,Latn,avt_Latn,Au,p,Ll,LATIN SMALL LETTER P,30267,3,"2018,2022,2023",22178,4480,3609
avt,Latn,avt_Latn,Au,w,Ll,LATIN SMALL LETTER W,26587,3,"2018,2022,2023",19801,3656,3130
avt,Latn,avt_Latn,Au,u,Ll,LATIN SMALL LETTER U,26012,3,"2018,2022,2023",18978,4000,3034
avt,Latn,avt_Latn,Au,o,Ll,LATIN SMALL LETTER O,22880,3,"2018,2022,2023",18987,2336,1557
avt,Latn,avt_Latn,Au,y,Ll,LATIN SMALL LETTER Y,21863,3,"2018,2022,2023",15894,3389,2580
avt,Latn,avt_Latn,Au,.,Po,FULL STOP,14046,3,"2018,2022,2023",10597,1959,1490
avt,Latn,avt_Latn,Au,d,Ll,LATIN SMALL LETTER D,10462,3,"2018,2022,2023",8546,1199,717
avt,Latn,avt_Latn,Au,",",Po,COMMA,9925,3,"2018,2022,2023",7482,1336,1107
avt,Latn,avt_Latn,Au,1,Nd,DIGIT ONE,9272,3,"2018,2022,2023",6304,1819,1149
avt,Latn,avt_Latn,Au,H,Lu,LATIN CAPITAL LETTER H,7534,3,"2018,2022,2023",5682,1064,788
avt,Latn,avt_Latn,Au,l,Ll,LATIN SMALL LETTER L,7109,3,"2018,2022,2023",6198,530,381
avt,Latn,avt_Latn,Au,G,Lu,LATIN CAPITAL LETTER G,6941,3,"2018,2022,2023",4998,1207,736
avt,Latn,avt_Latn,Au,:,Po,COLON,6143,3,"2018,2022,2023",4141,1234,768
avt,Latn,avt_Latn,Au,2,Nd,DIGIT TWO,5415,3,"2018,2022,2023",3706,1031,678
avt,Latn,avt_Latn,Au,M,Lu,LATIN CAPITAL LETTER M,4567,3,"2018,2022,2023",3304,699,564
avt,Latn,avt_Latn,Au,T,Lu,LATIN CAPITAL LETTER T,4190,3,"2018,2022,2023",3584,357,249
avt,Latn,avt_Latn,Au,b,Ll,LATIN SMALL LETTER B,3336,3,"2018,2022,2023",3216,70,50
avt,Latn,avt_Latn,Au,c,Ll,LATIN SMALL LETTER C,3321,1,2018,3321,0,0
avt,Latn,avt_Latn,Au,3,Nd,DIGIT THREE,3093,3,"2018,2022,2023",2133,575,385
avt,Latn,avt_Latn,Au,K,Lu,LATIN CAPITAL LETTER K,2955,3,"2018,2022,2023",2142,505,308
avt,Latn,avt_Latn,Au,J,Lu,LATIN CAPITAL LETTER J,2537,3,"2018,2022,2023",2003,387,147
avt,Latn,avt_Latn,Au,4,Nd,DIGIT FOUR,2321,3,"2018,2022,2023",1601,460,260
avt,Latn,avt_Latn,Au,S,Lu,LATIN CAPITAL LETTER S,2288,3,"2018,2022,2023",2069,137,82
avt,Latn,avt_Latn,Au,I,Lu,LATIN CAPITAL LETTER I,2288,3,"2018,2022,2023",1879,240,169
avt,Latn,avt_Latn,Au,v,Ll,LATIN SMALL LETTER V,2225,3,"2018,2022,2023",2064,74,87
avt,Latn,avt_Latn,Au,E,Lu,LATIN CAPITAL LETTER E,2197,3,"2018,2022,2023",1992,131,74
avt,Latn,avt_Latn,Au,V,Lu,LATIN CAPITAL LETTER V,2174,1,2018,2174,0,0
avt,Latn,avt_Latn,Au,f,Ll,LATIN SMALL LETTER F,2157,3,"2018,2022,2023",2009,110,38
avt,Latn,avt_Latn,Au,Y,Lu,LATIN CAPITAL LETTER Y,2154,3,"2018,2022,2023",1613,303,238
avt,Latn,avt_Latn,Au,5,Nd,DIGIT FIVE,2051,3,"2018,2022,2023",1363,433,255
avt,Latn,avt_Latn,Au,',Po,APOSTROPHE,1966,1,2018,1966,0,0
avt,Latn,avt_Latn,Au,g,Ll,LATIN SMALL LETTER G,1802,3,"2018,2022,2023",1702,48,52
avt,Latn,avt_Latn,Au,N,Lu,LATIN CAPITAL LETTER N,1741,3,"2018,2022,2023",1468,163,110
avt,Latn,avt_Latn,Au,6,Nd,DIGIT SIX,1720,3,"2018,2022,2023",1136,346,238
avt,Latn,avt_Latn,Au,0,Nd,DIGIT ZERO,1577,3,"2018,2022,2023",1183,246,148
avt,Latn,avt_Latn,Au,P,Lu,LATIN CAPITAL LETTER P,1540,3,"2018,2022,2023",1200,228,112
avt,Latn,avt_Latn,Au,8,Nd,DIGIT EIGHT,1515,3,"2018,2022,2023",1075,263,177
avt,Latn,avt_Latn,Au,7,Nd,DIGIT SEVEN,1432,3,"2018,2022,2023",986,277,169
avt,Latn,avt_Latn,Au,9,Nd,DIGIT NINE,1389,3,"2018,2022,2023",940,261,188
avt,Latn,avt_Latn,Au,;,Po,SEMICOLON,1290,3,"2018,2022,2023",782,326,182
avt,Latn,avt_Latn,Au,-,Pd,HYPHEN-MINUS,1172,3,"2018,2022,2023",886,182,104
avt,Latn,avt_Latn,Au,x,Ll,LATIN SMALL LETTER X,1151,1,2018,1151,0,0
avt,Latn,avt_Latn,Au,A,Lu,LATIN CAPITAL LETTER A,1112,3,"2018,2022,2023",759,224,129
avt,Latn,avt_Latn,Au,*,Po,ASTERISK,1076,2,"2022,2023",0,665,411
avt,Latn,avt_Latn,Au,“,Pi,LEFT DOUBLE QUOTATION MARK,1067,3,"2018,2022,2023",866,108,93
