iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency
awb,Latn,awb_Latn,Awa (Papua New Guinea), ,Zs,SPACE,119064,4,"2013,2018,2019,2021",1059,116708,983,314
awb,Latn,awb_Latn,Awa (Papua New Guinea),a,Ll,LATIN SMALL LETTER A,93320,4,"2013,2018,2019,2021",835,91341,822,322
awb,Latn,awb_Latn,Awa (Papua New Guinea),e,Ll,LATIN SMALL LETTER E,76782,4,"2013,2018,2019,2021",709,75180,657,236
awb,Latn,awb_Latn,Awa (Papua New Guinea),n,Ll,LATIN SMALL LETTER N,54094,4,"2013,2018,2019,2021",424,52975,542,153
awb,Latn,awb_Latn,Awa (Papua New Guinea),r,Ll,LATIN SMALL LETTER R,49882,4,"2013,2018,2019,2021",442,48899,361,180
awb,Latn,awb_Latn,Awa (Papua New Guinea),h,Ll,LATIN SMALL LETTER H,46180,4,"2013,2018,2019,2021",422,45290,284,184
awb,Latn,awb_Latn,Awa (Papua New Guinea),i,Ll,LATIN SMALL LETTER I,37513,4,"2013,2018,2019,2021",309,36767,320,117
awb,Latn,awb_Latn,Awa (Papua New Guinea),á,Ll,LATIN SMALL LETTER A WITH ACUTE,30636,4,"2013,2018,2019,2021",332,29976,237,91
awb,Latn,awb_Latn,Awa (Papua New Guinea),t,Ll,LATIN SMALL LETTER T,29230,4,"2013,2018,2019,2021",236,28710,175,109
awb,Latn,awb_Latn,Awa (Papua New Guinea),s,Ll,LATIN SMALL LETTER S,27808,4,"2013,2018,2019,2021",208,27388,172,40
awb,Latn,awb_Latn,Awa (Papua New Guinea),w,Ll,LATIN SMALL LETTER W,25662,4,"2013,2018,2019,2021",337,24988,278,59
awb,Latn,awb_Latn,Awa (Papua New Guinea),o,Ll,LATIN SMALL LETTER O,24741,4,"2013,2018,2019,2021",200,24325,140,76
awb,Latn,awb_Latn,Awa (Papua New Guinea),é,Ll,LATIN SMALL LETTER E WITH ACUTE,23881,4,"2013,2018,2019,2021",192,23407,212,70
awb,Latn,awb_Latn,Awa (Papua New Guinea),k,Ll,LATIN SMALL LETTER K,23689,4,"2013,2018,2019,2021",238,23203,192,56
awb,Latn,awb_Latn,Awa (Papua New Guinea),í,Ll,LATIN SMALL LETTER I WITH ACUTE,22481,4,"2013,2018,2019,2021",247,21877,279,78
awb,Latn,awb_Latn,Awa (Papua New Guinea),m,Ll,LATIN SMALL LETTER M,20802,4,"2013,2018,2019,2021",190,20370,191,51
awb,Latn,awb_Latn,Awa (Papua New Guinea),q,Ll,LATIN SMALL LETTER Q,20131,4,"2013,2018,2019,2021",200,19739,138,54
awb,Latn,awb_Latn,Awa (Papua New Guinea),b,Ll,LATIN SMALL LETTER B,15371,4,"2013,2018,2019,2021",121,15101,103,46
