iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
ban,Latn,ban_Latn,Balinese,a,Ll,LATIN SMALL LETTER A,8139101,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",30870,188510,115420,246465,350443,134337,293554,1013223,1595091,1578862,1991125,601201
ban,Latn,ban_Latn,Balinese, ,Zs,SPACE,7771446,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",26258,158645,99337,213746,299297,116645,285776,997718,1547778,1532237,1916601,577408
ban,Latn,ban_Latn,Balinese,n,Ll,LATIN SMALL LETTER N,6044979,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",21397,123536,75706,155679,219403,84211,213040,753535,1224059,1221578,1505725,447110
ban,Latn,ban_Latn,Balinese,i,Ll,LATIN SMALL LETTER I,3878372,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12182,73230,46227,97862,132520,51447,130104,483732,777152,791448,983951,298517
ban,Latn,ban_Latn,Balinese,e,Ll,LATIN SMALL LETTER E,3481510,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8940,53245,32624,73599,90497,34700,123294,457395,716961,720803,905600,263852
ban,Latn,ban_Latn,Balinese,s,Ll,LATIN SMALL LETTER S,2404826,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7431,41024,26428,53394,70206,27296,78987,317582,495529,496523,611978,178448
ban,Latn,ban_Latn,Balinese,g,Ll,LATIN SMALL LETTER G,2335229,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9896,59150,35087,73953,107895,42212,85311,275630,451503,449484,568289,176819
ban,Latn,ban_Latn,Balinese,t,Ll,LATIN SMALL LETTER T,2078383,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6248,39393,24635,53139,73790,29518,71948,260570,412323,417978,525980,162861
ban,Latn,ban_Latn,Balinese,r,Ll,LATIN SMALL LETTER R,2024126,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6337,39857,23993,54188,77110,31211,75306,268901,407487,398478,489400,151858
ban,Latn,ban_Latn,Balinese,u,Ll,LATIN SMALL LETTER U,1887765,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7971,46207,28592,60632,85759,34418,74826,236334,367861,356926,449036,139203
