iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2017_frequency
bav,Latn,bav_Latn,Vengo, ,Zs,SPACE,33402,2,"2013,2017",3044,30358
bav,Latn,bav_Latn,Vengo,ə,Ll,LATIN SMALL LETTER SCHWA,10654,2,"2013,2017",938,9716
bav,Latn,bav_Latn,Vengo,a,Ll,LATIN SMALL LETTER A,9540,2,"2013,2017",947,8593
bav,Latn,bav_Latn,Vengo,i,Ll,LATIN SMALL LETTER I,6925,2,"2013,2017",838,6087
bav,Latn,bav_Latn,Vengo,ŋ,Ll,LATIN SMALL LETTER ENG,6843,2,"2013,2017",605,6238
bav,Latn,bav_Latn,Vengo,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,5837,2,"2013,2017",505,5332
bav,Latn,bav_Latn,Vengo,n,Ll,LATIN SMALL LETTER N,5367,2,"2013,2017",545,4822
bav,Latn,bav_Latn,Vengo,w,Ll,LATIN SMALL LETTER W,4691,2,"2013,2017",439,4252
bav,Latn,bav_Latn,Vengo,e,Ll,LATIN SMALL LETTER E,4567,2,"2013,2017",474,4093
bav,Latn,bav_Latn,Vengo,u,Ll,LATIN SMALL LETTER U,4412,2,"2013,2017",292,4120
bav,Latn,bav_Latn,Vengo,s,Ll,LATIN SMALL LETTER S,4090,2,"2013,2017",380,3710
bav,Latn,bav_Latn,Vengo,k,Ll,LATIN SMALL LETTER K,3427,2,"2013,2017",295,3132
bav,Latn,bav_Latn,Vengo,t,Ll,LATIN SMALL LETTER T,3210,2,"2013,2017",321,2889
bav,Latn,bav_Latn,Vengo,m,Ll,LATIN SMALL LETTER M,3131,2,"2013,2017",283,2848
bav,Latn,bav_Latn,Vengo,",",Po,COMMA,2983,2,"2013,2017",297,2686
bav,Latn,bav_Latn,Vengo,y,Ll,LATIN SMALL LETTER Y,2933,2,"2013,2017",338,2595
bav,Latn,bav_Latn,Vengo,ɔ,Ll,LATIN SMALL LETTER OPEN O,2927,2,"2013,2017",270,2657
bav,Latn,bav_Latn,Vengo,v,Ll,LATIN SMALL LETTER V,2793,2,"2013,2017",330,2463
bav,Latn,bav_Latn,Vengo,l,Ll,LATIN SMALL LETTER L,2603,2,"2013,2017",214,2389
bav,Latn,bav_Latn,Vengo,f,Ll,LATIN SMALL LETTER F,2475,2,"2013,2017",217,2258
bav,Latn,bav_Latn,Vengo,h,Ll,LATIN SMALL LETTER H,2186,2,"2013,2017",262,1924
bav,Latn,bav_Latn,Vengo,b,Ll,LATIN SMALL LETTER B,2106,2,"2013,2017",226,1880
bav,Latn,bav_Latn,Vengo,',Po,APOSTROPHE,2078,2,"2013,2017",199,1879
bav,Latn,bav_Latn,Vengo,g,Ll,LATIN SMALL LETTER G,1906,2,"2013,2017",172,1734
bav,Latn,bav_Latn,Vengo,.,Po,FULL STOP,1666,2,"2013,2017",146,1520
bav,Latn,bav_Latn,Vengo,́,Mn,COMBINING ACUTE ACCENT,1414,2,"2013,2017",128,1286
bav,Latn,bav_Latn,Vengo,̀,Mn,COMBINING GRAVE ACCENT,961,2,"2013,2017",54,907
bav,Latn,bav_Latn,Vengo,o,Ll,LATIN SMALL LETTER O,939,2,"2013,2017",117,822
bav,Latn,bav_Latn,Vengo,d,Ll,LATIN SMALL LETTER D,872,2,"2013,2017",139,733
bav,Latn,bav_Latn,Vengo,N,Lu,LATIN CAPITAL LETTER N,860,2,"2013,2017",101,759
bav,Latn,bav_Latn,Vengo,ù,Ll,LATIN SMALL LETTER U WITH GRAVE,798,2,"2013,2017",64,734
bav,Latn,bav_Latn,Vengo,z,Ll,LATIN SMALL LETTER Z,697,2,"2013,2017",61,636
bav,Latn,bav_Latn,Vengo,ì,Ll,LATIN SMALL LETTER I WITH GRAVE,618,2,"2013,2017",58,560
bav,Latn,bav_Latn,Vengo,Y,Lu,LATIN CAPITAL LETTER Y,615,2,"2013,2017",38,577
bav,Latn,bav_Latn,Vengo,j,Ll,LATIN SMALL LETTER J,457,2,"2013,2017",69,388
bav,Latn,bav_Latn,Vengo,1,Nd,DIGIT ONE,426,2,"2013,2017",51,375
bav,Latn,bav_Latn,Vengo,V,Lu,LATIN CAPITAL LETTER V,399,2,"2013,2017",44,355
bav,Latn,bav_Latn,Vengo,2,Nd,DIGIT TWO,355,2,"2013,2017",32,323
bav,Latn,bav_Latn,Vengo,«,Pi,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,339,2,"2013,2017",23,316
bav,Latn,bav_Latn,Vengo,»,Pf,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,338,2,"2013,2017",23,315
bav,Latn,bav_Latn,Vengo,à,Ll,LATIN SMALL LETTER A WITH GRAVE,306,2,"2013,2017",53,253
bav,Latn,bav_Latn,Vengo,M,Lu,LATIN CAPITAL LETTER M,294,2,"2013,2017",24,270
bav,Latn,bav_Latn,Vengo,3,Nd,DIGIT THREE,271,2,"2013,2017",23,248
bav,Latn,bav_Latn,Vengo,r,Ll,LATIN SMALL LETTER R,256,2,"2013,2017",60,196
bav,Latn,bav_Latn,Vengo,-,Pd,HYPHEN-MINUS,238,2,"2013,2017",35,203
bav,Latn,bav_Latn,Vengo,W,Lu,LATIN CAPITAL LETTER W,211,2,"2013,2017",5,206
bav,Latn,bav_Latn,Vengo,4,Nd,DIGIT FOUR,208,2,"2013,2017",19,189
bav,Latn,bav_Latn,Vengo,è,Ll,LATIN SMALL LETTER E WITH GRAVE,197,2,"2013,2017",11,186
bav,Latn,bav_Latn,Vengo,J,Lu,LATIN CAPITAL LETTER J,196,2,"2013,2017",30,166
bav,Latn,bav_Latn,Vengo,L,Lu,LATIN CAPITAL LETTER L,186,2,"2013,2017",12,174
bav,Latn,bav_Latn,Vengo,Ŋ,Lu,LATIN CAPITAL LETTER ENG,183,2,"2013,2017",18,165
bav,Latn,bav_Latn,Vengo,?,Po,QUESTION MARK,176,2,"2013,2017",13,163
bav,Latn,bav_Latn,Vengo,T,Lu,LATIN CAPITAL LETTER T,155,2,"2013,2017",6,149
bav,Latn,bav_Latn,Vengo,5,Nd,DIGIT FIVE,153,2,"2013,2017",12,141
bav,Latn,bav_Latn,Vengo,K,Lu,LATIN CAPITAL LETTER K,150,2,"2013,2017",20,130
bav,Latn,bav_Latn,Vengo,S,Lu,LATIN CAPITAL LETTER S,128,2,"2013,2017",15,113
bav,Latn,bav_Latn,Vengo,F,Lu,LATIN CAPITAL LETTER F,123,2,"2013,2017",16,107
bav,Latn,bav_Latn,Vengo,6,Nd,DIGIT SIX,119,2,"2013,2017",12,107
bav,Latn,bav_Latn,Vengo,A,Lu,LATIN CAPITAL LETTER A,112,2,"2013,2017",31,81
bav,Latn,bav_Latn,Vengo,7,Nd,DIGIT SEVEN,109,2,"2013,2017",9,100
bav,Latn,bav_Latn,Vengo,9,Nd,DIGIT NINE,104,2,"2013,2017",13,91
bav,Latn,bav_Latn,Vengo,8,Nd,DIGIT EIGHT,101,2,"2013,2017",9,92
bav,Latn,bav_Latn,Vengo,0,Nd,DIGIT ZERO,98,2,"2013,2017",9,89
bav,Latn,bav_Latn,Vengo,P,Lu,LATIN CAPITAL LETTER P,92,2,"2013,2017",9,83
bav,Latn,bav_Latn,Vengo,G,Lu,LATIN CAPITAL LETTER G,84,2,"2013,2017",5,79
bav,Latn,bav_Latn,Vengo,B,Lu,LATIN CAPITAL LETTER B,61,2,"2013,2017",14,47
bav,Latn,bav_Latn,Vengo,!,Po,EXCLAMATION MARK,60,2,"2013,2017",4,56
bav,Latn,bav_Latn,Vengo,ò,Ll,LATIN SMALL LETTER O WITH GRAVE,60,2,"2013,2017",2,58
bav,Latn,bav_Latn,Vengo,Z,Lu,LATIN CAPITAL LETTER Z,49,2,"2013,2017",9,40
bav,Latn,bav_Latn,Vengo,p,Ll,LATIN SMALL LETTER P,43,2,"2013,2017",19,24
bav,Latn,bav_Latn,Vengo,;,Po,SEMICOLON,30,2,"2013,2017",2,28
