iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2022_frequency
bch,Latn,bch_Latn,Bariai, ,Zs,SPACE,418663,6,"2014,2017,2018,2019,2020,2022",235,17819,239666,70636,89716,591
bch,Latn,bch_Latn,Bariai,a,Ll,LATIN SMALL LETTER A,412703,6,"2014,2017,2018,2019,2020,2022",265,18052,226318,74095,93342,631
bch,Latn,bch_Latn,Bariai,n,Ll,LATIN SMALL LETTER N,164078,6,"2014,2017,2018,2019,2020,2022",99,7231,92475,28819,35172,282
bch,Latn,bch_Latn,Bariai,i,Ll,LATIN SMALL LETTER I,161332,6,"2014,2017,2018,2019,2020,2022",80,7087,90071,27324,36557,213
bch,Latn,bch_Latn,Bariai,e,Ll,LATIN SMALL LETTER E,159967,6,"2014,2017,2018,2019,2020,2022",89,6257,94589,25390,33434,208
bch,Latn,bch_Latn,Bariai,g,Ll,LATIN SMALL LETTER G,134757,6,"2014,2017,2018,2019,2020,2022",79,6092,73064,24691,30632,199
bch,Latn,bch_Latn,Bariai,o,Ll,LATIN SMALL LETTER O,124861,6,"2014,2017,2018,2019,2020,2022",86,5340,71963,20692,26615,165
bch,Latn,bch_Latn,Bariai,t,Ll,LATIN SMALL LETTER T,102521,6,"2014,2017,2018,2019,2020,2022",94,4175,59781,17073,21234,164
bch,Latn,bch_Latn,Bariai,d,Ll,LATIN SMALL LETTER D,78847,6,"2014,2017,2018,2019,2020,2022",58,2908,44783,13556,17450,92
bch,Latn,bch_Latn,Bariai,u,Ll,LATIN SMALL LETTER U,71239,6,"2014,2017,2018,2019,2020,2022",47,3392,38856,12867,15955,122
bch,Latn,bch_Latn,Bariai,m,Ll,LATIN SMALL LETTER M,70247,6,"2014,2017,2018,2019,2020,2022",25,3359,39205,12446,15093,119
bch,Latn,bch_Latn,Bariai,l,Ll,LATIN SMALL LETTER L,61699,6,"2014,2017,2018,2019,2020,2022",46,2850,35332,10223,13152,96
bch,Latn,bch_Latn,Bariai,s,Ll,LATIN SMALL LETTER S,54293,6,"2014,2017,2018,2019,2020,2022",14,2091,34964,7324,9845,55
bch,Latn,bch_Latn,Bariai,p,Ll,LATIN SMALL LETTER P,47040,6,"2014,2017,2018,2019,2020,2022",34,1936,26239,8215,10553,63
bch,Latn,bch_Latn,Bariai,r,Ll,LATIN SMALL LETTER R,44154,6,"2014,2017,2018,2019,2020,2022",24,1374,29590,5665,7443,58
bch,Latn,bch_Latn,Bariai,k,Ll,LATIN SMALL LETTER K,34903,6,"2014,2017,2018,2019,2020,2022",26,1595,19095,6058,8071,58
bch,Latn,bch_Latn,Bariai,b,Ll,LATIN SMALL LETTER B,34411,6,"2014,2017,2018,2019,2020,2022",27,1172,20184,5429,7569,30
bch,Latn,bch_Latn,Bariai,.,Po,FULL STOP,25936,6,"2014,2017,2018,2019,2020,2022",16,1331,14231,4898,5416,44
bch,Latn,bch_Latn,Bariai,",",Po,COMMA,22868,6,"2014,2017,2018,2019,2020,2022",14,954,12936,3723,5207,34
bch,Latn,bch_Latn,Bariai,h,Ll,LATIN SMALL LETTER H,8882,4,"2017,2018,2019,2020",0,5,8690,13,174,0
bch,Latn,bch_Latn,Bariai,T,Lu,LATIN CAPITAL LETTER T,8804,6,"2014,2017,2018,2019,2020,2022",7,318,5666,1169,1636,8
bch,Latn,bch_Latn,Bariai,I,Lu,LATIN CAPITAL LETTER I,8677,6,"2014,2017,2018,2019,2020,2022",6,321,5129,1081,2130,10
bch,Latn,bch_Latn,Bariai,B,Lu,LATIN CAPITAL LETTER B,7854,6,"2014,2017,2018,2019,2020,2022",2,275,4471,1264,1830,12
bch,Latn,bch_Latn,Bariai,1,Nd,DIGIT ONE,7812,5,"2017,2018,2019,2020,2022",0,588,3864,1946,1398,16
bch,Latn,bch_Latn,Bariai,D,Lu,LATIN CAPITAL LETTER D,5762,5,"2017,2018,2019,2020,2022",0,338,3149,1215,1045,15
bch,Latn,bch_Latn,Bariai,E,Lu,LATIN CAPITAL LETTER E,5183,6,"2014,2017,2018,2019,2020,2022",1,184,3559,603,832,4
bch,Latn,bch_Latn,Bariai,2,Nd,DIGIT TWO,5159,5,"2017,2018,2019,2020,2022",0,330,2417,1259,1145,8
