iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
bgt,Latn,bgt_Latn,Bughotu, ,Zs,SPACE,190829,11,"2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024",55,411,137,69,146,151301,35931,252,162,2295,70
bgt,Latn,bgt_Latn,Bughotu,a,Ll,LATIN SMALL LETTER A,180575,11,"2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024",43,412,136,67,73,144519,33203,123,80,1876,43
bgt,Latn,bgt_Latn,Bughotu,i,Ll,LATIN SMALL LETTER I,95578,11,"2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024",37,286,96,49,88,75005,18840,159,76,906,36
bgt,Latn,bgt_Latn,Bughotu,n,Ll,LATIN SMALL LETTER N,76754,11,"2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024",12,93,32,15,45,61541,13900,60,41,996,19
bgt,Latn,bgt_Latn,Bughotu,e,Ll,LATIN SMALL LETTER E,68616,11,"2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024",25,202,68,33,41,55316,11575,100,62,1166,28
bgt,Latn,bgt_Latn,Bughotu,o,Ll,LATIN SMALL LETTER O,56646,11,"2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024",26,117,40,22,50,44471,11071,103,63,657,26
bgt,Latn,bgt_Latn,Bughotu,g,Ll,LATIN SMALL LETTER G,42270,11,"2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024",5,66,22,11,11,33957,7521,40,7,621,9
bgt,Latn,bgt_Latn,Bughotu,k,Ll,LATIN SMALL LETTER K,41527,11,"2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024",9,141,46,22,12,32623,8216,36,20,394,8
bgt,Latn,bgt_Latn,Bughotu,h,Ll,LATIN SMALL LETTER H,40412,11,"2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024",5,2,1,1,27,32465,7217,40,35,608,11
bgt,Latn,bgt_Latn,Bughotu,u,Ll,LATIN SMALL LETTER U,39729,11,"2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024",10,24,8,4,14,30961,8119,33,16,536,4
bgt,Latn,bgt_Latn,Bughotu,t,Ll,LATIN SMALL LETTER T,36738,11,"2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024",22,22,8,5,45,28271,7636,95,44,572,18
bgt,Latn,bgt_Latn,Bughotu,m,Ll,LATIN SMALL LETTER M,31783,11,"2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024",12,198,66,33,31,25146,5821,39,27,394,16
