iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
bin,Latn,bin_Latn,Bini, ,Zs,SPACE,604967,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",4475,1825,758,483305,101612,4953,3301,1424,3314
bin,Latn,bin_Latn,Bini,e,Ll,LATIN SMALL LETTER E,249288,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",3277,1353,436,195651,42845,2072,1572,728,1354
bin,Latn,bin_Latn,Bini,a,Ll,LATIN SMALL LETTER A,235920,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",1797,741,389,188836,38881,1964,1431,569,1312
bin,Latn,bin_Latn,Bini,n,Ll,LATIN SMALL LETTER N,177539,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",2036,840,292,140371,30132,1545,1029,407,887
bin,Latn,bin_Latn,Bini,i,Ll,LATIN SMALL LETTER I,165868,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",1183,477,275,132494,27664,1391,1069,455,860
bin,Latn,bin_Latn,Bini,ẹ,Ll,LATIN SMALL LETTER E WITH DOT BELOW,127749,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,25,128,106645,18647,844,495,234,731
bin,Latn,bin_Latn,Bini,h,Ll,LATIN SMALL LETTER H,118946,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",740,329,188,94072,21190,947,608,249,623
bin,Latn,bin_Latn,Bini,r,Ll,LATIN SMALL LETTER R,111882,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",797,327,255,87737,20376,829,703,317,541
bin,Latn,bin_Latn,Bini,ọ,Ll,LATIN SMALL LETTER O WITH DOT BELOW,88593,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,18,74,73445,13422,619,303,208,504
bin,Latn,bin_Latn,Bini,g,Ll,LATIN SMALL LETTER G,86974,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",584,243,127,69972,14022,717,567,244,498
bin,Latn,bin_Latn,Bini,b,Ll,LATIN SMALL LETTER B,85485,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",748,305,175,68995,13246,652,518,243,603
bin,Latn,bin_Latn,Bini,m,Ll,LATIN SMALL LETTER M,83447,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",805,334,116,67070,13420,630,475,191,406
bin,Latn,bin_Latn,Bini,o,Ll,LATIN SMALL LETTER O,82929,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",1478,574,240,61002,17233,703,919,305,475
bin,Latn,bin_Latn,Bini,u,Ll,LATIN SMALL LETTER U,76058,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",634,305,205,59301,13956,542,382,238,495
bin,Latn,bin_Latn,Bini,w,Ll,LATIN SMALL LETTER W,69579,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",886,347,98,54426,12422,505,346,164,385
bin,Latn,bin_Latn,Bini,k,Ll,LATIN SMALL LETTER K,61858,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",601,231,165,50488,8976,605,297,184,311
bin,Latn,bin_Latn,Bini,v,Ll,LATIN SMALL LETTER V,48533,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",427,177,121,39081,7485,421,326,169,326
bin,Latn,bin_Latn,Bini,s,Ll,LATIN SMALL LETTER S,38944,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",103,74,79,28245,9510,274,367,125,167
bin,Latn,bin_Latn,Bini,t,Ll,LATIN SMALL LETTER T,37950,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",249,146,49,26231,10237,295,440,119,184
bin,Latn,bin_Latn,Bini,y,Ll,LATIN SMALL LETTER Y,37644,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",299,133,67,29516,6752,294,275,111,197
bin,Latn,bin_Latn,Bini,",",Po,COMMA,31528,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",251,100,25,23575,6885,279,195,71,147
bin,Latn,bin_Latn,Bini,.,Po,FULL STOP,31320,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",156,47,34,25014,5429,258,172,64,146
bin,Latn,bin_Latn,Bini,d,Ll,LATIN SMALL LETTER D,28467,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",179,85,45,20768,6558,246,311,111,164
bin,Latn,bin_Latn,Bini,l,Ll,LATIN SMALL LETTER L,21188,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",94,67,40,15175,5019,208,309,94,182
bin,Latn,bin_Latn,Bini,p,Ll,LATIN SMALL LETTER P,15640,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",70,40,26,11888,3189,138,153,55,81
bin,Latn,bin_Latn,Bini,E,Lu,LATIN CAPITAL LETTER E,12844,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",155,75,37,10771,1427,120,103,29,127
bin,Latn,bin_Latn,Bini,I,Lu,LATIN CAPITAL LETTER I,12366,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",39,20,15,10223,1837,83,45,14,90
bin,Latn,bin_Latn,Bini,1,Nd,DIGIT ONE,11968,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",16,1,7,9642,2059,100,60,17,66
bin,Latn,bin_Latn,Bini,J,Lu,LATIN CAPITAL LETTER J,10888,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,4,1,9380,1367,75,18,2,41
bin,Latn,bin_Latn,Bini,A,Lu,LATIN CAPITAL LETTER A,9791,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",58,24,21,7853,1475,88,101,24,147
bin,Latn,bin_Latn,Bini,:,Po,COLON,9311,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",1,2,6,7819,1336,68,30,3,46
bin,Latn,bin_Latn,Bini,z,Ll,LATIN SMALL LETTER Z,8271,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",42,15,34,6921,1126,47,36,12,38
bin,Latn,bin_Latn,Bini,f,Ll,LATIN SMALL LETTER F,8018,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",40,23,11,5084,2628,59,113,40,20
bin,Latn,bin_Latn,Bini,O,Lu,LATIN CAPITAL LETTER O,7839,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",27,17,17,6202,1380,76,52,11,57
bin,Latn,bin_Latn,Bini,Ọ,Lu,LATIN CAPITAL LETTER O WITH DOT BELOW,7088,7,"2017,2019,2020,2021,2022,2023,2024",0,2,0,6097,801,64,38,5,81
bin,Latn,bin_Latn,Bini,N,Lu,LATIN CAPITAL LETTER N,7019,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",74,42,14,5749,913,64,47,6,110
bin,Latn,bin_Latn,Bini,2,Nd,DIGIT TWO,6238,8,"2013,2018,2019,2020,2021,2022,2023,2024",14,0,3,4986,1077,61,42,10,45
bin,Latn,bin_Latn,Bini,V,Lu,LATIN CAPITAL LETTER V,5711,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",23,13,7,4825,724,47,13,8,51
bin,Latn,bin_Latn,Bini,?,Po,QUESTION MARK,5623,5,"2019,2020,2021,2023,2024",0,0,0,4817,699,45,0,1,61
bin,Latn,bin_Latn,Bini,M,Lu,LATIN CAPITAL LETTER M,5622,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",7,4,4,4859,618,47,27,9,47
bin,Latn,bin_Latn,Bini,Ẹ,Lu,LATIN CAPITAL LETTER E WITH DOT BELOW,5097,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,1,6,4345,591,34,69,17,34
bin,Latn,bin_Latn,Bini,D,Lu,LATIN CAPITAL LETTER D,4628,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",39,12,1,3893,565,51,8,2,57
bin,Latn,bin_Latn,Bini,U,Lu,LATIN CAPITAL LETTER U,4592,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",28,12,14,3934,503,26,21,16,38
bin,Latn,bin_Latn,Bini,B,Lu,LATIN CAPITAL LETTER B,4492,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",2,4,4,3701,606,29,39,3,104
bin,Latn,bin_Latn,Bini,(,Ps,LEFT PARENTHESIS,4455,8,"2013,2018,2019,2020,2021,2022,2023,2024",2,0,3,3491,863,36,33,14,13
bin,Latn,bin_Latn,Bini,),Pe,RIGHT PARENTHESIS,4439,8,"2013,2018,2019,2020,2021,2022,2023,2024",2,0,3,3476,863,36,33,13,13
bin,Latn,bin_Latn,Bini,G,Lu,LATIN CAPITAL LETTER G,4224,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",6,3,26,3338,732,22,13,4,80
bin,Latn,bin_Latn,Bini,3,Nd,DIGIT THREE,4165,8,"2013,2018,2019,2020,2021,2022,2023,2024",5,0,3,3385,700,39,11,4,18
bin,Latn,bin_Latn,Bini,R,Lu,LATIN CAPITAL LETTER R,4140,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",12,8,10,3453,583,19,10,1,44
bin,Latn,bin_Latn,Bini,T,Lu,LATIN CAPITAL LETTER T,3449,8,"2013,2017,2019,2020,2021,2022,2023,2024",5,5,0,2859,498,33,18,6,25
bin,Latn,bin_Latn,Bini,“,Pi,LEFT DOUBLE QUOTATION MARK,3344,6,"2019,2020,2021,2022,2023,2024",0,0,0,2586,720,14,5,11,8
bin,Latn,bin_Latn,Bini,H,Lu,LATIN CAPITAL LETTER H,3336,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",12,5,9,2859,396,12,9,3,31
bin,Latn,bin_Latn,Bini,”,Pf,RIGHT DOUBLE QUOTATION MARK,3317,6,"2019,2020,2021,2022,2023,2024",0,0,0,2576,703,15,5,10,8
bin,Latn,bin_Latn,Bini,K,Lu,LATIN CAPITAL LETTER K,3311,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",11,8,4,2724,495,16,8,1,44
bin,Latn,bin_Latn,Bini,S,Lu,LATIN CAPITAL LETTER S,3297,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,1,7,2680,494,33,50,10,22
bin,Latn,bin_Latn,Bini,4,Nd,DIGIT FOUR,3250,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",3,1,1,2634,539,36,17,6,13
bin,Latn,bin_Latn,Bini,0,Nd,DIGIT ZERO,3087,8,"2013,2018,2019,2020,2021,2022,2023,2024",2,0,13,2457,519,23,42,6,25
