iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2024_frequency
biu,Latn,biu_Latn,Biete, ,Zs,SPACE,7690,5,"2017,2018,2019,2021,2024",136,2897,1407,501,2749
biu,Latn,biu_Latn,Biete,a,Ll,LATIN SMALL LETTER A,5005,5,"2017,2018,2019,2021,2024",73,1909,840,380,1803
biu,Latn,biu_Latn,Biete,n,Ll,LATIN SMALL LETTER N,4863,5,"2017,2018,2019,2021,2024",75,1721,704,316,2047
biu,Latn,biu_Latn,Biete,i,Ll,LATIN SMALL LETTER I,4804,5,"2017,2018,2019,2021,2024",77,1976,733,276,1742
biu,Latn,biu_Latn,Biete,h,Ll,LATIN SMALL LETTER H,2364,5,"2017,2018,2019,2021,2024",41,774,516,151,882
biu,Latn,biu_Latn,Biete,t,Ll,LATIN SMALL LETTER T,1750,5,"2017,2018,2019,2021,2024",20,736,327,62,605
biu,Latn,biu_Latn,Biete,e,Ll,LATIN SMALL LETTER E,1668,5,"2017,2018,2019,2021,2024",21,622,229,153,643
biu,Latn,biu_Latn,Biete,g,Ll,LATIN SMALL LETTER G,1489,5,"2017,2018,2019,2021,2024",22,509,231,67,660
biu,Latn,biu_Latn,Biete,m,Ll,LATIN SMALL LETTER M,1422,5,"2017,2018,2019,2021,2024",27,520,168,85,622
biu,Latn,biu_Latn,Biete,r,Ll,LATIN SMALL LETTER R,1340,5,"2017,2018,2019,2021,2024",12,486,230,76,536
biu,Latn,biu_Latn,Biete,u,Ll,LATIN SMALL LETTER U,1312,5,"2017,2018,2019,2021,2024",24,485,204,83,516
biu,Latn,biu_Latn,Biete,o,Ll,LATIN SMALL LETTER O,1239,5,"2017,2018,2019,2021,2024",15,409,186,92,537
biu,Latn,biu_Latn,Biete,k,Ll,LATIN SMALL LETTER K,1161,5,"2017,2018,2019,2021,2024",23,385,257,40,456
biu,Latn,biu_Latn,Biete,l,Ll,LATIN SMALL LETTER L,903,5,"2017,2018,2019,2021,2024",20,364,110,53,356
biu,Latn,biu_Latn,Biete,s,Ll,LATIN SMALL LETTER S,830,5,"2017,2018,2019,2021,2024",8,252,115,65,390
biu,Latn,biu_Latn,Biete,c,Ll,LATIN SMALL LETTER C,467,5,"2017,2018,2019,2021,2024",3,153,93,26,192
biu,Latn,biu_Latn,Biete,",",Po,COMMA,431,5,"2017,2018,2019,2021,2024",8,113,130,35,145
biu,Latn,biu_Latn,Biete,p,Ll,LATIN SMALL LETTER P,412,5,"2017,2018,2019,2021,2024",6,153,44,23,186
biu,Latn,biu_Latn,Biete,.,Po,FULL STOP,407,5,"2017,2018,2019,2021,2024",6,173,83,14,131
biu,Latn,biu_Latn,Biete,â,Ll,LATIN SMALL LETTER A WITH CIRCUMFLEX,350,5,"2017,2018,2019,2021,2024",3,29,87,27,204
biu,Latn,biu_Latn,Biete,d,Ll,LATIN SMALL LETTER D,325,5,"2017,2018,2019,2021,2024",3,122,40,28,132
