iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
bjn,Latn,bjn_Latn,Banjar,a,Ll,LATIN SMALL LETTER A,1236763,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5672,69883,18971,54409,220816,213921,138663,82755,121726,135125,137438,37384
bjn,Latn,bjn_Latn,Banjar, ,Zs,SPACE,841708,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3865,46743,13012,37254,153363,152152,93345,54272,78837,91582,92033,25250
bjn,Latn,bjn_Latn,Banjar,n,Ll,LATIN SMALL LETTER N,509305,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2431,29534,8011,21243,90657,90015,54173,33556,49521,55689,57519,16956
bjn,Latn,bjn_Latn,Banjar,i,Ll,LATIN SMALL LETTER I,376082,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1729,21041,6027,17100,64568,65821,41928,25927,36953,41494,41497,11997
bjn,Latn,bjn_Latn,Banjar,u,Ll,LATIN SMALL LETTER U,301440,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1408,17500,4885,14960,56479,55343,38143,19648,28487,23168,32945,8474
bjn,Latn,bjn_Latn,Banjar,k,Ll,LATIN SMALL LETTER K,212757,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",998,11519,3313,9506,38949,36794,24246,14720,20447,23705,22388,6172
bjn,Latn,bjn_Latn,Banjar,t,Ll,LATIN SMALL LETTER T,195449,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",860,11352,3148,7965,34266,35520,20819,12981,18620,22668,20952,6298
bjn,Latn,bjn_Latn,Banjar,g,Ll,LATIN SMALL LETTER G,186459,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",973,10682,2720,8151,34871,33173,18848,12088,18557,20165,20307,5924
bjn,Latn,bjn_Latn,Banjar,r,Ll,LATIN SMALL LETTER R,185625,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",852,11253,2946,7761,30597,31708,21771,12559,17711,22235,20347,5885
bjn,Latn,bjn_Latn,Banjar,m,Ll,LATIN SMALL LETTER M,185437,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",796,10599,2866,8256,32748,33366,20654,12779,18148,19148,20376,5701
bjn,Latn,bjn_Latn,Banjar,l,Ll,LATIN SMALL LETTER L,171570,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",824,9245,2836,7754,30287,30032,19132,11144,16841,19340,18755,5380
bjn,Latn,bjn_Latn,Banjar,s,Ll,LATIN SMALL LETTER S,165597,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",781,9324,2854,7513,27089,28199,18245,11514,16304,19089,18798,5887
bjn,Latn,bjn_Latn,Banjar,d,Ll,LATIN SMALL LETTER D,159093,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",765,9706,2477,6536,27371,28830,16628,10034,14663,19980,17401,4702
