iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2019_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
bjp,Latn,bjp_Latn,Fanamaket, ,Zs,SPACE,210903,5,"2018,2019,2022,2023,2024",51798,5727,54930,91946,6502
bjp,Latn,bjp_Latn,Fanamaket,a,Ll,LATIN SMALL LETTER A,120081,5,"2018,2019,2022,2023,2024",28441,3315,31818,52750,3757
bjp,Latn,bjp_Latn,Fanamaket,i,Ll,LATIN SMALL LETTER I,99422,5,"2018,2019,2022,2023,2024",23191,2752,26496,43734,3249
bjp,Latn,bjp_Latn,Fanamaket,n,Ll,LATIN SMALL LETTER N,63239,5,"2018,2019,2022,2023,2024",15013,1639,16675,27830,2082
bjp,Latn,bjp_Latn,Fanamaket,e,Ll,LATIN SMALL LETTER E,61738,5,"2018,2019,2022,2023,2024",16638,1578,15635,25844,2043
bjp,Latn,bjp_Latn,Fanamaket,u,Ll,LATIN SMALL LETTER U,52639,5,"2018,2019,2022,2023,2024",12226,1516,14125,23076,1696
bjp,Latn,bjp_Latn,Fanamaket,k,Ll,LATIN SMALL LETTER K,41216,5,"2018,2019,2022,2023,2024",9405,1098,10988,18396,1329
bjp,Latn,bjp_Latn,Fanamaket,l,Ll,LATIN SMALL LETTER L,37375,5,"2018,2019,2022,2023,2024",9201,1063,9673,16178,1260
bjp,Latn,bjp_Latn,Fanamaket,r,Ll,LATIN SMALL LETTER R,36721,5,"2018,2019,2022,2023,2024",9619,925,9601,15366,1210
bjp,Latn,bjp_Latn,Fanamaket,t,Ll,LATIN SMALL LETTER T,36591,5,"2018,2019,2022,2023,2024",9478,954,9262,15738,1159
bjp,Latn,bjp_Latn,Fanamaket,o,Ll,LATIN SMALL LETTER O,36070,5,"2018,2019,2022,2023,2024",9221,1081,9746,14933,1089
bjp,Latn,bjp_Latn,Fanamaket,s,Ll,LATIN SMALL LETTER S,35925,5,"2018,2019,2022,2023,2024",10045,1034,9356,14443,1047
bjp,Latn,bjp_Latn,Fanamaket,m,Ll,LATIN SMALL LETTER M,27719,5,"2018,2019,2022,2023,2024",6888,793,7404,11772,862
bjp,Latn,bjp_Latn,Fanamaket,f,Ll,LATIN SMALL LETTER F,27296,5,"2018,2019,2022,2023,2024",6128,774,7478,12034,882
bjp,Latn,bjp_Latn,Fanamaket,g,Ll,LATIN SMALL LETTER G,22467,5,"2018,2019,2022,2023,2024",5272,547,5746,10213,689
bjp,Latn,bjp_Latn,Fanamaket,",",Po,COMMA,14318,5,"2018,2019,2022,2023,2024",3712,383,3452,6291,480
bjp,Latn,bjp_Latn,Fanamaket,p,Ll,LATIN SMALL LETTER P,11273,5,"2018,2019,2022,2023,2024",2686,337,3037,4809,404
bjp,Latn,bjp_Latn,Fanamaket,b,Ll,LATIN SMALL LETTER B,10839,5,"2018,2019,2022,2023,2024",2833,230,2568,4821,387
bjp,Latn,bjp_Latn,Fanamaket,.,Po,FULL STOP,10051,5,"2018,2019,2022,2023,2024",2675,278,2614,4158,326
bjp,Latn,bjp_Latn,Fanamaket,h,Ll,LATIN SMALL LETTER H,5616,5,"2018,2019,2022,2023,2024",3116,164,827,1419,90
bjp,Latn,bjp_Latn,Fanamaket,w,Ll,LATIN SMALL LETTER W,5610,5,"2018,2019,2022,2023,2024",1623,157,1371,2292,167
bjp,Latn,bjp_Latn,Fanamaket,I,Lu,LATIN CAPITAL LETTER I,5382,5,"2018,2019,2022,2023,2024",1532,149,1501,2086,114
bjp,Latn,bjp_Latn,Fanamaket,1,Nd,DIGIT ONE,5359,5,"2018,2019,2022,2023,2024",1012,155,1574,2496,122
bjp,Latn,bjp_Latn,Fanamaket,d,Ll,LATIN SMALL LETTER D,4489,5,"2018,2019,2022,2023,2024",1646,126,1090,1456,171
bjp,Latn,bjp_Latn,Fanamaket,K,Lu,LATIN CAPITAL LETTER K,4066,5,"2018,2019,2022,2023,2024",996,121,1185,1653,111
bjp,Latn,bjp_Latn,Fanamaket,2,Nd,DIGIT TWO,3680,5,"2018,2019,2022,2023,2024",662,77,996,1872,73
bjp,Latn,bjp_Latn,Fanamaket,G,Lu,LATIN CAPITAL LETTER G,3225,5,"2018,2019,2022,2023,2024",881,104,888,1215,137
bjp,Latn,bjp_Latn,Fanamaket,:,Po,COLON,2770,5,"2018,2019,2022,2023,2024",217,63,841,1636,13
bjp,Latn,bjp_Latn,Fanamaket,3,Nd,DIGIT THREE,2386,5,"2018,2019,2022,2023,2024",452,45,587,1263,39
bjp,Latn,bjp_Latn,Fanamaket,F,Lu,LATIN CAPITAL LETTER F,2230,5,"2018,2019,2022,2023,2024",502,81,703,896,48
bjp,Latn,bjp_Latn,Fanamaket,T,Lu,LATIN CAPITAL LETTER T,2129,5,"2018,2019,2022,2023,2024",911,72,455,660,31
bjp,Latn,bjp_Latn,Fanamaket,M,Lu,LATIN CAPITAL LETTER M,2120,5,"2018,2019,2022,2023,2024",477,40,529,983,91
bjp,Latn,bjp_Latn,Fanamaket,4,Nd,DIGIT FOUR,1846,5,"2018,2019,2022,2023,2024",372,36,424,990,24
bjp,Latn,bjp_Latn,Fanamaket,“,Pi,LEFT DOUBLE QUOTATION MARK,1706,5,"2018,2019,2022,2023,2024",460,29,314,854,49
bjp,Latn,bjp_Latn,Fanamaket,S,Lu,LATIN CAPITAL LETTER S,1653,5,"2018,2019,2022,2023,2024",634,21,344,636,18
bjp,Latn,bjp_Latn,Fanamaket,P,Lu,LATIN CAPITAL LETTER P,1577,5,"2018,2019,2022,2023,2024",286,81,527,648,35
bjp,Latn,bjp_Latn,Fanamaket,A,Lu,LATIN CAPITAL LETTER A,1448,5,"2018,2019,2022,2023,2024",247,27,400,732,42
bjp,Latn,bjp_Latn,Fanamaket,5,Nd,DIGIT FIVE,1434,5,"2018,2019,2022,2023,2024",262,28,345,775,24
bjp,Latn,bjp_Latn,Fanamaket,”,Pf,RIGHT DOUBLE QUOTATION MARK,1423,5,"2018,2019,2022,2023,2024",416,29,274,674,30
bjp,Latn,bjp_Latn,Fanamaket,B,Lu,LATIN CAPITAL LETTER B,1196,5,"2018,2019,2022,2023,2024",366,21,257,520,32
bjp,Latn,bjp_Latn,Fanamaket,6,Nd,DIGIT SIX,1185,5,"2018,2019,2022,2023,2024",207,24,315,613,26
bjp,Latn,bjp_Latn,Fanamaket,N,Lu,LATIN CAPITAL LETTER N,1146,5,"2018,2019,2022,2023,2024",366,39,285,436,20
bjp,Latn,bjp_Latn,Fanamaket,8,Nd,DIGIT EIGHT,1084,5,"2018,2019,2022,2023,2024",230,25,277,531,21
bjp,Latn,bjp_Latn,Fanamaket,0,Nd,DIGIT ZERO,1024,5,"2018,2019,2022,2023,2024",220,22,238,525,19
bjp,Latn,bjp_Latn,Fanamaket,9,Nd,DIGIT NINE,1019,5,"2018,2019,2022,2023,2024",181,19,259,540,20
