iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
boj,Latn,boj_Latn,Anjam, ,Zs,SPACE,483014,7,"2017,2018,2019,2020,2021,2022,2023",550,301826,3710,140641,474,30066,5747
boj,Latn,boj_Latn,Anjam,a,Ll,LATIN SMALL LETTER A,364757,7,"2017,2018,2019,2020,2021,2022,2023",537,221261,2940,112756,379,22641,4243
boj,Latn,boj_Latn,Anjam,i,Ll,LATIN SMALL LETTER I,244990,7,"2017,2018,2019,2020,2021,2022,2023",160,148571,1923,75220,282,15578,3256
boj,Latn,boj_Latn,Anjam,e,Ll,LATIN SMALL LETTER E,178425,7,"2017,2018,2019,2020,2021,2022,2023",157,115026,1256,49219,163,10670,1934
boj,Latn,boj_Latn,Anjam,o,Ll,LATIN SMALL LETTER O,149430,7,"2017,2018,2019,2020,2021,2022,2023",139,93321,1090,43641,153,9184,1902
boj,Latn,boj_Latn,Anjam,n,Ll,LATIN SMALL LETTER N,143373,7,"2017,2018,2019,2020,2021,2022,2023",100,89245,1151,41902,161,9024,1790
boj,Latn,boj_Latn,Anjam,q,Ll,LATIN SMALL LETTER Q,135215,7,"2017,2018,2019,2020,2021,2022,2023",141,79967,1120,43129,165,9030,1663
boj,Latn,boj_Latn,Anjam,s,Ll,LATIN SMALL LETTER S,104345,7,"2017,2018,2019,2020,2021,2022,2023",104,67844,748,28556,106,5923,1064
boj,Latn,boj_Latn,Anjam,g,Ll,LATIN SMALL LETTER G,103106,7,"2017,2018,2019,2020,2021,2022,2023",49,61617,687,31879,141,7006,1727
boj,Latn,boj_Latn,Anjam,m,Ll,LATIN SMALL LETTER M,91165,7,"2017,2018,2019,2020,2021,2022,2023",95,55513,781,27968,86,5615,1107
boj,Latn,boj_Latn,Anjam,u,Ll,LATIN SMALL LETTER U,88684,7,"2017,2018,2019,2020,2021,2022,2023",105,53332,655,27120,112,6221,1139
