iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency
box,Latn,box_Latn,Buamu, ,Zs,SPACE,45009,4,"2019,2020,2021,2022",39104,852,432,4621
box,Latn,box_Latn,Buamu,n,Ll,LATIN SMALL LETTER N,11979,4,"2019,2020,2021,2022",10412,231,117,1219
box,Latn,box_Latn,Buamu,a,Ll,LATIN SMALL LETTER A,11842,4,"2019,2020,2021,2022",10185,225,102,1330
box,Latn,box_Latn,Buamu,e,Ll,LATIN SMALL LETTER E,8903,4,"2019,2020,2021,2022",7702,145,122,934
box,Latn,box_Latn,Buamu,o,Ll,LATIN SMALL LETTER O,6803,4,"2019,2020,2021,2022",5958,121,57,667
box,Latn,box_Latn,Buamu,i,Ll,LATIN SMALL LETTER I,6455,4,"2019,2020,2021,2022",5604,162,78,611
box,Latn,box_Latn,Buamu,á,Ll,LATIN SMALL LETTER A WITH ACUTE,5360,4,"2019,2020,2021,2022",4596,119,39,606
box,Latn,box_Latn,Buamu,l,Ll,LATIN SMALL LETTER L,5139,4,"2019,2020,2021,2022",4450,101,61,527
box,Latn,box_Latn,Buamu,b,Ll,LATIN SMALL LETTER B,4905,4,"2019,2020,2021,2022",4208,95,51,551
box,Latn,box_Latn,Buamu,w,Ll,LATIN SMALL LETTER W,4856,4,"2019,2020,2021,2022",4193,87,48,528
box,Latn,box_Latn,Buamu,í,Ll,LATIN SMALL LETTER I WITH ACUTE,4645,4,"2019,2020,2021,2022",4027,102,26,490
box,Latn,box_Latn,Buamu,m,Ll,LATIN SMALL LETTER M,4455,4,"2019,2020,2021,2022",3835,120,46,454
box,Latn,box_Latn,Buamu,à,Ll,LATIN SMALL LETTER A WITH GRAVE,3879,4,"2019,2020,2021,2022",3340,71,46,422
box,Latn,box_Latn,Buamu,ì,Ll,LATIN SMALL LETTER I WITH GRAVE,3731,4,"2019,2020,2021,2022",3210,68,44,409
box,Latn,box_Latn,Buamu,y,Ll,LATIN SMALL LETTER Y,3513,4,"2019,2020,2021,2022",3077,64,34,338
box,Latn,box_Latn,Buamu,k,Ll,LATIN SMALL LETTER K,2986,4,"2019,2020,2021,2022",2576,63,30,317
box,Latn,box_Latn,Buamu,h,Ll,LATIN SMALL LETTER H,2951,4,"2019,2020,2021,2022",2591,54,27,279
box,Latn,box_Latn,Buamu,u,Ll,LATIN SMALL LETTER U,2840,4,"2019,2020,2021,2022",2452,41,26,321
box,Latn,box_Latn,Buamu,r,Ll,LATIN SMALL LETTER R,2746,4,"2019,2020,2021,2022",2353,69,22,302
box,Latn,box_Latn,Buamu,ɓ,Ll,LATIN SMALL LETTER B WITH HOOK,2732,4,"2019,2020,2021,2022",2372,52,11,297
box,Latn,box_Latn,Buamu,é,Ll,LATIN SMALL LETTER E WITH ACUTE,2715,4,"2019,2020,2021,2022",2354,48,39,274
box,Latn,box_Latn,Buamu,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,2574,4,"2019,2020,2021,2022",2268,48,28,230
box,Latn,box_Latn,Buamu,ɛ,Ll,LATIN SMALL LETTER OPEN E,2510,4,"2019,2020,2021,2022",2184,24,24,278
box,Latn,box_Latn,Buamu,s,Ll,LATIN SMALL LETTER S,2470,4,"2019,2020,2021,2022",2118,54,29,269
box,Latn,box_Latn,Buamu,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,2179,4,"2019,2020,2021,2022",1878,58,13,230
box,Latn,box_Latn,Buamu,.,Po,FULL STOP,2143,4,"2019,2020,2021,2022",1859,44,21,219
box,Latn,box_Latn,Buamu,ĩ,Ll,LATIN SMALL LETTER I WITH TILDE,2108,4,"2019,2020,2021,2022",1877,31,12,188
box,Latn,box_Latn,Buamu,́,Mn,COMBINING ACUTE ACCENT,1965,4,"2019,2020,2021,2022",1737,38,17,173
box,Latn,box_Latn,Buamu,t,Ll,LATIN SMALL LETTER T,1804,4,"2019,2020,2021,2022",1534,41,26,203
box,Latn,box_Latn,Buamu,",",Po,COMMA,1692,4,"2019,2020,2021,2022",1462,24,16,190
box,Latn,box_Latn,Buamu,è,Ll,LATIN SMALL LETTER E WITH GRAVE,1380,4,"2019,2020,2021,2022",1163,34,20,163
box,Latn,box_Latn,Buamu,d,Ll,LATIN SMALL LETTER D,1373,4,"2019,2020,2021,2022",1217,37,12,107
box,Latn,box_Latn,Buamu,ã,Ll,LATIN SMALL LETTER A WITH TILDE,1239,4,"2019,2020,2021,2022",1087,31,7,114
box,Latn,box_Latn,Buamu,p,Ll,LATIN SMALL LETTER P,1080,4,"2019,2020,2021,2022",923,31,5,121
box,Latn,box_Latn,Buamu,z,Ll,LATIN SMALL LETTER Z,988,4,"2019,2020,2021,2022",890,12,7,79
box,Latn,box_Latn,Buamu,̀,Mn,COMBINING GRAVE ACCENT,988,4,"2019,2020,2021,2022",857,13,8,110
