iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
bps,Latn,bps_Latn,Sarangani Blaan, ,Zs,SPACE,56691,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",2544,656,50,142,1401,14031,18717,17967,1183
bps,Latn,bps_Latn,Sarangani Blaan,a,Ll,LATIN SMALL LETTER A,38304,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",1610,411,26,99,927,9556,12752,12088,835
bps,Latn,bps_Latn,Sarangani Blaan,n,Ll,LATIN SMALL LETTER N,21106,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",791,195,14,42,692,5072,7929,5968,403
bps,Latn,bps_Latn,Sarangani Blaan,i,Ll,LATIN SMALL LETTER I,16961,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",723,226,15,50,475,4362,5246,5459,405
bps,Latn,bps_Latn,Sarangani Blaan,d,Ll,LATIN SMALL LETTER D,15546,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",742,153,5,56,387,4003,4660,5222,318
bps,Latn,bps_Latn,Sarangani Blaan,l,Ll,LATIN SMALL LETTER L,13257,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",601,124,21,28,233,3274,4782,3940,254
bps,Latn,bps_Latn,Sarangani Blaan,u,Ll,LATIN SMALL LETTER U,13246,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",682,110,7,23,265,3269,4276,4349,265
bps,Latn,bps_Latn,Sarangani Blaan,g,Ll,LATIN SMALL LETTER G,11545,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",559,79,3,29,251,2811,4072,3481,260
bps,Latn,bps_Latn,Sarangani Blaan,t,Ll,LATIN SMALL LETTER T,11310,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",463,101,12,21,243,2883,3633,3683,271
bps,Latn,bps_Latn,Sarangani Blaan,m,Ll,LATIN SMALL LETTER M,10894,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",477,117,4,39,302,2431,4113,3159,252
bps,Latn,bps_Latn,Sarangani Blaan,e,Ll,LATIN SMALL LETTER E,10866,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",473,106,18,29,269,2676,3836,3245,214
bps,Latn,bps_Latn,Sarangani Blaan,k,Ll,LATIN SMALL LETTER K,8516,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",359,87,8,18,140,2163,3059,2514,168
bps,Latn,bps_Latn,Sarangani Blaan,o,Ll,LATIN SMALL LETTER O,6814,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",237,86,9,10,85,1468,2657,2101,161
bps,Latn,bps_Latn,Sarangani Blaan,f,Ll,LATIN SMALL LETTER F,5876,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",254,47,9,12,109,1307,2263,1760,115
bps,Latn,bps_Latn,Sarangani Blaan,s,Ll,LATIN SMALL LETTER S,5741,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",220,115,8,12,80,1486,1611,2084,125
bps,Latn,bps_Latn,Sarangani Blaan,",",Po,COMMA,5386,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",248,87,4,8,155,1222,1999,1571,92
bps,Latn,bps_Latn,Sarangani Blaan,y,Ll,LATIN SMALL LETTER Y,5015,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",235,85,8,11,79,1246,1461,1768,122
bps,Latn,bps_Latn,Sarangani Blaan,b,Ll,LATIN SMALL LETTER B,4290,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",169,77,7,6,112,986,1515,1315,103
bps,Latn,bps_Latn,Sarangani Blaan,.,Po,FULL STOP,2967,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",115,34,5,10,96,676,1115,854,62
bps,Latn,bps_Latn,Sarangani Blaan,w,Ll,LATIN SMALL LETTER W,2850,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",133,15,2,6,82,721,834,983,74
bps,Latn,bps_Latn,Sarangani Blaan,à,Ll,LATIN SMALL LETTER A WITH GRAVE,2297,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",124,57,1,10,41,587,718,721,38
bps,Latn,bps_Latn,Sarangani Blaan,D,Lu,LATIN CAPITAL LETTER D,2091,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",81,54,1,3,58,695,281,871,47
bps,Latn,bps_Latn,Sarangani Blaan,è,Ll,LATIN SMALL LETTER E WITH GRAVE,1836,8,"2013,2014,2018,2019,2020,2021,2022,2023",96,5,0,4,23,362,817,495,34
bps,Latn,bps_Latn,Sarangani Blaan,é,Ll,LATIN SMALL LETTER E WITH ACUTE,1698,8,"2013,2014,2018,2019,2020,2021,2022,2023",52,45,0,8,80,513,487,480,33
bps,Latn,bps_Latn,Sarangani Blaan,ò,Ll,LATIN SMALL LETTER O WITH GRAVE,1336,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",88,9,2,2,33,312,384,472,34
bps,Latn,bps_Latn,Sarangani Blaan,h,Ll,LATIN SMALL LETTER H,1233,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",72,17,2,4,66,243,407,393,29
bps,Latn,bps_Latn,Sarangani Blaan,N,Lu,LATIN CAPITAL LETTER N,1151,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",47,17,2,3,43,341,267,411,20
bps,Latn,bps_Latn,Sarangani Blaan,1,Nd,DIGIT ONE,1108,8,"2013,2014,2017,2019,2020,2021,2022,2023",46,25,5,0,28,241,457,292,14
bps,Latn,bps_Latn,Sarangani Blaan,r,Ll,LATIN SMALL LETTER R,927,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",16,53,8,1,3,282,119,423,22
bps,Latn,bps_Latn,Sarangani Blaan,K,Lu,LATIN CAPITAL LETTER K,774,8,"2013,2014,2018,2019,2020,2021,2022,2023",40,8,0,2,19,197,143,336,29
bps,Latn,bps_Latn,Sarangani Blaan,2,Nd,DIGIT TWO,728,8,"2013,2014,2017,2019,2020,2021,2022,2023",10,11,1,0,23,128,376,170,9
bps,Latn,bps_Latn,Sarangani Blaan,T,Lu,LATIN CAPITAL LETTER T,710,8,"2013,2014,2017,2019,2020,2021,2022,2023",33,11,2,0,8,269,111,262,14
bps,Latn,bps_Latn,Sarangani Blaan,ù,Ll,LATIN SMALL LETTER U WITH GRAVE,674,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",32,4,1,2,7,160,196,247,25
bps,Latn,bps_Latn,Sarangani Blaan,I,Lu,LATIN CAPITAL LETTER I,666,8,"2013,2014,2017,2019,2020,2021,2022,2023",5,14,2,0,7,154,329,145,10
bps,Latn,bps_Latn,Sarangani Blaan,A,Lu,LATIN CAPITAL LETTER A,463,7,"2013,2014,2019,2020,2021,2022,2023",15,23,0,0,21,111,70,205,18
bps,Latn,bps_Latn,Sarangani Blaan,F,Lu,LATIN CAPITAL LETTER F,427,8,"2013,2014,2018,2019,2020,2021,2022,2023",8,3,0,1,2,170,76,154,13
bps,Latn,bps_Latn,Sarangani Blaan,3,Nd,DIGIT THREE,364,8,"2013,2014,2018,2019,2020,2021,2022,2023",7,3,0,1,8,78,169,95,3
bps,Latn,bps_Latn,Sarangani Blaan,M,Lu,LATIN CAPITAL LETTER M,323,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",6,23,1,2,5,107,45,128,6
bps,Latn,bps_Latn,Sarangani Blaan,4,Nd,DIGIT FOUR,273,7,"2013,2014,2019,2020,2021,2022,2023",8,3,0,0,6,74,103,76,3
bps,Latn,bps_Latn,Sarangani Blaan,5,Nd,DIGIT FIVE,244,7,"2013,2014,2019,2020,2021,2022,2023",8,5,0,0,6,61,100,62,2
bps,Latn,bps_Latn,Sarangani Blaan,“,Pi,LEFT DOUBLE QUOTATION MARK,243,6,"2018,2019,2020,2021,2022,2023",0,0,0,1,22,94,63,57,6
bps,Latn,bps_Latn,Sarangani Blaan,”,Pf,RIGHT DOUBLE QUOTATION MARK,231,5,"2019,2020,2021,2022,2023",0,0,0,0,22,91,61,51,6
bps,Latn,bps_Latn,Sarangani Blaan,6,Nd,DIGIT SIX,230,7,"2013,2014,2019,2020,2021,2022,2023",8,3,0,0,5,57,97,58,2
bps,Latn,bps_Latn,Sarangani Blaan,7,Nd,DIGIT SEVEN,228,8,"2013,2014,2018,2019,2020,2021,2022,2023",8,4,0,2,5,54,94,59,2
bps,Latn,bps_Latn,Sarangani Blaan,S,Lu,LATIN CAPITAL LETTER S,227,8,"2013,2014,2017,2018,2020,2021,2022,2023",5,13,1,3,0,84,31,85,5
bps,Latn,bps_Latn,Sarangani Blaan,ê,Ll,LATIN SMALL LETTER E WITH CIRCUMFLEX,218,8,"2013,2014,2017,2019,2020,2021,2022,2023",10,5,1,0,5,62,66,61,8
bps,Latn,bps_Latn,Sarangani Blaan,8,Nd,DIGIT EIGHT,212,7,"2013,2014,2019,2020,2021,2022,2023",7,3,0,0,5,45,91,59,2
bps,Latn,bps_Latn,Sarangani Blaan,9,Nd,DIGIT NINE,202,7,"2013,2014,2019,2020,2021,2022,2023",6,4,0,0,5,42,82,61,2
bps,Latn,bps_Latn,Sarangani Blaan,0,Nd,DIGIT ZERO,201,7,"2013,2014,2019,2020,2021,2022,2023",5,4,0,0,5,41,87,57,2
bps,Latn,bps_Latn,Sarangani Blaan,B,Lu,LATIN CAPITAL LETTER B,175,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",7,13,2,2,2,50,50,45,4
bps,Latn,bps_Latn,Sarangani Blaan,ì,Ll,LATIN SMALL LETTER I WITH GRAVE,163,4,"2014,2020,2021,2022",0,8,0,0,0,26,104,25,0
bps,Latn,bps_Latn,Sarangani Blaan,L,Lu,LATIN CAPITAL LETTER L,134,8,"2013,2014,2017,2019,2020,2021,2022,2023",7,3,1,0,3,37,44,38,1
bps,Latn,bps_Latn,Sarangani Blaan,G,Lu,LATIN CAPITAL LETTER G,112,7,"2013,2018,2019,2020,2021,2022,2023",4,0,0,4,4,53,19,26,2
bps,Latn,bps_Latn,Sarangani Blaan,R,Lu,LATIN CAPITAL LETTER R,99,5,"2013,2014,2020,2021,2022",1,7,0,0,0,34,26,31,0
bps,Latn,bps_Latn,Sarangani Blaan,c,Ll,LATIN SMALL LETTER C,84,5,"2014,2017,2021,2022,2023",0,4,4,0,0,0,13,55,8
bps,Latn,bps_Latn,Sarangani Blaan,H,Lu,LATIN CAPITAL LETTER H,84,7,"2013,2014,2019,2020,2021,2022,2023",1,12,0,0,1,27,14,28,1
bps,Latn,bps_Latn,Sarangani Blaan,?,Po,QUESTION MARK,70,6,"2013,2018,2020,2021,2022,2023",7,0,0,1,0,22,21,17,2
bps,Latn,bps_Latn,Sarangani Blaan,:,Po,COLON,63,7,"2014,2017,2018,2020,2021,2022,2023",0,3,1,1,0,11,18,28,1
bps,Latn,bps_Latn,Sarangani Blaan,É,Lu,LATIN CAPITAL LETTER E WITH ACUTE,59,6,"2013,2014,2019,2020,2021,2022",2,2,0,0,3,21,17,14,0
bps,Latn,bps_Latn,Sarangani Blaan,p,Ll,LATIN SMALL LETTER P,37,4,"2014,2021,2022,2023",0,2,0,0,0,0,9,23,3
bps,Latn,bps_Latn,Sarangani Blaan,-,Pd,HYPHEN-MINUS,36,5,"2019,2020,2021,2022,2023",0,0,0,0,1,9,6,19,1
bps,Latn,bps_Latn,Sarangani Blaan,"""",Po,QUOTATION MARK,30,3,"2013,2014,2021",19,7,0,0,0,0,4,0,0
bps,Latn,bps_Latn,Sarangani Blaan,O,Lu,LATIN CAPITAL LETTER O,29,4,"2014,2020,2021,2022",0,4,0,0,0,14,6,5,0
bps,Latn,bps_Latn,Sarangani Blaan,v,Ll,LATIN SMALL LETTER V,28,2,"2021,2022",0,0,0,0,0,0,7,21,0
bps,Latn,bps_Latn,Sarangani Blaan,',Po,APOSTROPHE,23,1,2021,0,0,0,0,0,0,23,0,0
bps,Latn,bps_Latn,Sarangani Blaan,!,Po,EXCLAMATION MARK,23,4,"2014,2020,2021,2022",0,1,0,0,0,12,2,8,0
bps,Latn,bps_Latn,Sarangani Blaan,E,Lu,LATIN CAPITAL LETTER E,20,4,"2014,2020,2021,2022",0,5,0,0,0,2,8,5,0
bps,Latn,bps_Latn,Sarangani Blaan,’,Pf,RIGHT SINGLE QUOTATION MARK,17,3,"2020,2021,2022",0,0,0,0,0,5,1,11,0
bps,Latn,bps_Latn,Sarangani Blaan,‘,Pi,LEFT SINGLE QUOTATION MARK,17,3,"2020,2021,2022",0,0,0,0,0,5,1,11,0
bps,Latn,bps_Latn,Sarangani Blaan,Y,Lu,LATIN CAPITAL LETTER Y,15,5,"2014,2019,2020,2021,2022",0,1,0,0,1,1,1,11,0
bps,Latn,bps_Latn,Sarangani Blaan,W,Lu,LATIN CAPITAL LETTER W,15,4,"2014,2017,2021,2022",0,3,2,0,0,0,2,8,0
bps,Latn,bps_Latn,Sarangani Blaan,(,Ps,LEFT PARENTHESIS,13,2,"2020,2022",0,0,0,0,0,4,0,9,0
bps,Latn,bps_Latn,Sarangani Blaan,),Pe,RIGHT PARENTHESIS,13,2,"2020,2022",0,0,0,0,0,4,0,9,0
bps,Latn,bps_Latn,Sarangani Blaan,😭,So,LOUDLY CRYING FACE,8,1,2021,0,0,0,0,0,0,8,0,0
bps,Latn,bps_Latn,Sarangani Blaan,x,Ll,LATIN SMALL LETTER X,8,3,"2014,2017,2022",0,2,1,0,0,0,0,5,0
bps,Latn,bps_Latn,Sarangani Blaan,U,Lu,LATIN CAPITAL LETTER U,8,3,"2014,2021,2022",0,3,0,0,0,0,1,4,0
bps,Latn,bps_Latn,Sarangani Blaan,;,Po,SEMICOLON,7,2,"2020,2022",0,0,0,0,0,4,0,3,0
bps,Latn,bps_Latn,Sarangani Blaan,*,Po,ASTERISK,7,2,"2020,2022",0,0,0,0,0,6,0,1,0
bps,Latn,bps_Latn,Sarangani Blaan,C,Lu,LATIN CAPITAL LETTER C,6,1,2022,0,0,0,0,0,0,0,6,0
bps,Latn,bps_Latn,Sarangani Blaan,ç,Ll,LATIN SMALL LETTER C WITH CEDILLA,6,1,2021,0,0,0,0,0,0,6,0,0
bps,Latn,bps_Latn,Sarangani Blaan,V,Lu,LATIN CAPITAL LETTER V,6,2,"2014,2017",0,4,2,0,0,0,0,0,0
bps,Latn,bps_Latn,Sarangani Blaan,z,Ll,LATIN SMALL LETTER Z,6,2,"2021,2023",0,0,0,0,0,0,3,0,3
bps,Latn,bps_Latn,Sarangani Blaan,P,Lu,LATIN CAPITAL LETTER P,5,3,"2014,2017,2022",0,1,1,0,0,0,0,3,0
bps,Latn,bps_Latn,Sarangani Blaan,q,Ll,LATIN SMALL LETTER Q,5,2,"2021,2022",0,0,0,0,0,0,3,2,0
bps,Latn,bps_Latn,Sarangani Blaan,/,Po,SOLIDUS,4,1,2022,0,0,0,0,0,0,0,4,0
bps,Latn,bps_Latn,Sarangani Blaan,J,Lu,LATIN CAPITAL LETTER J,4,2,"2021,2022",0,0,0,0,0,0,2,2,0
bps,Latn,bps_Latn,Sarangani Blaan,ã,Ll,LATIN SMALL LETTER A WITH TILDE,4,1,2021,0,0,0,0,0,0,4,0,0
bps,Latn,bps_Latn,Sarangani Blaan,Ú,Lu,LATIN CAPITAL LETTER U WITH ACUTE,3,1,2021,0,0,0,0,0,0,3,0,0
bps,Latn,bps_Latn,Sarangani Blaan,Q,Lu,LATIN CAPITAL LETTER Q,3,1,2021,0,0,0,0,0,0,3,0,0
bps,Latn,bps_Latn,Sarangani Blaan,â,Ll,LATIN SMALL LETTER A WITH CIRCUMFLEX,2,1,2021,0,0,0,0,0,0,2,0,0
bps,Latn,bps_Latn,Sarangani Blaan,🤗,So,HUGGING FACE,2,1,2021,0,0,0,0,0,0,2,0,0
bps,Latn,bps_Latn,Sarangani Blaan,X,Lu,LATIN CAPITAL LETTER X,2,1,2022,0,0,0,0,0,0,0,2,0
bps,Latn,bps_Latn,Sarangani Blaan,😊,So,SMILING FACE WITH SMILING EYES,2,1,2021,0,0,0,0,0,0,2,0,0
