iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency
bqc,Latn,bqc_Latn,Boko (Benin), ,Zs,SPACE,644862,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",558977,17855,7531,8254,10763,39858,504,415,705
bqc,Latn,bqc_Latn,Boko (Benin),a,Ll,LATIN SMALL LETTER A,281668,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",244110,7924,3250,3704,4471,17524,201,217,267
bqc,Latn,bqc_Latn,Boko (Benin),ɛ,Ll,LATIN SMALL LETTER OPEN E,196217,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",170204,5187,2330,2565,3368,12042,128,134,259
bqc,Latn,bqc_Latn,Boko (Benin),ↄ,Ll,LATIN SMALL LETTER REVERSED C,159000,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",137677,4573,1723,2224,2624,9822,96,135,126
bqc,Latn,bqc_Latn,Boko (Benin),i,Ll,LATIN SMALL LETTER I,139453,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",120131,4046,1548,1865,2623,8938,101,89,112
bqc,Latn,bqc_Latn,Boko (Benin),́,Mn,COMBINING ACUTE ACCENT,85382,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",73936,2289,973,1165,1388,5453,63,36,79
bqc,Latn,bqc_Latn,Boko (Benin),l,Ll,LATIN SMALL LETTER L,82151,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",71053,2322,963,1189,1373,5032,54,74,91
bqc,Latn,bqc_Latn,Boko (Benin),u,Ll,LATIN SMALL LETTER U,77349,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",66482,2176,870,1001,1270,5388,42,69,51
bqc,Latn,bqc_Latn,Boko (Benin),k,Ll,LATIN SMALL LETTER K,72047,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",62012,2067,888,980,1181,4699,62,61,97
bqc,Latn,bqc_Latn,Boko (Benin),n,Ll,LATIN SMALL LETTER N,69420,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",60496,1823,759,947,1072,4148,49,71,55
bqc,Latn,bqc_Latn,Boko (Benin),b,Ll,LATIN SMALL LETTER B,68510,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",59354,1938,731,969,1031,4329,35,52,71
bqc,Latn,bqc_Latn,Boko (Benin),̃,Mn,COMBINING TILDE,66248,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",57735,1656,697,917,1127,3962,41,50,63
bqc,Latn,bqc_Latn,Boko (Benin),p,Ll,LATIN SMALL LETTER P,64716,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",56016,1741,701,877,1115,4100,44,39,83
bqc,Latn,bqc_Latn,Boko (Benin),s,Ll,LATIN SMALL LETTER S,64272,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",55371,1879,710,777,1133,4229,60,41,72
bqc,Latn,bqc_Latn,Boko (Benin),m,Ll,LATIN SMALL LETTER M,62403,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",54352,1882,859,693,931,3507,60,45,74
bqc,Latn,bqc_Latn,Boko (Benin),g,Ll,LATIN SMALL LETTER G,61693,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",53303,1602,688,878,1101,3973,40,44,64
bqc,Latn,bqc_Latn,Boko (Benin),o,Ll,LATIN SMALL LETTER O,55303,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",47547,1533,678,789,949,3646,51,49,61
bqc,Latn,bqc_Latn,Boko (Benin),à,Ll,LATIN SMALL LETTER A WITH GRAVE,51662,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",45215,1355,635,577,830,2855,57,33,105
bqc,Latn,bqc_Latn,Boko (Benin),",",Po,COMMA,51368,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",44762,1563,628,620,815,2860,45,26,49
bqc,Latn,bqc_Latn,Boko (Benin),e,Ll,LATIN SMALL LETTER E,51308,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",43834,1472,614,737,789,3733,50,28,51
bqc,Latn,bqc_Latn,Boko (Benin),w,Ll,LATIN SMALL LETTER W,48706,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",41850,1488,527,673,1004,3066,23,24,51
bqc,Latn,bqc_Latn,Boko (Benin),d,Ll,LATIN SMALL LETTER D,47138,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",40511,1369,562,763,764,3066,31,35,37
bqc,Latn,bqc_Latn,Boko (Benin),.,Po,FULL STOP,44542,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",38524,1225,543,531,757,2878,33,13,38
bqc,Latn,bqc_Latn,Boko (Benin),ã,Ll,LATIN SMALL LETTER A WITH TILDE,41968,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",36212,1175,550,497,613,2826,38,23,34
bqc,Latn,bqc_Latn,Boko (Benin),̀,Mn,COMBINING GRAVE ACCENT,41224,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",36235,1057,507,497,677,2154,17,23,57
