iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
bqp,Latn,bqp_Latn,Busa, ,Zs,SPACE,99385,4,"2017,2021,2022,2023",189,80086,11075,8035
bqp,Latn,bqp_Latn,Busa,a,Ll,LATIN SMALL LETTER A,40951,4,"2017,2021,2022,2023",66,33154,4617,3114
bqp,Latn,bqp_Latn,Busa,n,Ll,LATIN SMALL LETTER N,28229,4,"2017,2021,2022,2023",66,22534,3409,2220
bqp,Latn,bqp_Latn,Busa,ɛ,Ll,LATIN SMALL LETTER OPEN E,25539,4,"2017,2021,2022,2023",32,20548,2864,2095
bqp,Latn,bqp_Latn,Busa,k,Ll,LATIN SMALL LETTER K,25369,4,"2017,2021,2022,2023",51,20048,3082,2188
bqp,Latn,bqp_Latn,Busa,i,Ll,LATIN SMALL LETTER I,21823,4,"2017,2021,2022,2023",41,17888,2451,1443
bqp,Latn,bqp_Latn,Busa,ↄ,Ll,LATIN SMALL LETTER REVERSED C,16211,4,"2017,2021,2022,2023",46,12741,1973,1451
bqp,Latn,bqp_Latn,Busa,d,Ll,LATIN SMALL LETTER D,12156,4,"2017,2021,2022,2023",34,9907,1256,959
bqp,Latn,bqp_Latn,Busa,ũ,Ll,LATIN SMALL LETTER U WITH TILDE,11898,4,"2017,2021,2022,2023",24,9470,1431,973
bqp,Latn,bqp_Latn,Busa,r,Ll,LATIN SMALL LETTER R,11351,4,"2017,2021,2022,2023",16,9263,1314,758
bqp,Latn,bqp_Latn,Busa,b,Ll,LATIN SMALL LETTER B,10437,4,"2017,2021,2022,2023",17,8253,1202,965
bqp,Latn,bqp_Latn,Busa,g,Ll,LATIN SMALL LETTER G,10042,4,"2017,2021,2022,2023",32,8089,1123,798
bqp,Latn,bqp_Latn,Busa,u,Ll,LATIN SMALL LETTER U,9995,4,"2017,2021,2022,2023",18,8061,1082,834
bqp,Latn,bqp_Latn,Busa,s,Ll,LATIN SMALL LETTER S,9237,4,"2017,2021,2022,2023",20,7445,1069,703
bqp,Latn,bqp_Latn,Busa,̃,Mn,COMBINING TILDE,8716,4,"2017,2021,2022,2023",26,6976,905,809
bqp,Latn,bqp_Latn,Busa,o,Ll,LATIN SMALL LETTER O,8706,4,"2017,2021,2022,2023",12,6994,986,714
bqp,Latn,bqp_Latn,Busa,p,Ll,LATIN SMALL LETTER P,8615,4,"2017,2021,2022,2023",15,6680,944,976
bqp,Latn,bqp_Latn,Busa,à,Ll,LATIN SMALL LETTER A WITH GRAVE,8352,4,"2017,2021,2022,2023",22,6742,914,674
bqp,Latn,bqp_Latn,Busa,m,Ll,LATIN SMALL LETTER M,8233,4,"2017,2021,2022,2023",5,6708,818,702
bqp,Latn,bqp_Latn,Busa,l,Ll,LATIN SMALL LETTER L,7033,4,"2017,2021,2022,2023",5,5629,824,575
bqp,Latn,bqp_Latn,Busa,t,Ll,LATIN SMALL LETTER T,6796,4,"2017,2021,2022,2023",7,5418,750,621
bqp,Latn,bqp_Latn,Busa,e,Ll,LATIN SMALL LETTER E,6700,4,"2017,2021,2022,2023",19,5449,721,511
bqp,Latn,bqp_Latn,Busa,.,Po,FULL STOP,6306,4,"2017,2021,2022,2023",11,5104,668,523
bqp,Latn,bqp_Latn,Busa,",",Po,COMMA,6103,4,"2017,2021,2022,2023",11,4951,648,493
bqp,Latn,bqp_Latn,Busa,ã,Ll,LATIN SMALL LETTER A WITH TILDE,5722,4,"2017,2021,2022,2023",12,4581,582,547
bqp,Latn,bqp_Latn,Busa,̀,Mn,COMBINING GRAVE ACCENT,5666,4,"2017,2021,2022,2023",3,4394,744,525
bqp,Latn,bqp_Latn,Busa,ì,Ll,LATIN SMALL LETTER I WITH GRAVE,4743,4,"2017,2021,2022,2023",2,3821,527,393
bqp,Latn,bqp_Latn,Busa,́,Mn,COMBINING ACUTE ACCENT,4666,4,"2017,2021,2022,2023",3,3846,443,374
bqp,Latn,bqp_Latn,Busa,ò,Ll,LATIN SMALL LETTER O WITH GRAVE,4209,4,"2017,2021,2022,2023",1,3268,589,351
bqp,Latn,bqp_Latn,Busa,z,Ll,LATIN SMALL LETTER Z,3821,4,"2017,2021,2022,2023",7,3089,439,286
bqp,Latn,bqp_Latn,Busa,á,Ll,LATIN SMALL LETTER A WITH ACUTE,3793,4,"2017,2021,2022,2023",5,3261,326,201
bqp,Latn,bqp_Latn,Busa,y,Ll,LATIN SMALL LETTER Y,3723,4,"2017,2021,2022,2023",7,3152,344,220
bqp,Latn,bqp_Latn,Busa,ĩ,Ll,LATIN SMALL LETTER I WITH TILDE,3491,4,"2017,2021,2022,2023",5,2777,351,358
bqp,Latn,bqp_Latn,Busa,w,Ll,LATIN SMALL LETTER W,3292,4,"2017,2021,2022,2023",2,2605,380,305
bqp,Latn,bqp_Latn,Busa,í,Ll,LATIN SMALL LETTER I WITH ACUTE,3056,4,"2017,2021,2022,2023",14,2344,461,237
bqp,Latn,bqp_Latn,Busa,A,Lu,LATIN CAPITAL LETTER A,2524,4,"2017,2021,2022,2023",2,2056,298,168
bqp,Latn,bqp_Latn,Busa,1,Nd,DIGIT ONE,2151,4,"2017,2021,2022,2023",12,1762,197,180
bqp,Latn,bqp_Latn,Busa,ń,Ll,LATIN SMALL LETTER N WITH ACUTE,2024,4,"2017,2021,2022,2023",4,1505,371,144
