iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
bsp,Latn,bsp_Latn,Baga Sitemu, ,Zs,SPACE,21340,6,"2017,2019,2020,2021,2022,2023",63,7642,548,7538,2657,2892
bsp,Latn,bsp_Latn,Baga Sitemu,a,Ll,LATIN SMALL LETTER A,10892,6,"2017,2019,2020,2021,2022,2023",26,3365,257,4262,1501,1481
bsp,Latn,bsp_Latn,Baga Sitemu,k,Ll,LATIN SMALL LETTER K,7423,6,"2017,2019,2020,2021,2022,2023",21,2553,195,2703,940,1011
bsp,Latn,bsp_Latn,Baga Sitemu,ɔ,Ll,LATIN SMALL LETTER OPEN O,7361,6,"2017,2019,2020,2021,2022,2023",20,2601,187,2569,929,1055
bsp,Latn,bsp_Latn,Baga Sitemu,ə,Ll,LATIN SMALL LETTER SCHWA,6807,6,"2017,2019,2020,2021,2022,2023",26,2411,160,2343,784,1083
bsp,Latn,bsp_Latn,Baga Sitemu,n,Ll,LATIN SMALL LETTER N,6236,6,"2017,2019,2020,2021,2022,2023",14,2164,135,2181,751,991
bsp,Latn,bsp_Latn,Baga Sitemu,ɛ,Ll,LATIN SMALL LETTER OPEN E,5594,6,"2017,2019,2020,2021,2022,2023",14,1965,158,1843,668,946
bsp,Latn,bsp_Latn,Baga Sitemu,m,Ll,LATIN SMALL LETTER M,4580,6,"2017,2019,2020,2021,2022,2023",29,1801,136,1380,491,743
bsp,Latn,bsp_Latn,Baga Sitemu,ŋ,Ll,LATIN SMALL LETTER ENG,4122,6,"2017,2019,2020,2021,2022,2023",9,1243,81,1572,630,587
bsp,Latn,bsp_Latn,Baga Sitemu,t,Ll,LATIN SMALL LETTER T,3337,6,"2017,2019,2020,2021,2022,2023",13,1293,65,1114,336,516
bsp,Latn,bsp_Latn,Baga Sitemu,u,Ll,LATIN SMALL LETTER U,3320,6,"2017,2019,2020,2021,2022,2023",8,1161,71,1208,442,430
bsp,Latn,bsp_Latn,Baga Sitemu,r,Ll,LATIN SMALL LETTER R,3256,6,"2017,2019,2020,2021,2022,2023",5,1072,71,1235,405,468
bsp,Latn,bsp_Latn,Baga Sitemu,e,Ll,LATIN SMALL LETTER E,3239,6,"2017,2019,2020,2021,2022,2023",12,1126,68,1249,431,353
bsp,Latn,bsp_Latn,Baga Sitemu,s,Ll,LATIN SMALL LETTER S,3188,6,"2017,2019,2020,2021,2022,2023",13,1023,66,1229,442,415
bsp,Latn,bsp_Latn,Baga Sitemu,d,Ll,LATIN SMALL LETTER D,2948,6,"2017,2019,2020,2021,2022,2023",4,954,60,1158,381,391
