iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
btd,Latn,btd_Latn,Batak Dairi, ,Zs,SPACE,43150,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",9570,1152,10556,16936,1612,989,967,829,539
btd,Latn,btd_Latn,Batak Dairi,a,Ll,LATIN SMALL LETTER A,38768,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",9863,962,8979,15254,1323,708,677,604,398
btd,Latn,btd_Latn,Batak Dairi,n,Ll,LATIN SMALL LETTER N,26512,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",9002,656,5629,8859,722,449,478,444,273
btd,Latn,btd_Latn,Batak Dairi,e,Ll,LATIN SMALL LETTER E,23290,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",8565,463,4892,7558,564,336,449,272,191
btd,Latn,btd_Latn,Batak Dairi,i,Ll,LATIN SMALL LETTER I,20416,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",5753,365,4922,7181,771,438,403,364,219
btd,Latn,btd_Latn,Batak Dairi,k,Ll,LATIN SMALL LETTER K,15954,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",5001,346,3522,5471,526,277,321,317,173
btd,Latn,btd_Latn,Batak Dairi,u,Ll,LATIN SMALL LETTER U,11836,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",3997,268,2233,4119,362,192,252,263,150
btd,Latn,btd_Latn,Batak Dairi,g,Ll,LATIN SMALL LETTER G,11615,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",3735,324,2587,3787,330,178,271,236,167
btd,Latn,btd_Latn,Batak Dairi,m,Ll,LATIN SMALL LETTER M,11544,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",4323,342,2361,3580,306,218,184,143,87
btd,Latn,btd_Latn,Batak Dairi,r,Ll,LATIN SMALL LETTER R,10812,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",3578,215,2254,3826,261,163,218,165,132
btd,Latn,btd_Latn,Batak Dairi,s,Ll,LATIN SMALL LETTER S,9730,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",2937,169,2418,3266,396,259,105,115,65
btd,Latn,btd_Latn,Batak Dairi,t,Ll,LATIN SMALL LETTER T,9292,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",2377,173,2408,3460,296,157,171,163,87
btd,Latn,btd_Latn,Batak Dairi,o,Ll,LATIN SMALL LETTER O,8127,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",1910,305,2068,2851,307,239,204,144,99
btd,Latn,btd_Latn,Batak Dairi,l,Ll,LATIN SMALL LETTER L,8016,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",2435,147,1985,2679,279,133,161,117,80
btd,Latn,btd_Latn,Batak Dairi,p,Ll,LATIN SMALL LETTER P,7370,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",3098,128,1431,2106,209,74,117,125,82
btd,Latn,btd_Latn,Batak Dairi,d,Ll,LATIN SMALL LETTER D,6844,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",1848,191,1600,2458,265,164,151,90,77
btd,Latn,btd_Latn,Batak Dairi,b,Ll,LATIN SMALL LETTER B,6672,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",1878,150,1619,2424,243,128,95,72,63
btd,Latn,btd_Latn,Batak Dairi,h,Ll,LATIN SMALL LETTER H,5189,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",1717,137,1228,1632,166,75,113,74,47
btd,Latn,btd_Latn,Batak Dairi,è,Ll,LATIN SMALL LETTER E WITH GRAVE,4092,5,"2013,2017,2018,2019,2020",1519,0,1762,478,212,121,0,0,0
btd,Latn,btd_Latn,Batak Dairi,",",Po,COMMA,2613,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",119,94,594,1616,96,69,19,5,1
btd,Latn,btd_Latn,Batak Dairi,j,Ll,LATIN SMALL LETTER J,2264,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",681,81,611,762,47,31,23,24,4
btd,Latn,btd_Latn,Batak Dairi,.,Po,FULL STOP,1812,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",85,81,669,621,81,67,74,63,71
