iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
btx,Latn,btx_Latn,Batak Karo, ,Zs,SPACE,1342790,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",39260,73409,26216,108738,146667,188548,420286,47150,135165,46418,98281,12652
btx,Latn,btx_Latn,Batak Karo,a,Ll,LATIN SMALL LETTER A,1277741,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",36170,69044,25353,107924,141709,178299,393415,45776,127654,45743,94684,11970
btx,Latn,btx_Latn,Batak Karo,n,Ll,LATIN SMALL LETTER N,714693,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",21745,41450,13663,58219,78174,101258,219310,26369,69150,25261,53285,6809
btx,Latn,btx_Latn,Batak Karo,e,Ll,LATIN SMALL LETTER E,702707,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",20429,38330,14051,60200,79141,93032,208155,25288,74266,26392,56401,7022
btx,Latn,btx_Latn,Batak Karo,i,Ll,LATIN SMALL LETTER I,565023,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",16301,29707,11083,47164,62824,76977,177787,20203,54682,20211,42800,5284
btx,Latn,btx_Latn,Batak Karo,k,Ll,LATIN SMALL LETTER K,381739,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11251,21377,7247,31648,41944,50212,123991,13868,37149,12776,26887,3389
btx,Latn,btx_Latn,Batak Karo,u,Ll,LATIN SMALL LETTER U,371866,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12036,23229,6503,28553,39295,53379,116577,13686,36094,12585,26414,3515
btx,Latn,btx_Latn,Batak Karo,s,Ll,LATIN SMALL LETTER S,327898,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9295,17331,6761,27856,36900,43658,98227,10943,34312,12960,26233,3422
btx,Latn,btx_Latn,Batak Karo,r,Ll,LATIN SMALL LETTER R,323713,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9270,17957,6437,26544,35397,46637,98846,12044,31308,11427,24609,3237
btx,Latn,btx_Latn,Batak Karo,t,Ll,LATIN SMALL LETTER T,294710,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8829,16895,5881,26153,32759,35755,88670,10808,30607,11258,24103,2992
btx,Latn,btx_Latn,Batak Karo,g,Ll,LATIN SMALL LETTER G,282979,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9583,18172,5430,23038,30499,38729,87695,10815,26720,9536,20175,2587
btx,Latn,btx_Latn,Batak Karo,l,Ll,LATIN SMALL LETTER L,236476,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6987,13826,5100,20176,25896,30448,73535,8480,23507,8450,17897,2174
btx,Latn,btx_Latn,Batak Karo,m,Ll,LATIN SMALL LETTER M,218553,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6195,12372,4280,18280,24571,31608,62989,8137,23006,8177,16706,2232
btx,Latn,btx_Latn,Batak Karo,b,Ll,LATIN SMALL LETTER B,203362,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6225,11357,4218,18077,22557,30300,57477,7414,20481,7348,15980,1928
btx,Latn,btx_Latn,Batak Karo,d,Ll,LATIN SMALL LETTER D,185243,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6113,11589,3467,15051,21694,27230,54753,7065,17137,6428,12963,1753
btx,Latn,btx_Latn,Batak Karo,h,Ll,LATIN SMALL LETTER H,185214,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5199,9765,3725,15852,19836,25263,55641,6486,19975,7148,14483,1841
btx,Latn,btx_Latn,Batak Karo,p,Ll,LATIN SMALL LETTER P,182167,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5148,9849,3614,15252,20107,25699,54721,6795,18521,6880,13806,1775
btx,Latn,btx_Latn,Batak Karo,o,Ll,LATIN SMALL LETTER O,96129,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3229,6305,2080,7996,11169,11364,28923,3617,9058,3865,7535,988
btx,Latn,btx_Latn,Batak Karo,.,Po,FULL STOP,94983,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2919,5935,1892,8749,11161,14013,29423,3112,7776,2957,6118,928
btx,Latn,btx_Latn,Batak Karo,",",Po,COMMA,69096,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1450,2474,1478,6502,8834,11166,19959,2359,6450,2675,4944,805
btx,Latn,btx_Latn,Batak Karo,j,Ll,LATIN SMALL LETTER J,66641,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1821,3504,1234,5484,7328,9133,21086,2219,6782,2298,5166,586
btx,Latn,btx_Latn,Batak Karo,-,Pd,HYPHEN-MINUS,43510,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1430,2332,1133,4065,4715,7368,12653,1419,3658,1415,2975,347
btx,Latn,btx_Latn,Batak Karo,c,Ll,LATIN SMALL LETTER C,36697,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",921,1832,753,2668,3670,4804,13818,1355,3024,1122,2348,382
btx,Latn,btx_Latn,Batak Karo,K,Lu,LATIN CAPITAL LETTER K,31645,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",867,1370,694,2809,3915,4540,8464,1132,3978,1120,2350,406
btx,Latn,btx_Latn,Batak Karo,A,Lu,LATIN CAPITAL LETTER A,26244,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",647,1108,833,2178,2626,4682,8306,590,2413,814,1798,249
