iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2019_frequency,year_2024_frequency
bvd,Latn,bvd_Latn,Baeggu,a,Ll,LATIN SMALL LETTER A,129493,3,"2017,2019,2024",3231,438,125824
bvd,Latn,bvd_Latn,Baeggu, ,Zs,SPACE,126158,3,"2017,2019,2024",2849,559,122750
bvd,Latn,bvd_Latn,Baeggu,i,Ll,LATIN SMALL LETTER I,53060,3,"2017,2019,2024",1261,250,51549
bvd,Latn,bvd_Latn,Baeggu,n,Ll,LATIN SMALL LETTER N,38709,3,"2017,2019,2024",729,154,37826
bvd,Latn,bvd_Latn,Baeggu,o,Ll,LATIN SMALL LETTER O,33672,3,"2017,2019,2024",1148,173,32351
bvd,Latn,bvd_Latn,Baeggu,u,Ll,LATIN SMALL LETTER U,29666,3,"2017,2019,2024",469,154,29043
bvd,Latn,bvd_Latn,Baeggu,e,Ll,LATIN SMALL LETTER E,24314,3,"2017,2019,2024",596,150,23568
bvd,Latn,bvd_Latn,Baeggu,l,Ll,LATIN SMALL LETTER L,23705,3,"2017,2019,2024",435,119,23151
bvd,Latn,bvd_Latn,Baeggu,k,Ll,LATIN SMALL LETTER K,21630,3,"2017,2019,2024",283,95,21252
bvd,Latn,bvd_Latn,Baeggu,s,Ll,LATIN SMALL LETTER S,16357,3,"2017,2019,2024",378,112,15867
bvd,Latn,bvd_Latn,Baeggu,m,Ll,LATIN SMALL LETTER M,15213,3,"2017,2019,2024",653,65,14495
bvd,Latn,bvd_Latn,Baeggu,',Po,APOSTROPHE,14022,1,2024,0,0,14022
bvd,Latn,bvd_Latn,Baeggu,t,Ll,LATIN SMALL LETTER T,13327,3,"2017,2019,2024",420,74,12833
bvd,Latn,bvd_Latn,Baeggu,d,Ll,LATIN SMALL LETTER D,12720,3,"2017,2019,2024",258,51,12411
bvd,Latn,bvd_Latn,Baeggu,r,Ll,LATIN SMALL LETTER R,11971,3,"2017,2019,2024",315,89,11567
bvd,Latn,bvd_Latn,Baeggu,f,Ll,LATIN SMALL LETTER F,11392,3,"2017,2019,2024",383,52,10957
bvd,Latn,bvd_Latn,Baeggu,g,Ll,LATIN SMALL LETTER G,7151,3,"2017,2019,2024",330,41,6780
bvd,Latn,bvd_Latn,Baeggu,",",Po,COMMA,5368,3,"2017,2019,2024",241,43,5084
bvd,Latn,bvd_Latn,Baeggu,.,Po,FULL STOP,5359,3,"2017,2019,2024",105,43,5211
bvd,Latn,bvd_Latn,Baeggu,b,Ll,LATIN SMALL LETTER B,5269,3,"2017,2019,2024",94,31,5144
bvd,Latn,bvd_Latn,Baeggu,w,Ll,LATIN SMALL LETTER W,5039,3,"2017,2019,2024",29,15,4995
bvd,Latn,bvd_Latn,Baeggu,G,Lu,LATIN CAPITAL LETTER G,2008,3,"2017,2019,2024",33,5,1970
bvd,Latn,bvd_Latn,Baeggu,M,Lu,LATIN CAPITAL LETTER M,1821,3,"2017,2019,2024",38,15,1768
bvd,Latn,bvd_Latn,Baeggu,N,Lu,LATIN CAPITAL LETTER N,1721,3,"2017,2019,2024",10,9,1702
bvd,Latn,bvd_Latn,Baeggu,1,Nd,DIGIT ONE,1610,3,"2017,2019,2024",2,16,1592
bvd,Latn,bvd_Latn,Baeggu,D,Lu,LATIN CAPITAL LETTER D,1465,3,"2017,2019,2024",23,7,1435
bvd,Latn,bvd_Latn,Baeggu,A,Lu,LATIN CAPITAL LETTER A,1317,3,"2017,2019,2024",60,6,1251
bvd,Latn,bvd_Latn,Baeggu,S,Lu,LATIN CAPITAL LETTER S,1283,3,"2017,2019,2024",53,14,1216
bvd,Latn,bvd_Latn,Baeggu,K,Lu,LATIN CAPITAL LETTER K,1125,3,"2017,2019,2024",2,3,1120
bvd,Latn,bvd_Latn,Baeggu,2,Nd,DIGIT TWO,904,3,"2017,2019,2024",1,10,893
bvd,Latn,bvd_Latn,Baeggu,3,Nd,DIGIT THREE,539,3,"2017,2019,2024",1,5,533
bvd,Latn,bvd_Latn,Baeggu,“,Pi,LEFT DOUBLE QUOTATION MARK,525,1,2024,0,0,525
bvd,Latn,bvd_Latn,Baeggu,”,Pf,RIGHT DOUBLE QUOTATION MARK,505,1,2024,0,0,505
bvd,Latn,bvd_Latn,Baeggu,4,Nd,DIGIT FOUR,444,3,"2017,2019,2024",1,9,434
bvd,Latn,bvd_Latn,Baeggu,T,Lu,LATIN CAPITAL LETTER T,407,3,"2017,2019,2024",10,5,392
