iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2019_frequency,year_2022_frequency
byv,Latn,byv_Latn,Medumba, ,Zs,SPACE,1843,3,"2018,2019,2022",357,179,1307
byv,Latn,byv_Latn,Medumba,n,Ll,LATIN SMALL LETTER N,762,3,"2018,2019,2022",153,87,522
byv,Latn,byv_Latn,Medumba,e,Ll,LATIN SMALL LETTER E,701,3,"2018,2019,2022",127,81,493
byv,Latn,byv_Latn,Medumba,t,Ll,LATIN SMALL LETTER T,439,3,"2018,2019,2022",100,44,295
byv,Latn,byv_Latn,Medumba,a,Ll,LATIN SMALL LETTER A,430,3,"2018,2019,2022",101,58,271
byv,Latn,byv_Latn,Medumba,i,Ll,LATIN SMALL LETTER I,403,3,"2018,2019,2022",91,42,270
byv,Latn,byv_Latn,Medumba,s,Ll,LATIN SMALL LETTER S,352,3,"2018,2019,2022",46,40,266
byv,Latn,byv_Latn,Medumba,m,Ll,LATIN SMALL LETTER M,324,3,"2018,2019,2022",69,33,222
byv,Latn,byv_Latn,Medumba,b,Ll,LATIN SMALL LETTER B,305,3,"2018,2019,2022",95,37,173
byv,Latn,byv_Latn,Medumba,u,Ll,LATIN SMALL LETTER U,297,3,"2018,2019,2022",25,26,246
byv,Latn,byv_Latn,Medumba,o,Ll,LATIN SMALL LETTER O,270,3,"2018,2019,2022",53,29,188
byv,Latn,byv_Latn,Medumba,l,Ll,LATIN SMALL LETTER L,268,3,"2018,2019,2022",39,16,213
byv,Latn,byv_Latn,Medumba,ə,Ll,LATIN SMALL LETTER SCHWA,239,1,2022,0,0,239
byv,Latn,byv_Latn,Medumba,d,Ll,LATIN SMALL LETTER D,229,3,"2018,2019,2022",33,25,171
byv,Latn,byv_Latn,Medumba,r,Ll,LATIN SMALL LETTER R,227,3,"2018,2019,2022",1,2,224
byv,Latn,byv_Latn,Medumba,’,Pf,RIGHT SINGLE QUOTATION MARK,163,3,"2018,2019,2022",32,10,121
byv,Latn,byv_Latn,Medumba,̀,Mn,COMBINING GRAVE ACCENT,134,1,2022,0,0,134
