iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
caa,Latn,caa_Latn,Chortí, ,Zs,SPACE,146228,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",1741,1701,1024,912,874,91457,15365,17424,15730
caa,Latn,caa_Latn,Chortí,a,Ll,LATIN SMALL LETTER A,95603,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",1178,1033,628,993,802,58946,10135,11457,10431
caa,Latn,caa_Latn,Chortí,e,Ll,LATIN SMALL LETTER E,61099,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",819,924,262,293,379,38047,6415,7755,6205
caa,Latn,caa_Latn,Chortí,u,Ll,LATIN SMALL LETTER U,46868,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",638,483,97,290,223,29280,5054,5687,5116
caa,Latn,caa_Latn,Chortí,t,Ll,LATIN SMALL LETTER T,44442,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",380,493,81,463,322,27700,5052,5123,4828
caa,Latn,caa_Latn,Chortí,n,Ll,LATIN SMALL LETTER N,41281,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",449,560,60,215,302,25693,4443,5097,4462
caa,Latn,caa_Latn,Chortí,i,Ll,LATIN SMALL LETTER I,39864,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",316,402,300,208,239,24057,4489,5017,4836
caa,Latn,caa_Latn,Chortí,r,Ll,LATIN SMALL LETTER R,39652,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",446,457,303,312,328,24062,4241,4967,4536
caa,Latn,caa_Latn,Chortí,o,Ll,LATIN SMALL LETTER O,39472,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",352,403,447,498,216,24210,4321,4648,4377
caa,Latn,caa_Latn,Chortí,c,Ll,LATIN SMALL LETTER C,38529,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",340,438,189,456,79,24298,3945,4775,4009
caa,Latn,caa_Latn,Chortí,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,37974,5,"2014,2019,2021,2022,2023",0,369,0,0,0,24237,4222,4594,4552
caa,Latn,caa_Latn,Chortí,m,Ll,LATIN SMALL LETTER M,18595,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",160,162,170,105,108,11189,2017,2448,2236
caa,Latn,caa_Latn,Chortí,b,Ll,LATIN SMALL LETTER B,18027,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",261,136,31,45,116,11147,1940,2178,2173
caa,Latn,caa_Latn,Chortí,s,Ll,LATIN SMALL LETTER S,16213,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",267,235,125,116,98,9524,1808,2251,1789
caa,Latn,caa_Latn,Chortí,y,Ll,LATIN SMALL LETTER Y,16064,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",219,191,240,55,166,10532,1581,1559,1521
caa,Latn,caa_Latn,Chortí,j,Ll,LATIN SMALL LETTER J,14249,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",88,174,147,25,219,8734,1498,1796,1568
caa,Latn,caa_Latn,Chortí,h,Ll,LATIN SMALL LETTER H,12573,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",75,169,73,48,75,7988,1298,1552,1295
caa,Latn,caa_Latn,Chortí,x,Ll,LATIN SMALL LETTER X,12126,8,"2013,2014,2017,2018,2019,2021,2022,2023",106,179,0,21,70,7655,1372,1394,1329
