iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
cax,Latn,cax_Latn,Chiquitano,a,Ll,LATIN SMALL LETTER A,312973,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",216864,8341,2989,20951,1319,30191,7251,632,22148,2287
cax,Latn,cax_Latn,Chiquitano, ,Zs,SPACE,262425,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",177805,7025,2435,18408,1228,26029,7156,689,19635,2015
cax,Latn,cax_Latn,Chiquitano,i,Ll,LATIN SMALL LETTER I,177019,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",121902,5034,1732,11706,778,17283,4243,496,12627,1218
cax,Latn,cax_Latn,Chiquitano,n,Ll,LATIN SMALL LETTER N,125085,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",87191,3463,1166,8411,597,11240,2971,244,8914,888
cax,Latn,cax_Latn,Chiquitano,t,Ll,LATIN SMALL LETTER T,118647,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",82473,3527,1154,7706,537,11187,3044,172,8076,771
cax,Latn,cax_Latn,Chiquitano,u,Ll,LATIN SMALL LETTER U,117326,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",74367,3137,1077,9569,673,13589,3319,277,10271,1047
cax,Latn,cax_Latn,Chiquitano,o,Ll,LATIN SMALL LETTER O,98823,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",67765,2674,923,6874,443,9970,2427,199,6930,618
cax,Latn,cax_Latn,Chiquitano,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,86169,4,"2013,2014,2016,2017",81281,2144,1088,1656,0,0,0,0,0,0
cax,Latn,cax_Latn,Chiquitano,m,Ll,LATIN SMALL LETTER M,84896,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",59206,2164,858,5370,336,8440,1888,181,5828,625
cax,Latn,cax_Latn,Chiquitano,r,Ll,LATIN SMALL LETTER R,77828,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",25750,2340,389,10846,865,18249,4570,85,13273,1461
cax,Latn,cax_Latn,Chiquitano,k,Ll,LATIN SMALL LETTER K,71582,7,"2013,2014,2016,2017,2020,2021,2022",66969,1785,872,1493,0,0,10,225,228,0
cax,Latn,cax_Latn,Chiquitano,e,Ll,LATIN SMALL LETTER E,64117,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",41739,1851,559,4727,362,7111,1879,60,5297,532
cax,Latn,cax_Latn,Chiquitano,s,Ll,LATIN SMALL LETTER S,55793,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",38741,1572,528,3676,234,5151,1382,132,3987,390
cax,Latn,cax_Latn,Chiquitano,x,Ll,LATIN SMALL LETTER X,55136,8,"2013,2014,2016,2017,2019,2020,2021,2022",51780,1321,703,1051,0,21,7,126,127,0
cax,Latn,cax_Latn,Chiquitano,p,Ll,LATIN SMALL LETTER P,45888,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",31778,1268,409,3203,216,4112,1081,102,3383,336
cax,Latn,cax_Latn,Chiquitano,c,Ll,LATIN SMALL LETTER C,36423,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",14167,987,165,4983,357,7344,1832,49,5893,646
cax,Latn,cax_Latn,Chiquitano,b,Ll,LATIN SMALL LETTER B,33953,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",22934,874,340,2211,118,3872,865,91,2413,235
cax,Latn,cax_Latn,Chiquitano,ü,Ll,LATIN SMALL LETTER U WITH DIAERESIS,29765,7,"2014,2017,2018,2019,2020,2022,2023",0,940,0,5992,477,10584,2718,0,8154,900
cax,Latn,cax_Latn,Chiquitano,h,Ll,LATIN SMALL LETTER H,24304,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",18756,623,232,1221,75,1421,414,56,1368,138
cax,Latn,cax_Latn,Chiquitano,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,23835,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",16858,572,214,1543,108,2073,443,39,1840,145
cax,Latn,cax_Latn,Chiquitano,y,Ll,LATIN SMALL LETTER Y,21641,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",17189,659,215,982,49,1178,334,65,882,88
cax,Latn,cax_Latn,Chiquitano,",",Po,COMMA,20905,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",14949,585,200,1325,102,1784,405,37,1393,125
cax,Latn,cax_Latn,Chiquitano,.,Po,FULL STOP,19327,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",11586,565,165,1667,112,2669,571,17,1784,191
cax,Latn,cax_Latn,Chiquitano,A,Lu,LATIN CAPITAL LETTER A,11958,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",7546,356,110,923,51,1469,466,7,946,84
cax,Latn,cax_Latn,Chiquitano,q,Ll,LATIN SMALL LETTER Q,8742,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",100,273,2,1731,164,3117,799,0,2362,194
cax,Latn,cax_Latn,Chiquitano,T,Lu,LATIN CAPITAL LETTER T,8701,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",5844,277,80,857,50,777,218,3,523,72
cax,Latn,cax_Latn,Chiquitano,1,Nd,DIGIT ONE,5821,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",4092,162,49,409,24,495,158,3,387,42
cax,Latn,cax_Latn,Chiquitano,J,Lu,LATIN CAPITAL LETTER J,4537,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",2895,173,42,346,10,452,200,0,376,43
cax,Latn,cax_Latn,Chiquitano,l,Ll,LATIN SMALL LETTER L,4487,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",2254,172,46,327,7,1116,177,1,319,68
cax,Latn,cax_Latn,Chiquitano,2,Nd,DIGIT TWO,4315,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",3014,138,35,246,16,405,131,0,296,34
