iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
chf,Latn,chf_Latn,Tabasco Chontal, ,Zs,SPACE,158775,7,"2014,2017,2018,2019,2021,2022,2023",1837,10325,5903,45074,1212,94154,270
chf,Latn,chf_Latn,Tabasco Chontal,a,Ll,LATIN SMALL LETTER A,81589,7,"2014,2017,2018,2019,2021,2022,2023",1052,5379,2419,24295,618,47674,152
chf,Latn,chf_Latn,Tabasco Chontal,c,Ll,LATIN SMALL LETTER C,59242,7,"2014,2017,2018,2019,2021,2022,2023",520,3989,590,18670,331,35022,120
chf,Latn,chf_Latn,Tabasco Chontal,n,Ll,LATIN SMALL LETTER N,51101,7,"2014,2017,2018,2019,2021,2022,2023",572,3322,1891,14954,437,29823,102
chf,Latn,chf_Latn,Tabasco Chontal,u,Ll,LATIN SMALL LETTER U,49268,7,"2014,2017,2018,2019,2021,2022,2023",503,3393,1332,13504,409,30056,71
chf,Latn,chf_Latn,Tabasco Chontal,i,Ll,LATIN SMALL LETTER I,48425,7,"2014,2017,2018,2019,2021,2022,2023",570,3191,1807,13308,424,29039,86
chf,Latn,chf_Latn,Tabasco Chontal,',Po,APOSTROPHE,40294,6,"2014,2017,2019,2021,2022,2023",371,2871,0,12063,146,24825,18
chf,Latn,chf_Latn,Tabasco Chontal,e,Ll,LATIN SMALL LETTER E,39429,7,"2014,2017,2018,2019,2021,2022,2023",396,2503,2138,10935,317,23068,72
chf,Latn,chf_Latn,Tabasco Chontal,t,Ll,LATIN SMALL LETTER T,38034,7,"2014,2017,2018,2019,2021,2022,2023",375,2406,1095,10959,363,22743,93
chf,Latn,chf_Latn,Tabasco Chontal,o,Ll,LATIN SMALL LETTER O,33776,7,"2014,2017,2018,2019,2021,2022,2023",383,2254,1156,10008,281,19622,72
