iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
chv,Cyrl,chv_Cyrl,Chuvash, ,Zs,SPACE,30250123,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11623,59464,69172,114511,2835484,2517789,3870667,7447351,5728528,2696448,3523789,1375297
chv,Cyrl,chv_Cyrl,Chuvash,а,Ll,CYRILLIC SMALL LETTER A,19996544,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7083,37193,42213,72753,1870391,1691046,2497759,4906100,3827795,1789036,2340228,914947
chv,Cyrl,chv_Cyrl,Chuvash,н,Ll,CYRILLIC SMALL LETTER EN,14868384,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5323,27811,31650,54787,1352053,1260978,1845689,3613820,2839188,1355323,1780819,700943
chv,Cyrl,chv_Cyrl,Chuvash,е,Ll,CYRILLIC SMALL LETTER IE,14473561,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5383,28118,32826,57502,1294407,1210790,1791904,3478371,2727140,1350531,1794060,702529
chv,Cyrl,chv_Cyrl,Chuvash,р,Ll,CYRILLIC SMALL LETTER ER,11878242,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4801,24034,28518,45415,1101840,1002646,1470671,2868810,2269163,1076900,1427928,557516
chv,Cyrl,chv_Cyrl,Chuvash,т,Ll,CYRILLIC SMALL LETTER TE,11762096,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4409,23810,29207,44882,1076260,981706,1470224,2861743,2235777,1063983,1416814,553281
chv,Cyrl,chv_Cyrl,Chuvash,л,Ll,CYRILLIC SMALL LETTER EL,10513211,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4223,21519,24237,41344,965044,881385,1292665,2513361,1994363,970439,1299133,505498
chv,Cyrl,chv_Cyrl,Chuvash,и,Ll,CYRILLIC SMALL LETTER I,8583801,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3580,18886,21381,37251,776337,725017,1077279,2025043,1616882,802106,1060872,419167
chv,Cyrl,chv_Cyrl,Chuvash,с,Ll,CYRILLIC SMALL LETTER ES,8144157,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2794,15890,17346,31001,782463,680324,1023248,1975992,1501215,748723,979608,385553
chv,Cyrl,chv_Cyrl,Chuvash,ă,Ll,LATIN SMALL LETTER A WITH BREVE,6654014,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3236,17536,18892,29589,731383,670735,702335,1242455,1346747,674902,870672,345532
chv,Cyrl,chv_Cyrl,Chuvash,у,Ll,CYRILLIC SMALL LETTER U,6636497,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2622,13143,13602,24617,619657,563190,827529,1608160,1254968,596693,799782,312534
chv,Cyrl,chv_Cyrl,Chuvash,п,Ll,CYRILLIC SMALL LETTER PE,6566836,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2384,12230,13177,23267,613236,549368,820846,1606760,1245566,601711,774723,303568
chv,Cyrl,chv_Cyrl,Chuvash,к,Ll,CYRILLIC SMALL LETTER KA,6440673,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2265,12286,14021,24298,598941,538731,815848,1598920,1224650,568378,748150,294185
chv,Cyrl,chv_Cyrl,Chuvash,ĕ,Ll,LATIN SMALL LETTER E WITH BREVE,6027472,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3600,17618,19074,30946,688941,646349,686807,1171299,1200353,580255,708503,273727
chv,Cyrl,chv_Cyrl,Chuvash,м,Ll,CYRILLIC SMALL LETTER EM,5929899,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2099,11303,12507,21786,545278,493103,743928,1452439,1127337,531712,709606,278801
chv,Cyrl,chv_Cyrl,Chuvash,х,Ll,CYRILLIC SMALL LETTER HA,4820482,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1766,9260,10476,16785,443938,409778,608668,1205625,922347,419282,556851,215706
chv,Cyrl,chv_Cyrl,Chuvash,в,Ll,CYRILLIC SMALL LETTER VE,4627922,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1668,8702,9385,18731,455546,389980,592307,1103793,859174,421200,551871,215565
chv,Cyrl,chv_Cyrl,Chuvash,ç,Ll,LATIN SMALL LETTER C WITH CEDILLA,3566842,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2159,9961,11090,16973,379780,357126,390608,685693,708861,337887,472149,194555
chv,Cyrl,chv_Cyrl,Chuvash,о,Ll,CYRILLIC SMALL LETTER O,3414882,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1624,8399,10446,17549,355914,273172,461057,798554,595266,316962,414042,161897
chv,Cyrl,chv_Cyrl,Chuvash,ч,Ll,CYRILLIC SMALL LETTER CHE,3228480,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1051,6012,6144,12436,292961,268673,410824,799005,610725,284182,384497,151970
chv,Cyrl,chv_Cyrl,Chuvash,ӗ,Ll,CYRILLIC SMALL LETTER IE WITH BREVE,3086118,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1,41,314,1399,132724,132343,421722,1037973,545749,244743,406470,162639
chv,Cyrl,chv_Cyrl,Chuvash,.,Po,FULL STOP,3044538,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1198,6108,6324,11667,292621,258634,394743,742206,582325,260422,354512,133778
