iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
cjk,Latn,cjk_Latn,Chokwe, ,Zs,SPACE,11315,8,"2013,2016,2017,2018,2019,2021,2022,2023",2869,46,2577,3102,397,1420,595,309
cjk,Latn,cjk_Latn,Chokwe,a,Ll,LATIN SMALL LETTER A,9756,8,"2013,2016,2017,2018,2019,2021,2022,2023",2498,41,2285,2593,365,1247,514,213
cjk,Latn,cjk_Latn,Chokwe,u,Ll,LATIN SMALL LETTER U,6058,8,"2013,2016,2017,2018,2019,2021,2022,2023",1777,22,1406,1522,212,655,323,141
cjk,Latn,cjk_Latn,Chokwe,i,Ll,LATIN SMALL LETTER I,5687,8,"2013,2016,2017,2018,2019,2021,2022,2023",1306,18,1252,1604,240,760,326,181
cjk,Latn,cjk_Latn,Chokwe,n,Ll,LATIN SMALL LETTER N,4459,8,"2013,2016,2017,2018,2019,2021,2022,2023",1031,22,997,1277,170,611,235,116
cjk,Latn,cjk_Latn,Chokwe,e,Ll,LATIN SMALL LETTER E,4100,8,"2013,2016,2017,2018,2019,2021,2022,2023",987,20,940,1223,117,514,199,100
cjk,Latn,cjk_Latn,Chokwe,k,Ll,LATIN SMALL LETTER K,3752,8,"2013,2016,2017,2018,2019,2021,2022,2023",1040,10,934,962,113,371,239,83
cjk,Latn,cjk_Latn,Chokwe,m,Ll,LATIN SMALL LETTER M,3159,8,"2013,2016,2017,2018,2019,2021,2022,2023",798,10,835,773,111,363,180,89
cjk,Latn,cjk_Latn,Chokwe,l,Ll,LATIN SMALL LETTER L,2928,8,"2013,2016,2017,2018,2019,2021,2022,2023",719,8,600,867,112,368,171,83
cjk,Latn,cjk_Latn,Chokwe,w,Ll,LATIN SMALL LETTER W,2801,8,"2013,2016,2017,2018,2019,2021,2022,2023",534,6,764,812,118,346,161,60
