iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
cni,Latn,cni_Latn,Asháninka,a,Ll,LATIN SMALL LETTER A,490800,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",267914,9101,5667,159537,106,11190,1199,10880,12266,8946,3994
cni,Latn,cni_Latn,Asháninka,i,Ll,LATIN SMALL LETTER I,470762,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",260140,8800,5640,151225,72,10991,1009,9448,11591,8357,3489
cni,Latn,cni_Latn,Asháninka, ,Zs,SPACE,294486,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",158966,5242,3354,98483,90,6640,775,6762,6469,5309,2396
cni,Latn,cni_Latn,Asháninka,e,Ll,LATIN SMALL LETTER E,269529,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",150441,4892,3275,85060,51,6852,682,5907,5023,4847,2499
cni,Latn,cni_Latn,Asháninka,t,Ll,LATIN SMALL LETTER T,254489,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",139232,4634,3026,80975,43,6189,630,5940,6865,4861,2094
cni,Latn,cni_Latn,Asháninka,r,Ll,LATIN SMALL LETTER R,207823,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",114007,3793,2493,66895,32,4702,512,4846,5119,3777,1647
cni,Latn,cni_Latn,Asháninka,n,Ll,LATIN SMALL LETTER N,206135,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",113669,3705,2466,66245,48,5016,610,4400,4619,3577,1780
cni,Latn,cni_Latn,Asháninka,o,Ll,LATIN SMALL LETTER O,176638,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",96027,3183,2126,56469,34,4502,480,4422,4509,3365,1521
cni,Latn,cni_Latn,Asháninka,s,Ll,LATIN SMALL LETTER S,128928,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",70731,2430,1517,40163,39,3230,354,2679,3923,2756,1106
cni,Latn,cni_Latn,Asháninka,c,Ll,LATIN SMALL LETTER C,110026,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",62806,2058,1388,35648,14,2655,186,1367,1289,1751,864
