iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency
cnt,Latn,cnt_Latn,Tepetotutla Chinantec, ,Zs,SPACE,213499,7,"2013,2014,2016,2017,2019,2021,2022",162276,8960,487,27758,11341,385,2292
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,2,Nd,DIGIT TWO,143506,7,"2013,2014,2016,2017,2019,2021,2022",109358,6186,294,18325,7638,228,1477
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,a,Ll,LATIN SMALL LETTER A,102435,7,"2013,2014,2016,2017,2019,2021,2022",78062,4394,207,13223,5367,147,1035
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,',Po,APOSTROPHE,87398,7,"2013,2014,2016,2017,2019,2021,2022",66476,3566,269,11378,4569,195,945
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,i,Ll,LATIN SMALL LETTER I,85668,7,"2013,2014,2016,2017,2019,2021,2022",64672,3507,208,11596,4640,198,847
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,n,Ll,LATIN SMALL LETTER N,84418,7,"2013,2014,2016,2017,2019,2021,2022",63822,3716,210,11153,4461,162,894
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,u,Ll,LATIN SMALL LETTER U,56515,7,"2013,2014,2016,2017,2019,2021,2022",43062,2423,116,7356,2933,87,538
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,j,Ll,LATIN SMALL LETTER J,56293,7,"2013,2014,2016,2017,2019,2021,2022",42757,2351,132,7353,2973,100,627
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,4,Nd,DIGIT FOUR,50138,7,"2013,2014,2016,2017,2019,2021,2022",37512,2118,143,6839,2819,107,600
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,3,Nd,DIGIT THREE,49759,7,"2013,2014,2016,2017,2019,2021,2022",37726,2204,86,6550,2595,71,527
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,5,Nd,DIGIT FIVE,48069,7,"2013,2014,2016,2017,2019,2021,2022",36160,1965,125,6571,2598,102,548
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,g,Ll,LATIN SMALL LETTER G,36901,7,"2013,2014,2016,2017,2019,2021,2022",27958,1564,82,4986,1836,81,394
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,e,Ll,LATIN SMALL LETTER E,36362,7,"2013,2014,2016,2017,2019,2021,2022",27730,1512,82,4700,1937,44,357
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,s,Ll,LATIN SMALL LETTER S,35670,7,"2013,2014,2016,2017,2019,2021,2022",27323,1573,61,4288,2014,46,365
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,1,Nd,DIGIT ONE,35567,7,"2013,2014,2016,2017,2019,2021,2022",26941,1420,96,4686,1954,69,401
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,á,Ll,LATIN SMALL LETTER A WITH ACUTE,34126,7,"2013,2014,2016,2017,2019,2021,2022",25840,1532,67,4470,1758,74,385
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,32406,7,"2013,2014,2016,2017,2019,2021,2022",24410,1418,64,4369,1680,51,414
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,c,Ll,LATIN SMALL LETTER C,32162,7,"2013,2014,2016,2017,2019,2021,2022",24558,1524,35,4040,1699,42,264
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,l,Ll,LATIN SMALL LETTER L,27714,7,"2013,2014,2016,2017,2019,2021,2022",20885,1117,68,3711,1556,44,333
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,o,Ll,LATIN SMALL LETTER O,25532,7,"2013,2014,2016,2017,2019,2021,2022",19042,997,68,3475,1598,61,291
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,ë,Ll,LATIN SMALL LETTER E WITH DIAERESIS,24737,7,"2013,2014,2016,2017,2019,2021,2022",18622,1071,61,3373,1285,43,282
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,m,Ll,LATIN SMALL LETTER M,22221,7,"2013,2014,2016,2017,2019,2021,2022",16940,924,41,2891,1177,39,209
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,d,Ll,LATIN SMALL LETTER D,21767,7,"2013,2014,2016,2017,2019,2021,2022",16665,954,32,2668,1206,27,215
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,t,Ll,LATIN SMALL LETTER T,20956,7,"2013,2014,2016,2017,2019,2021,2022",15704,884,54,2905,1142,39,228
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,́,Mn,COMBINING ACUTE ACCENT,20657,7,"2013,2014,2016,2017,2019,2021,2022",15554,947,41,2806,1015,32,262
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,",",Po,COMMA,18316,7,"2013,2014,2016,2017,2019,2021,2022",13871,825,45,2364,996,34,181
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,q,Ll,LATIN SMALL LETTER Q,13525,7,"2013,2014,2016,2017,2019,2021,2022",10202,553,37,1858,732,23,120
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,.,Po,FULL STOP,12228,7,"2013,2014,2016,2017,2019,2021,2022",9346,548,37,1627,536,22,112
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,11078,7,"2013,2014,2016,2017,2019,2021,2022",8385,445,32,1471,629,21,95
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,é,Ll,LATIN SMALL LETTER E WITH ACUTE,10165,7,"2013,2014,2016,2017,2019,2021,2022",7776,468,20,1325,503,17,56
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,J,Lu,LATIN CAPITAL LETTER J,9975,7,"2013,2014,2016,2017,2019,2021,2022",7761,528,14,1128,488,12,44
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,ŋ,Ll,LATIN SMALL LETTER ENG,8703,7,"2013,2014,2016,2017,2019,2021,2022",6693,406,11,1059,417,14,103
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,b,Ll,LATIN SMALL LETTER B,8123,7,"2013,2014,2016,2017,2019,2021,2022",5998,329,20,1188,471,15,102
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,r,Ll,LATIN SMALL LETTER R,7252,7,"2013,2014,2016,2017,2019,2021,2022",5284,287,20,1111,451,13,86
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,h,Ll,LATIN SMALL LETTER H,6191,7,"2013,2014,2016,2017,2019,2021,2022",4735,235,6,857,294,10,54
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,5633,7,"2013,2014,2016,2017,2019,2021,2022",4203,255,9,706,400,12,48
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,D,Lu,LATIN CAPITAL LETTER D,3977,7,"2013,2014,2016,2017,2019,2021,2022",2896,160,8,555,301,13,44
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,í,Ll,LATIN SMALL LETTER I WITH ACUTE,3876,7,"2013,2014,2016,2017,2019,2021,2022",2967,136,15,488,229,5,36
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,:,Po,COLON,2794,7,"2013,2014,2016,2017,2019,2021,2022",2202,148,2,265,156,2,19
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,C,Lu,LATIN CAPITAL LETTER C,2382,7,"2013,2014,2016,2017,2019,2021,2022",1758,117,11,336,117,5,38
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,T,Lu,LATIN CAPITAL LETTER T,2227,7,"2013,2014,2016,2017,2019,2021,2022",1731,87,10,277,95,2,25
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,L,Lu,LATIN CAPITAL LETTER L,2160,7,"2013,2014,2016,2017,2019,2021,2022",1617,79,5,310,113,4,32
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,I,Lu,LATIN CAPITAL LETTER I,1872,7,"2013,2014,2016,2017,2019,2021,2022",1415,68,3,242,120,5,19
cnt,Latn,cnt_Latn,Tepetotutla Chinantec,;,Po,SEMICOLON,1816,7,"2013,2014,2016,2017,2019,2021,2022",1342,52,4,256,121,2,39
