iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
cnw,Latn,cnw_Latn,Ngawn Chin, ,Zs,SPACE,46794,4,"2020,2021,2022,2023",1587,255,44659,293
cnw,Latn,cnw_Latn,Ngawn Chin,a,Ll,LATIN SMALL LETTER A,25487,4,"2020,2021,2022,2023",851,133,24337,166
cnw,Latn,cnw_Latn,Ngawn Chin,n,Ll,LATIN SMALL LETTER N,18327,4,"2020,2021,2022,2023",682,113,17398,134
cnw,Latn,cnw_Latn,Ngawn Chin,i,Ll,LATIN SMALL LETTER I,17211,4,"2020,2021,2022,2023",667,161,16258,125
cnw,Latn,cnw_Latn,Ngawn Chin,h,Ll,LATIN SMALL LETTER H,16871,4,"2020,2021,2022,2023",664,142,15927,138
cnw,Latn,cnw_Latn,Ngawn Chin,u,Ll,LATIN SMALL LETTER U,10683,4,"2020,2021,2022,2023",407,79,10134,63
cnw,Latn,cnw_Latn,Ngawn Chin,t,Ll,LATIN SMALL LETTER T,10523,4,"2020,2021,2022,2023",412,65,9983,63
cnw,Latn,cnw_Latn,Ngawn Chin,e,Ll,LATIN SMALL LETTER E,8369,4,"2020,2021,2022,2023",271,49,7984,65
cnw,Latn,cnw_Latn,Ngawn Chin,m,Ll,LATIN SMALL LETTER M,7676,4,"2020,2021,2022,2023",266,46,7311,53
cnw,Latn,cnw_Latn,Ngawn Chin,k,Ll,LATIN SMALL LETTER K,7066,4,"2020,2021,2022,2023",245,56,6696,69
cnw,Latn,cnw_Latn,Ngawn Chin,l,Ll,LATIN SMALL LETTER L,5885,4,"2020,2021,2022,2023",203,43,5590,49
cnw,Latn,cnw_Latn,Ngawn Chin,g,Ll,LATIN SMALL LETTER G,5731,4,"2020,2021,2022,2023",248,23,5419,41
cnw,Latn,cnw_Latn,Ngawn Chin,c,Ll,LATIN SMALL LETTER C,3213,4,"2020,2021,2022,2023",103,15,3073,22
cnw,Latn,cnw_Latn,Ngawn Chin,w,Ll,LATIN SMALL LETTER W,3149,4,"2020,2021,2022,2023",107,6,2995,41
cnw,Latn,cnw_Latn,Ngawn Chin,s,Ll,LATIN SMALL LETTER S,2889,4,"2020,2021,2022,2023",79,24,2763,23
cnw,Latn,cnw_Latn,Ngawn Chin,p,Ll,LATIN SMALL LETTER P,2799,4,"2020,2021,2022,2023",94,21,2653,31
cnw,Latn,cnw_Latn,Ngawn Chin,.,Po,FULL STOP,2411,4,"2020,2021,2022,2023",115,13,2260,23
cnw,Latn,cnw_Latn,Ngawn Chin,o,Ll,LATIN SMALL LETTER O,2403,4,"2020,2021,2022,2023",89,23,2251,40
cnw,Latn,cnw_Latn,Ngawn Chin,b,Ll,LATIN SMALL LETTER B,2111,4,"2020,2021,2022,2023",64,15,2013,19
cnw,Latn,cnw_Latn,Ngawn Chin,d,Ll,LATIN SMALL LETTER D,1394,4,"2020,2021,2022,2023",46,3,1340,5
cnw,Latn,cnw_Latn,Ngawn Chin,",",Po,COMMA,1364,3,"2020,2022,2023",24,0,1317,23
cnw,Latn,cnw_Latn,Ngawn Chin,z,Ll,LATIN SMALL LETTER Z,1034,4,"2020,2021,2022,2023",46,3,981,4
cnw,Latn,cnw_Latn,Ngawn Chin,r,Ll,LATIN SMALL LETTER R,1023,4,"2020,2021,2022,2023",32,7,979,5
cnw,Latn,cnw_Latn,Ngawn Chin,v,Ll,LATIN SMALL LETTER V,901,4,"2020,2021,2022,2023",17,6,875,3
cnw,Latn,cnw_Latn,Ngawn Chin,A,Lu,LATIN CAPITAL LETTER A,879,4,"2020,2021,2022,2023",16,2,856,5
