iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2019_frequency,year_2024_frequency
cok,Latn,cok_Latn,Santa Teresa Cora, ,Zs,SPACE,291924,3,"2018,2019,2024",260346,840,30738
cok,Latn,cok_Latn,Santa Teresa Cora,a,Ll,LATIN SMALL LETTER A,268958,3,"2018,2019,2024",240409,919,27630
cok,Latn,cok_Latn,Santa Teresa Cora,j,Ll,LATIN SMALL LETTER J,197602,3,"2018,2019,2024",176740,408,20454
cok,Latn,cok_Latn,Santa Teresa Cora,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,172752,2,"2018,2024",154665,0,18087
cok,Latn,cok_Latn,Santa Teresa Cora,t,Ll,LATIN SMALL LETTER T,133181,3,"2018,2019,2024",118958,304,13919
cok,Latn,cok_Latn,Santa Teresa Cora,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,127914,3,"2018,2019,2024",114135,455,13324
cok,Latn,cok_Latn,Santa Teresa Cora,u,Ll,LATIN SMALL LETTER U,105156,3,"2018,2019,2024",93873,227,11056
cok,Latn,cok_Latn,Santa Teresa Cora,e,Ll,LATIN SMALL LETTER E,99298,3,"2018,2019,2024",88688,193,10417
cok,Latn,cok_Latn,Santa Teresa Cora,y,Ll,LATIN SMALL LETTER Y,86276,3,"2018,2019,2024",76934,130,9212
cok,Latn,cok_Latn,Santa Teresa Cora,i,Ll,LATIN SMALL LETTER I,81024,3,"2018,2019,2024",72404,126,8494
cok,Latn,cok_Latn,Santa Teresa Cora,n,Ll,LATIN SMALL LETTER N,72650,3,"2018,2019,2024",64862,199,7589
cok,Latn,cok_Latn,Santa Teresa Cora,m,Ll,LATIN SMALL LETTER M,57784,3,"2018,2019,2024",51594,97,6093
cok,Latn,cok_Latn,Santa Teresa Cora,á,Ll,LATIN SMALL LETTER A WITH ACUTE,45622,3,"2018,2019,2024",40793,98,4731
cok,Latn,cok_Latn,Santa Teresa Cora,c,Ll,LATIN SMALL LETTER C,38926,3,"2018,2019,2024",34747,100,4079
cok,Latn,cok_Latn,Santa Teresa Cora,r,Ll,LATIN SMALL LETTER R,37561,3,"2018,2019,2024",33466,128,3967
cok,Latn,cok_Latn,Santa Teresa Cora,s,Ll,LATIN SMALL LETTER S,32317,3,"2018,2019,2024",28974,75,3268
cok,Latn,cok_Latn,Santa Teresa Cora,h,Ll,LATIN SMALL LETTER H,31727,3,"2018,2019,2024",28331,41,3355
cok,Latn,cok_Latn,Santa Teresa Cora,p,Ll,LATIN SMALL LETTER P,24860,3,"2018,2019,2024",22249,126,2485
cok,Latn,cok_Latn,Santa Teresa Cora,o,Ll,LATIN SMALL LETTER O,24358,3,"2018,2019,2024",21858,70,2430
cok,Latn,cok_Latn,Santa Teresa Cora,́,Mn,COMBINING ACUTE ACCENT,24096,3,"2018,2019,2024",21504,138,2454
cok,Latn,cok_Latn,Santa Teresa Cora,",",Po,COMMA,23065,3,"2018,2019,2024",20724,77,2264
cok,Latn,cok_Latn,Santa Teresa Cora,é,Ll,LATIN SMALL LETTER E WITH ACUTE,22489,3,"2018,2019,2024",20159,70,2260
cok,Latn,cok_Latn,Santa Teresa Cora,í,Ll,LATIN SMALL LETTER I WITH ACUTE,13816,3,"2018,2019,2024",12364,30,1422
cok,Latn,cok_Latn,Santa Teresa Cora,x,Ll,LATIN SMALL LETTER X,13640,3,"2018,2019,2024",12182,12,1446
cok,Latn,cok_Latn,Santa Teresa Cora,z,Ll,LATIN SMALL LETTER Z,11655,3,"2018,2019,2024",10297,29,1329
cok,Latn,cok_Latn,Santa Teresa Cora,.,Po,FULL STOP,10965,3,"2018,2019,2024",9647,30,1288
cok,Latn,cok_Latn,Santa Teresa Cora,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,9731,3,"2018,2019,2024",8613,6,1112
cok,Latn,cok_Latn,Santa Teresa Cora,v,Ll,LATIN SMALL LETTER V,9495,3,"2018,2019,2024",8470,21,1004
cok,Latn,cok_Latn,Santa Teresa Cora,A,Lu,LATIN CAPITAL LETTER A,7430,3,"2018,2019,2024",6592,40,798
cok,Latn,cok_Latn,Santa Teresa Cora,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,5132,3,"2018,2019,2024",4567,19,546
cok,Latn,cok_Latn,Santa Teresa Cora,q,Ll,LATIN SMALL LETTER Q,5128,3,"2018,2019,2024",4560,11,557
cok,Latn,cok_Latn,Santa Teresa Cora,1,Nd,DIGIT ONE,5056,3,"2018,2019,2024",4418,13,625
cok,Latn,cok_Latn,Santa Teresa Cora,J,Lu,LATIN CAPITAL LETTER J,4621,3,"2018,2019,2024",4053,29,539
cok,Latn,cok_Latn,Santa Teresa Cora,D,Lu,LATIN CAPITAL LETTER D,4421,3,"2018,2019,2024",3933,10,478
cok,Latn,cok_Latn,Santa Teresa Cora,2,Nd,DIGIT TWO,3696,3,"2018,2019,2024",3172,9,515
cok,Latn,cok_Latn,Santa Teresa Cora,:,Po,COLON,3360,3,"2018,2019,2024",2972,3,385
cok,Latn,cok_Latn,Santa Teresa Cora,l,Ll,LATIN SMALL LETTER L,3180,3,"2018,2019,2024",2902,23,255
cok,Latn,cok_Latn,Santa Teresa Cora,3,Nd,DIGIT THREE,2396,3,"2018,2019,2024",2090,3,303
cok,Latn,cok_Latn,Santa Teresa Cora,M,Lu,LATIN CAPITAL LETTER M,2237,3,"2018,2019,2024",1954,13,270
cok,Latn,cok_Latn,Santa Teresa Cora,C,Lu,LATIN CAPITAL LETTER C,2095,3,"2018,2019,2024",1872,5,218
cok,Latn,cok_Latn,Santa Teresa Cora,T,Lu,LATIN CAPITAL LETTER T,1922,3,"2018,2019,2024",1731,3,188
cok,Latn,cok_Latn,Santa Teresa Cora,—,Pd,EM DASH,1786,2,"2018,2024",1600,0,186
cok,Latn,cok_Latn,Santa Teresa Cora,4,Nd,DIGIT FOUR,1733,3,"2018,2019,2024",1513,3,217
cok,Latn,cok_Latn,Santa Teresa Cora,S,Lu,LATIN CAPITAL LETTER S,1526,3,"2018,2019,2024",1399,12,115
cok,Latn,cok_Latn,Santa Teresa Cora,5,Nd,DIGIT FIVE,1408,3,"2018,2019,2024",1226,3,179
cok,Latn,cok_Latn,Santa Teresa Cora,N,Lu,LATIN CAPITAL LETTER N,1285,3,"2018,2019,2024",1166,2,117
cok,Latn,cok_Latn,Santa Teresa Cora,6,Nd,DIGIT SIX,1204,3,"2018,2019,2024",1033,2,169
cok,Latn,cok_Latn,Santa Teresa Cora,d,Ll,LATIN SMALL LETTER D,1177,3,"2018,2019,2024",1038,21,118
cok,Latn,cok_Latn,Santa Teresa Cora,P,Lu,LATIN CAPITAL LETTER P,1137,3,"2018,2019,2024",1041,1,95
cok,Latn,cok_Latn,Santa Teresa Cora,7,Nd,DIGIT SEVEN,1114,3,"2018,2019,2024",978,2,134
cok,Latn,cok_Latn,Santa Teresa Cora,b,Ll,LATIN SMALL LETTER B,1079,3,"2018,2019,2024",983,25,71
cok,Latn,cok_Latn,Santa Teresa Cora,8,Nd,DIGIT EIGHT,1024,3,"2018,2019,2024",893,2,129
cok,Latn,cok_Latn,Santa Teresa Cora,¿,Po,INVERTED QUESTION MARK,1015,2,"2018,2024",907,0,108
cok,Latn,cok_Latn,Santa Teresa Cora,?,Po,QUESTION MARK,1015,2,"2018,2024",907,0,108
cok,Latn,cok_Latn,Santa Teresa Cora,9,Nd,DIGIT NINE,990,3,"2018,2019,2024",866,2,122
cok,Latn,cok_Latn,Santa Teresa Cora,0,Nd,DIGIT ZERO,941,3,"2018,2019,2024",822,2,117
cok,Latn,cok_Latn,Santa Teresa Cora,I,Lu,LATIN CAPITAL LETTER I,697,3,"2018,2019,2024",618,6,73
cok,Latn,cok_Latn,Santa Teresa Cora,“,Pi,LEFT DOUBLE QUOTATION MARK,586,2,"2018,2024",525,0,61
cok,Latn,cok_Latn,Santa Teresa Cora,”,Pf,RIGHT DOUBLE QUOTATION MARK,584,2,"2018,2024",523,0,61
cok,Latn,cok_Latn,Santa Teresa Cora,',Po,APOSTROPHE,456,1,2019,0,456,0
cok,Latn,cok_Latn,Santa Teresa Cora,E,Lu,LATIN CAPITAL LETTER E,363,3,"2018,2019,2024",331,14,18
cok,Latn,cok_Latn,Santa Teresa Cora,H,Lu,LATIN CAPITAL LETTER H,358,2,"2018,2024",345,0,13
cok,Latn,cok_Latn,Santa Teresa Cora,’,Pf,RIGHT SINGLE QUOTATION MARK,341,2,"2018,2024",314,0,27
cok,Latn,cok_Latn,Santa Teresa Cora,f,Ll,LATIN SMALL LETTER F,290,3,"2018,2019,2024",266,2,22
cok,Latn,cok_Latn,Santa Teresa Cora,L,Lu,LATIN CAPITAL LETTER L,281,2,"2018,2024",215,0,66
cok,Latn,cok_Latn,Santa Teresa Cora,Ɨ,Lu,LATIN CAPITAL LETTER I WITH STROKE,277,2,"2018,2024",246,0,31
cok,Latn,cok_Latn,Santa Teresa Cora,g,Ll,LATIN SMALL LETTER G,273,3,"2018,2019,2024",238,1,34
cok,Latn,cok_Latn,Santa Teresa Cora,B,Lu,LATIN CAPITAL LETTER B,198,3,"2018,2019,2024",175,5,18
cok,Latn,cok_Latn,Santa Teresa Cora,G,Lu,LATIN CAPITAL LETTER G,189,2,"2018,2024",168,0,21
cok,Latn,cok_Latn,Santa Teresa Cora,F,Lu,LATIN CAPITAL LETTER F,152,3,"2018,2019,2024",149,2,1
cok,Latn,cok_Latn,Santa Teresa Cora,R,Lu,LATIN CAPITAL LETTER R,143,3,"2018,2019,2024",133,4,6
cok,Latn,cok_Latn,Santa Teresa Cora,-,Pd,HYPHEN-MINUS,129,2,"2018,2024",13,0,116
cok,Latn,cok_Latn,Santa Teresa Cora,;,Po,SEMICOLON,107,2,"2018,2024",40,0,67
cok,Latn,cok_Latn,Santa Teresa Cora,X,Lu,LATIN CAPITAL LETTER X,90,2,"2018,2024",79,0,11
cok,Latn,cok_Latn,Santa Teresa Cora,),Pe,RIGHT PARENTHESIS,77,2,"2018,2024",26,0,51
cok,Latn,cok_Latn,Santa Teresa Cora,(,Ps,LEFT PARENTHESIS,77,2,"2018,2024",26,0,51
cok,Latn,cok_Latn,Santa Teresa Cora,Y,Lu,LATIN CAPITAL LETTER Y,74,2,"2018,2024",68,0,6
cok,Latn,cok_Latn,Santa Teresa Cora,Z,Lu,LATIN CAPITAL LETTER Z,54,3,"2018,2019,2024",50,3,1
cok,Latn,cok_Latn,Santa Teresa Cora,Á,Lu,LATIN CAPITAL LETTER A WITH ACUTE,47,2,"2018,2024",42,0,5
cok,Latn,cok_Latn,Santa Teresa Cora,¡,Po,INVERTED EXCLAMATION MARK,39,1,2018,39,0,0
cok,Latn,cok_Latn,Santa Teresa Cora,!,Po,EXCLAMATION MARK,39,1,2018,39,0,0
cok,Latn,cok_Latn,Santa Teresa Cora,O,Lu,LATIN CAPITAL LETTER O,34,3,"2018,2019,2024",30,3,1
cok,Latn,cok_Latn,Santa Teresa Cora,É,Lu,LATIN CAPITAL LETTER E WITH ACUTE,32,2,"2018,2024",31,0,1
cok,Latn,cok_Latn,Santa Teresa Cora,Ó,Lu,LATIN CAPITAL LETTER O WITH ACUTE,25,2,"2018,2024",22,0,3
cok,Latn,cok_Latn,Santa Teresa Cora,U,Lu,LATIN CAPITAL LETTER U,18,2,"2018,2019",15,3,0
cok,Latn,cok_Latn,Santa Teresa Cora,Í,Lu,LATIN CAPITAL LETTER I WITH ACUTE,7,2,"2018,2024",6,0,1
cok,Latn,cok_Latn,Santa Teresa Cora,V,Lu,LATIN CAPITAL LETTER V,7,1,2018,7,0,0
cok,Latn,cok_Latn,Santa Teresa Cora,Ú,Lu,LATIN CAPITAL LETTER U WITH ACUTE,6,2,"2018,2019",4,2,0
cok,Latn,cok_Latn,Santa Teresa Cora,Q,Lu,LATIN CAPITAL LETTER Q,3,1,2018,3,0,0
cok,Latn,cok_Latn,Santa Teresa Cora,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,2,1,2018,2,0,0
cok,Latn,cok_Latn,Santa Teresa Cora,"""",Po,QUOTATION MARK,1,1,2019,0,1,0
