iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency
cpb,Latn,cpb_Latn,Ucayali-Yurúa Ashéninka,a,Ll,LATIN SMALL LETTER A,78458,6,"2014,2017,2018,2019,2021,2022",1176,15627,1908,22507,3710,33530
cpb,Latn,cpb_Latn,Ucayali-Yurúa Ashéninka,i,Ll,LATIN SMALL LETTER I,61160,6,"2014,2017,2018,2019,2021,2022",998,13439,1801,17316,2943,24663
cpb,Latn,cpb_Latn,Ucayali-Yurúa Ashéninka, ,Zs,SPACE,39111,6,"2014,2017,2018,2019,2021,2022",659,8253,1034,11219,1857,16089
cpb,Latn,cpb_Latn,Ucayali-Yurúa Ashéninka,t,Ll,LATIN SMALL LETTER T,36029,6,"2014,2017,2018,2019,2021,2022",547,7202,942,10283,1761,15294
cpb,Latn,cpb_Latn,Ucayali-Yurúa Ashéninka,r,Ll,LATIN SMALL LETTER R,29245,6,"2014,2017,2018,2019,2021,2022",458,6250,807,8454,1349,11927
cpb,Latn,cpb_Latn,Ucayali-Yurúa Ashéninka,e,Ll,LATIN SMALL LETTER E,26916,6,"2014,2017,2018,2019,2021,2022",437,5675,795,7802,1270,10937
cpb,Latn,cpb_Latn,Ucayali-Yurúa Ashéninka,n,Ll,LATIN SMALL LETTER N,26176,6,"2014,2017,2018,2019,2021,2022",413,5342,688,7526,1313,10894
cpb,Latn,cpb_Latn,Ucayali-Yurúa Ashéninka,k,Ll,LATIN SMALL LETTER K,24777,6,"2014,2017,2018,2019,2021,2022",396,5453,731,7177,1144,9876
cpb,Latn,cpb_Latn,Ucayali-Yurúa Ashéninka,o,Ll,LATIN SMALL LETTER O,22825,6,"2014,2017,2018,2019,2021,2022",275,4483,607,6518,1074,9868
cpb,Latn,cpb_Latn,Ucayali-Yurúa Ashéninka,s,Ll,LATIN SMALL LETTER S,11666,6,"2014,2017,2018,2019,2021,2022",209,2613,327,3233,591,4693
cpb,Latn,cpb_Latn,Ucayali-Yurúa Ashéninka,m,Ll,LATIN SMALL LETTER M,9600,6,"2014,2017,2018,2019,2021,2022",111,1976,266,2807,475,3965
cpb,Latn,cpb_Latn,Ucayali-Yurúa Ashéninka,p,Ll,LATIN SMALL LETTER P,9047,6,"2014,2017,2018,2019,2021,2022",137,2249,324,2395,407,3535
cpb,Latn,cpb_Latn,Ucayali-Yurúa Ashéninka,w,Ll,LATIN SMALL LETTER W,9034,6,"2014,2017,2018,2019,2021,2022",87,1573,199,2583,382,4210
cpb,Latn,cpb_Latn,Ucayali-Yurúa Ashéninka,h,Ll,LATIN SMALL LETTER H,7833,6,"2014,2017,2018,2019,2021,2022",73,1530,223,2234,351,3422
cpb,Latn,cpb_Latn,Ucayali-Yurúa Ashéninka,y,Ll,LATIN SMALL LETTER Y,7745,6,"2014,2017,2018,2019,2021,2022",90,1547,187,2172,414,3335
