iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2017_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
ctp,Latn,ctp_Latn,Western Highland Chatino, ,Zs,SPACE,147106,6,"2014,2017,2019,2021,2022,2023",1816,161,138204,4408,2458,59
ctp,Latn,ctp_Latn,Western Highland Chatino,a,Ll,LATIN SMALL LETTER A,87426,6,"2014,2017,2019,2021,2022,2023",1037,114,82207,2654,1395,19
ctp,Latn,ctp_Latn,Western Highland Chatino,n,Ll,LATIN SMALL LETTER N,81694,6,"2014,2017,2019,2021,2022,2023",1041,98,76935,2454,1127,39
ctp,Latn,ctp_Latn,Western Highland Chatino,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,68817,5,"2014,2019,2021,2022,2023",751,0,65501,2005,559,1
ctp,Latn,ctp_Latn,Western Highland Chatino,i,Ll,LATIN SMALL LETTER I,50973,6,"2014,2017,2019,2021,2022,2023",618,75,48040,1503,725,12
ctp,Latn,ctp_Latn,Western Highland Chatino,u,Ll,LATIN SMALL LETTER U,28769,5,"2014,2017,2019,2021,2022",448,21,27059,880,361,0
ctp,Latn,ctp_Latn,Western Highland Chatino,k,Ll,LATIN SMALL LETTER K,26012,6,"2014,2017,2019,2021,2022,2023",380,23,24539,786,278,6
ctp,Latn,ctp_Latn,Western Highland Chatino,e,Ll,LATIN SMALL LETTER E,22374,6,"2014,2017,2019,2021,2022,2023",305,25,20833,580,596,35
ctp,Latn,ctp_Latn,Western Highland Chatino,t,Ll,LATIN SMALL LETTER T,20125,6,"2014,2017,2019,2021,2022,2023",202,33,18882,592,405,11
ctp,Latn,ctp_Latn,Western Highland Chatino,w,Ll,LATIN SMALL LETTER W,19993,6,"2014,2017,2019,2021,2022,2023",256,13,18628,764,325,7
ctp,Latn,ctp_Latn,Western Highland Chatino,o,Ll,LATIN SMALL LETTER O,18887,6,"2014,2017,2019,2021,2022,2023",232,18,17607,530,487,13
ctp,Latn,ctp_Latn,Western Highland Chatino,y,Ll,LATIN SMALL LETTER Y,18701,6,"2014,2017,2019,2021,2022,2023",293,17,17601,487,300,3
ctp,Latn,ctp_Latn,Western Highland Chatino,c,Ll,LATIN SMALL LETTER C,18344,6,"2014,2017,2019,2021,2022,2023",178,18,17225,556,360,7
ctp,Latn,ctp_Latn,Western Highland Chatino,h,Ll,LATIN SMALL LETTER H,17809,6,"2014,2017,2019,2021,2022,2023",181,19,16726,562,315,6
