iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
cuc,Latn,cuc_Latn,Usila Chinantec, ,Zs,SPACE,249741,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",176139,4128,4133,19200,5465,30135,1351,5995,3195
cuc,Latn,cuc_Latn,Usila Chinantec,3,Nd,DIGIT THREE,205120,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",145288,3290,3254,15764,4374,24363,1042,5016,2729
cuc,Latn,cuc_Latn,Usila Chinantec,a,Ll,LATIN SMALL LETTER A,183132,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",129156,3147,2949,14307,4039,21705,940,4443,2446
cuc,Latn,cuc_Latn,Usila Chinantec,i,Ll,LATIN SMALL LETTER I,182372,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",127800,3063,3038,14174,4314,22316,986,4129,2552
cuc,Latn,cuc_Latn,Usila Chinantec,4,Nd,DIGIT FOUR,143650,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",100221,2475,2495,11334,3512,17780,766,3141,1926
cuc,Latn,cuc_Latn,Usila Chinantec,n,Ll,LATIN SMALL LETTER N,131965,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",92936,2249,2161,10230,2896,15703,747,3222,1821
cuc,Latn,cuc_Latn,Usila Chinantec,h,Ll,LATIN SMALL LETTER H,105656,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",74792,1613,1764,8245,2311,12781,492,2289,1369
cuc,Latn,cuc_Latn,Usila Chinantec,2,Nd,DIGIT TWO,92963,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",65736,1604,1560,6921,1953,11087,525,2482,1095
cuc,Latn,cuc_Latn,Usila Chinantec,e,Ll,LATIN SMALL LETTER E,85234,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",59790,1441,1510,6797,1801,10435,452,2027,981
cuc,Latn,cuc_Latn,Usila Chinantec,j,Ll,LATIN SMALL LETTER J,65782,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",46333,1182,1114,5081,1379,7762,376,1801,754
cuc,Latn,cuc_Latn,Usila Chinantec,o,Ll,LATIN SMALL LETTER O,56214,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",39433,951,958,4436,1231,6520,341,1600,744
cuc,Latn,cuc_Latn,Usila Chinantec,u,Ll,LATIN SMALL LETTER U,46837,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",33154,794,723,3759,1012,5405,249,1138,603
cuc,Latn,cuc_Latn,Usila Chinantec,1,Nd,DIGIT ONE,36832,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",25484,607,613,3018,894,4653,189,769,605
cuc,Latn,cuc_Latn,Usila Chinantec,l,Ll,LATIN SMALL LETTER L,33614,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",23179,599,641,2799,821,4202,181,693,499
cuc,Latn,cuc_Latn,Usila Chinantec,t,Ll,LATIN SMALL LETTER T,32023,9,"2013,2014,2016,2017,2018,2019,2021,2022,2023",22306,512,555,2729,691,3827,207,808,388
