iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
cya,Latn,cya_Latn,Nopala Chatino, ,Zs,SPACE,276132,7,"2013,2014,2016,2017,2022,2023,2024",256680,10501,2341,3178,109,2651,672
cya,Latn,cya_Latn,Nopala Chatino,a,Ll,LATIN SMALL LETTER A,150826,7,"2013,2014,2016,2017,2022,2023,2024",140067,5787,1315,1707,43,1553,354
cya,Latn,cya_Latn,Nopala Chatino,n,Ll,LATIN SMALL LETTER N,141113,7,"2013,2014,2016,2017,2022,2023,2024",131096,5481,1215,1573,59,1347,342
cya,Latn,cya_Latn,Nopala Chatino,',Po,APOSTROPHE,126139,7,"2013,2014,2016,2017,2022,2023,2024",117197,4974,1094,1332,43,1157,342
cya,Latn,cya_Latn,Nopala Chatino,u,Ll,LATIN SMALL LETTER U,108813,7,"2013,2014,2016,2017,2022,2023,2024",100846,4456,952,1249,45,989,276
cya,Latn,cya_Latn,Nopala Chatino,i,Ll,LATIN SMALL LETTER I,100202,7,"2013,2014,2016,2017,2022,2023,2024",93077,3900,860,1105,51,945,264
cya,Latn,cya_Latn,Nopala Chatino,c,Ll,LATIN SMALL LETTER C,73039,7,"2013,2014,2016,2017,2022,2023,2024",67811,2870,604,798,30,736,190
cya,Latn,cya_Latn,Nopala Chatino,o,Ll,LATIN SMALL LETTER O,45715,7,"2013,2014,2016,2017,2022,2023,2024",42486,1716,384,488,37,496,108
cya,Latn,cya_Latn,Nopala Chatino,t,Ll,LATIN SMALL LETTER T,43767,7,"2013,2014,2016,2017,2022,2023,2024",40654,1640,407,502,26,418,120
cya,Latn,cya_Latn,Nopala Chatino,y,Ll,LATIN SMALL LETTER Y,39513,7,"2013,2014,2016,2017,2022,2023,2024",36775,1432,341,518,15,350,82
cya,Latn,cya_Latn,Nopala Chatino,s,Ll,LATIN SMALL LETTER S,37375,7,"2013,2014,2016,2017,2022,2023,2024",34774,1354,342,432,17,355,101
cya,Latn,cya_Latn,Nopala Chatino,e,Ll,LATIN SMALL LETTER E,37300,7,"2013,2014,2016,2017,2022,2023,2024",34734,1362,321,400,33,355,95
cya,Latn,cya_Latn,Nopala Chatino,h,Ll,LATIN SMALL LETTER H,35445,7,"2013,2014,2016,2017,2022,2023,2024",32828,1385,306,377,21,419,109
cya,Latn,cya_Latn,Nopala Chatino,l,Ll,LATIN SMALL LETTER L,32775,7,"2013,2014,2016,2017,2022,2023,2024",30391,1347,257,378,16,334,52
cya,Latn,cya_Latn,Nopala Chatino,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,19474,7,"2013,2014,2016,2017,2022,2023,2024",18154,665,174,239,3,202,37
cya,Latn,cya_Latn,Nopala Chatino,",",Po,COMMA,18923,7,"2013,2014,2016,2017,2022,2023,2024",17610,740,160,216,5,142,50
cya,Latn,cya_Latn,Nopala Chatino,d,Ll,LATIN SMALL LETTER D,17407,7,"2013,2014,2016,2017,2022,2023,2024",16096,668,169,205,10,201,58
cya,Latn,cya_Latn,Nopala Chatino,m,Ll,LATIN SMALL LETTER M,15961,7,"2013,2014,2016,2017,2022,2023,2024",14729,666,126,218,5,163,54
cya,Latn,cya_Latn,Nopala Chatino,j,Ll,LATIN SMALL LETTER J,9052,7,"2013,2014,2016,2017,2022,2023,2024",8335,367,113,120,2,94,21
cya,Latn,cya_Latn,Nopala Chatino,.,Po,FULL STOP,8396,7,"2013,2014,2016,2017,2022,2023,2024",7796,306,72,114,2,90,16
cya,Latn,cya_Latn,Nopala Chatino,g,Ll,LATIN SMALL LETTER G,7861,7,"2013,2014,2016,2017,2022,2023,2024",7314,325,65,78,3,57,19
cya,Latn,cya_Latn,Nopala Chatino,q,Ll,LATIN SMALL LETTER Q,7263,7,"2013,2014,2016,2017,2022,2023,2024",6753,303,61,57,9,70,10
cya,Latn,cya_Latn,Nopala Chatino,x,Ll,LATIN SMALL LETTER X,7057,7,"2013,2014,2016,2017,2022,2023,2024",6571,291,45,76,2,52,20
cya,Latn,cya_Latn,Nopala Chatino,r,Ll,LATIN SMALL LETTER R,5184,7,"2013,2014,2016,2017,2022,2023,2024",4842,167,35,53,5,72,10
cya,Latn,cya_Latn,Nopala Chatino,N,Lu,LATIN CAPITAL LETTER N,4983,7,"2013,2014,2016,2017,2022,2023,2024",4591,184,46,72,2,69,19
cya,Latn,cya_Latn,Nopala Chatino,1,Nd,DIGIT ONE,3823,6,"2013,2014,2016,2017,2023,2024",3567,142,36,37,0,29,12
cya,Latn,cya_Latn,Nopala Chatino,C,Lu,LATIN CAPITAL LETTER C,3145,7,"2013,2014,2016,2017,2022,2023,2024",2933,97,33,26,3,38,15
cya,Latn,cya_Latn,Nopala Chatino,2,Nd,DIGIT TWO,2858,6,"2013,2014,2016,2017,2023,2024",2683,118,18,25,0,12,2
cya,Latn,cya_Latn,Nopala Chatino,:,Po,COLON,2496,7,"2013,2014,2016,2017,2022,2023,2024",2369,55,19,48,1,3,1
cya,Latn,cya_Latn,Nopala Chatino,X,Lu,LATIN CAPITAL LETTER X,2485,6,"2013,2014,2016,2017,2022,2023",2366,66,9,23,1,20,0
cya,Latn,cya_Latn,Nopala Chatino,J,Lu,LATIN CAPITAL LETTER J,2209,6,"2013,2014,2016,2017,2023,2024",2110,32,16,32,0,18,1
cya,Latn,cya_Latn,Nopala Chatino,3,Nd,DIGIT THREE,2034,6,"2013,2014,2016,2017,2023,2024",1925,70,9,21,0,7,2
cya,Latn,cya_Latn,Nopala Chatino,S,Lu,LATIN CAPITAL LETTER S,2006,6,"2013,2014,2016,2017,2023,2024",1883,74,12,14,0,20,3
cya,Latn,cya_Latn,Nopala Chatino,T,Lu,LATIN CAPITAL LETTER T,1772,7,"2013,2014,2016,2017,2022,2023,2024",1657,58,12,29,1,13,2
