iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
dak,Latn,dak_Latn,Dakota, ,Zs,SPACE,1240216,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",234861,108107,309088,472890,57196,4069,1282,14977,35039,595,1755,357
dak,Latn,dak_Latn,Dakota,a,Ll,LATIN SMALL LETTER A,1053175,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",200878,93346,264188,396924,46732,3840,1161,13428,30343,486,1520,329
dak,Latn,dak_Latn,Dakota,n,Ll,LATIN SMALL LETTER N,684628,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",129970,61067,168850,256225,33793,2849,606,8992,20950,294,876,156
dak,Latn,dak_Latn,Dakota,i,Ll,LATIN SMALL LETTER I,678633,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",130173,60870,168122,255007,31914,2783,735,8466,18963,324,1065,211
dak,Latn,dak_Latn,Dakota,e,Ll,LATIN SMALL LETTER E,524009,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",105539,47672,128946,196685,22461,1603,552,5559,13819,271,744,158
dak,Latn,dak_Latn,Dakota,k,Ll,LATIN SMALL LETTER K,378554,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",69647,33374,93327,142462,17976,1662,533,5442,13159,196,647,129
dak,Latn,dak_Latn,Dakota,o,Ll,LATIN SMALL LETTER O,320896,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",63371,28899,79687,121567,14156,972,339,3697,7551,136,455,66
dak,Latn,dak_Latn,Dakota,t,Ll,LATIN SMALL LETTER T,316558,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",62774,29347,77901,118489,13945,1192,307,3729,8171,140,482,81
dak,Latn,dak_Latn,Dakota,c,Ll,LATIN SMALL LETTER C,233811,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",45321,20555,57402,87641,10839,872,286,2818,7574,107,312,84
dak,Latn,dak_Latn,Dakota,h,Ll,LATIN SMALL LETTER H,223073,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",43435,19953,55832,84138,9055,777,230,2827,6190,134,417,85
