iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2022_frequency,year_2023_frequency
ded,Latn,ded_Latn,Dedua, ,Zs,SPACE,507019,6,"2017,2018,2019,2020,2022,2023",13941,204038,214372,59640,6792,8236
ded,Latn,ded_Latn,Dedua,e,Ll,LATIN SMALL LETTER E,394207,6,"2017,2018,2019,2020,2022,2023",11612,158320,165123,46999,5802,6351
ded,Latn,ded_Latn,Dedua,a,Ll,LATIN SMALL LETTER A,345072,6,"2017,2018,2019,2020,2022,2023",11002,141133,140688,40259,5321,6669
ded,Latn,ded_Latn,Dedua,n,Ll,LATIN SMALL LETTER N,292661,6,"2017,2018,2019,2020,2022,2023",9793,120426,118186,33992,4818,5446
ded,Latn,ded_Latn,Dedua,g,Ll,LATIN SMALL LETTER G,202259,6,"2017,2018,2019,2020,2022,2023",7173,81817,81688,23869,3544,4168
ded,Latn,ded_Latn,Dedua,i,Ll,LATIN SMALL LETTER I,199320,6,"2017,2018,2019,2020,2022,2023",6022,80004,83174,23400,2866,3854
ded,Latn,ded_Latn,Dedua,c,Ll,LATIN SMALL LETTER C,197961,6,"2017,2018,2019,2020,2022,2023",6648,81120,79786,23091,3233,4083
ded,Latn,ded_Latn,Dedua,o,Ll,LATIN SMALL LETTER O,187761,6,"2017,2018,2019,2020,2022,2023",4997,71454,83184,22961,2366,2799
ded,Latn,ded_Latn,Dedua,m,Ll,LATIN SMALL LETTER M,155941,6,"2017,2018,2019,2020,2022,2023",4794,61445,65981,18394,2488,2839
ded,Latn,ded_Latn,Dedua,u,Ll,LATIN SMALL LETTER U,118355,6,"2017,2018,2019,2020,2022,2023",4171,48199,48321,13383,1950,2331
ded,Latn,ded_Latn,Dedua,r,Ll,LATIN SMALL LETTER R,111529,6,"2017,2018,2019,2020,2022,2023",2079,40331,52837,14362,860,1060
ded,Latn,ded_Latn,Dedua,s,Ll,LATIN SMALL LETTER S,102384,6,"2017,2018,2019,2020,2022,2023",2100,41040,44728,12351,1001,1164
ded,Latn,ded_Latn,Dedua,d,Ll,LATIN SMALL LETTER D,88908,6,"2017,2018,2019,2020,2022,2023",2419,34508,38289,11234,1139,1319
ded,Latn,ded_Latn,Dedua,t,Ll,LATIN SMALL LETTER T,73296,6,"2017,2018,2019,2020,2022,2023",1044,27011,34762,9328,489,662
ded,Latn,ded_Latn,Dedua,h,Ll,LATIN SMALL LETTER H,68804,6,"2017,2018,2019,2020,2022,2023",1078,26330,31735,8385,547,729
ded,Latn,ded_Latn,Dedua,k,Ll,LATIN SMALL LETTER K,63368,6,"2017,2018,2019,2020,2022,2023",2123,25700,25834,7507,951,1253
ded,Latn,ded_Latn,Dedua,y,Ll,LATIN SMALL LETTER Y,54535,6,"2017,2018,2019,2020,2022,2023",1622,22930,21932,6222,837,992
