iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2016_frequency,year_2017_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
dga,Latn,dga_Latn,Southern Dagaare, ,Zs,SPACE,89592,9,"2013,2016,2017,2019,2020,2021,2022,2023,2024",2521,245,3048,31233,2401,2277,3416,33248,11203
dga,Latn,dga_Latn,Southern Dagaare,a,Ll,LATIN SMALL LETTER A,62106,9,"2013,2016,2017,2019,2020,2021,2022,2023,2024",1691,151,2430,20364,1693,1580,1861,24027,8309
dga,Latn,dga_Latn,Southern Dagaare,e,Ll,LATIN SMALL LETTER E,32326,9,"2013,2016,2017,2019,2020,2021,2022,2023,2024",841,59,1070,9750,1000,865,1340,12569,4832
dga,Latn,dga_Latn,Southern Dagaare,o,Ll,LATIN SMALL LETTER O,21437,9,"2013,2016,2017,2019,2020,2021,2022,2023,2024",717,54,641,6363,754,676,997,8472,2763
dga,Latn,dga_Latn,Southern Dagaare,n,Ll,LATIN SMALL LETTER N,21030,9,"2013,2016,2017,2019,2020,2021,2022,2023,2024",990,30,892,6231,649,589,704,8198,2747
dga,Latn,dga_Latn,Southern Dagaare,i,Ll,LATIN SMALL LETTER I,16124,9,"2013,2016,2017,2019,2020,2021,2022,2023,2024",256,45,572,4114,500,475,866,6497,2799
dga,Latn,dga_Latn,Southern Dagaare,l,Ll,LATIN SMALL LETTER L,13989,9,"2013,2016,2017,2019,2020,2021,2022,2023,2024",278,13,404,4411,397,418,641,5441,1986
dga,Latn,dga_Latn,Southern Dagaare,ɛ,Ll,LATIN SMALL LETTER OPEN E,11945,8,"2013,2017,2019,2020,2021,2022,2023,2024",467,0,461,4857,352,205,213,4195,1195
dga,Latn,dga_Latn,Southern Dagaare,r,Ll,LATIN SMALL LETTER R,11899,9,"2013,2016,2017,2019,2020,2021,2022,2023,2024",299,26,401,3205,465,407,642,4545,1909
dga,Latn,dga_Latn,Southern Dagaare,b,Ll,LATIN SMALL LETTER B,11880,9,"2013,2016,2017,2019,2020,2021,2022,2023,2024",381,53,468,4047,318,311,303,4441,1558
