iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency
dhm,Latn,dhm_Latn,Zemba, ,Zs,SPACE,85064,4,"2014,2017,2018,2019",907,22002,61598,557
dhm,Latn,dhm_Latn,Zemba,a,Ll,LATIN SMALL LETTER A,70689,4,"2014,2017,2018,2019",807,17245,52120,517
dhm,Latn,dhm_Latn,Zemba,o,Ll,LATIN SMALL LETTER O,37082,4,"2014,2017,2018,2019",305,8513,28063,201
dhm,Latn,dhm_Latn,Zemba,e,Ll,LATIN SMALL LETTER E,35321,4,"2014,2017,2018,2019",386,8757,26013,165
dhm,Latn,dhm_Latn,Zemba,u,Ll,LATIN SMALL LETTER U,29563,4,"2014,2017,2018,2019",306,7421,21557,279
dhm,Latn,dhm_Latn,Zemba,n,Ll,LATIN SMALL LETTER N,28288,4,"2014,2017,2018,2019",325,6556,21285,122
dhm,Latn,dhm_Latn,Zemba,i,Ll,LATIN SMALL LETTER I,26221,4,"2014,2017,2018,2019",271,6113,19680,157
dhm,Latn,dhm_Latn,Zemba,m,Ll,LATIN SMALL LETTER M,23507,4,"2014,2017,2018,2019",225,5865,17237,180
dhm,Latn,dhm_Latn,Zemba,l,Ll,LATIN SMALL LETTER L,20777,4,"2014,2017,2018,2019",224,4997,15415,141
dhm,Latn,dhm_Latn,Zemba,t,Ll,LATIN SMALL LETTER T,20399,4,"2014,2017,2018,2019",239,4836,15217,107
dhm,Latn,dhm_Latn,Zemba,k,Ll,LATIN SMALL LETTER K,18276,4,"2014,2017,2018,2019",144,4405,13560,167
dhm,Latn,dhm_Latn,Zemba,h,Ll,LATIN SMALL LETTER H,17757,4,"2014,2017,2018,2019",162,4219,13296,80
dhm,Latn,dhm_Latn,Zemba,y,Ll,LATIN SMALL LETTER Y,13931,4,"2014,2017,2018,2019",170,3403,10229,129
dhm,Latn,dhm_Latn,Zemba,v,Ll,LATIN SMALL LETTER V,12868,4,"2014,2017,2018,2019",111,2875,9847,35
dhm,Latn,dhm_Latn,Zemba,w,Ll,LATIN SMALL LETTER W,11529,4,"2014,2017,2018,2019",118,2764,8522,125
dhm,Latn,dhm_Latn,Zemba,d,Ll,LATIN SMALL LETTER D,9712,4,"2014,2017,2018,2019",75,2346,7247,44
