iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2024_frequency
dis,Latn,dis_Latn,Dimasa, ,Zs,SPACE,4914,4,"2017,2018,2019,2024",206,2165,1669,874
dis,Latn,dis_Latn,Dimasa,a,Ll,LATIN SMALL LETTER A,4287,4,"2017,2018,2019,2024",151,1983,1310,843
dis,Latn,dis_Latn,Dimasa,i,Ll,LATIN SMALL LETTER I,2881,4,"2017,2018,2019,2024",97,1426,920,438
dis,Latn,dis_Latn,Dimasa,h,Ll,LATIN SMALL LETTER H,2372,4,"2017,2018,2019,2024",97,1174,764,337
dis,Latn,dis_Latn,Dimasa,n,Ll,LATIN SMALL LETTER N,2310,4,"2017,2018,2019,2024",72,1096,691,451
dis,Latn,dis_Latn,Dimasa,o,Ll,LATIN SMALL LETTER O,1433,4,"2017,2018,2019,2024",58,579,530,266
dis,Latn,dis_Latn,Dimasa,g,Ll,LATIN SMALL LETTER G,1204,4,"2017,2018,2019,2024",35,532,358,279
dis,Latn,dis_Latn,Dimasa,e,Ll,LATIN SMALL LETTER E,1182,4,"2017,2018,2019,2024",38,470,414,260
dis,Latn,dis_Latn,Dimasa,b,Ll,LATIN SMALL LETTER B,1081,4,"2017,2018,2019,2024",42,494,416,129
dis,Latn,dis_Latn,Dimasa,s,Ll,LATIN SMALL LETTER S,1038,4,"2017,2018,2019,2024",42,460,375,161
dis,Latn,dis_Latn,Dimasa,r,Ll,LATIN SMALL LETTER R,837,4,"2017,2018,2019,2024",24,384,315,114
dis,Latn,dis_Latn,Dimasa,d,Ll,LATIN SMALL LETTER D,792,4,"2017,2018,2019,2024",35,317,206,234
dis,Latn,dis_Latn,Dimasa,k,Ll,LATIN SMALL LETTER K,750,4,"2017,2018,2019,2024",26,370,236,118
dis,Latn,dis_Latn,Dimasa,u,Ll,LATIN SMALL LETTER U,745,4,"2017,2018,2019,2024",28,354,203,160
dis,Latn,dis_Latn,Dimasa,t,Ll,LATIN SMALL LETTER T,668,4,"2017,2018,2019,2024",16,294,216,142
dis,Latn,dis_Latn,Dimasa,m,Ll,LATIN SMALL LETTER M,657,4,"2017,2018,2019,2024",20,325,197,115
dis,Latn,dis_Latn,Dimasa,l,Ll,LATIN SMALL LETTER L,579,4,"2017,2018,2019,2024",22,244,167,146
dis,Latn,dis_Latn,Dimasa,j,Ll,LATIN SMALL LETTER J,506,4,"2017,2018,2019,2024",10,258,119,119
dis,Latn,dis_Latn,Dimasa,p,Ll,LATIN SMALL LETTER P,380,4,"2017,2018,2019,2024",20,188,130,42
dis,Latn,dis_Latn,Dimasa,",",Po,COMMA,356,4,"2017,2018,2019,2024",17,161,147,31
dis,Latn,dis_Latn,Dimasa,y,Ll,LATIN SMALL LETTER Y,279,4,"2017,2018,2019,2024",14,109,106,50
dis,Latn,dis_Latn,Dimasa,.,Po,FULL STOP,270,4,"2017,2018,2019,2024",7,138,99,26
dis,Latn,dis_Latn,Dimasa,B,Lu,LATIN CAPITAL LETTER B,134,4,"2017,2018,2019,2024",1,61,51,21
dis,Latn,dis_Latn,Dimasa,J,Lu,LATIN CAPITAL LETTER J,132,4,"2017,2018,2019,2024",1,77,53,1
dis,Latn,dis_Latn,Dimasa,M,Lu,LATIN CAPITAL LETTER M,91,4,"2017,2018,2019,2024",4,28,44,15
dis,Latn,dis_Latn,Dimasa,1,Nd,DIGIT ONE,74,3,"2017,2018,2019",12,23,39,0
dis,Latn,dis_Latn,Dimasa,-,Pd,HYPHEN-MINUS,67,4,"2017,2018,2019,2024",1,49,14,3
dis,Latn,dis_Latn,Dimasa,N,Lu,LATIN CAPITAL LETTER N,65,4,"2017,2018,2019,2024",1,36,27,1
dis,Latn,dis_Latn,Dimasa,A,Lu,LATIN CAPITAL LETTER A,63,4,"2017,2018,2019,2024",2,36,22,3
dis,Latn,dis_Latn,Dimasa,:,Po,COLON,58,4,"2017,2018,2019,2024",2,17,8,31
dis,Latn,dis_Latn,Dimasa,S,Lu,LATIN CAPITAL LETTER S,54,4,"2017,2018,2019,2024",2,34,11,7
dis,Latn,dis_Latn,Dimasa,G,Lu,LATIN CAPITAL LETTER G,46,4,"2017,2018,2019,2024",1,31,13,1
dis,Latn,dis_Latn,Dimasa,|,Sm,VERTICAL LINE,46,1,2019,0,0,46,0
dis,Latn,dis_Latn,Dimasa,c,Ll,LATIN SMALL LETTER C,45,3,"2018,2019,2024",0,16,18,11
dis,Latn,dis_Latn,Dimasa,K,Lu,LATIN CAPITAL LETTER K,45,3,"2018,2019,2024",0,27,11,7
dis,Latn,dis_Latn,Dimasa,H,Lu,LATIN CAPITAL LETTER H,45,3,"2018,2019,2024",0,8,9,28
dis,Latn,dis_Latn,Dimasa,0,Nd,DIGIT ZERO,43,3,"2017,2018,2019",2,5,36,0
dis,Latn,dis_Latn,Dimasa,w,Ll,LATIN SMALL LETTER W,43,4,"2017,2018,2019,2024",1,4,4,34
dis,Latn,dis_Latn,Dimasa,D,Lu,LATIN CAPITAL LETTER D,41,4,"2017,2018,2019,2024",1,11,21,8
dis,Latn,dis_Latn,Dimasa,2,Nd,DIGIT TWO,41,3,"2017,2018,2019",1,14,26,0
dis,Latn,dis_Latn,Dimasa,P,Lu,LATIN CAPITAL LETTER P,36,3,"2018,2019,2024",0,6,29,1
dis,Latn,dis_Latn,Dimasa,E,Lu,LATIN CAPITAL LETTER E,36,4,"2017,2018,2019,2024",3,16,12,5
dis,Latn,dis_Latn,Dimasa,v,Ll,LATIN SMALL LETTER V,31,3,"2018,2019,2024",0,12,2,17
dis,Latn,dis_Latn,Dimasa,3,Nd,DIGIT THREE,30,3,"2017,2018,2019",1,8,21,0
dis,Latn,dis_Latn,Dimasa,4,Nd,DIGIT FOUR,28,3,"2017,2018,2019",1,3,24,0
dis,Latn,dis_Latn,Dimasa,f,Ll,LATIN SMALL LETTER F,28,3,"2018,2019,2024",0,10,3,15
dis,Latn,dis_Latn,Dimasa,8,Nd,DIGIT EIGHT,26,3,"2017,2018,2019",2,5,19,0
dis,Latn,dis_Latn,Dimasa,O,Lu,LATIN CAPITAL LETTER O,24,4,"2017,2018,2019,2024",3,11,9,1
dis,Latn,dis_Latn,Dimasa,6,Nd,DIGIT SIX,23,3,"2017,2018,2019",2,2,19,0
dis,Latn,dis_Latn,Dimasa,z,Ll,LATIN SMALL LETTER Z,23,3,"2018,2019,2024",0,18,4,1
dis,Latn,dis_Latn,Dimasa,),Pe,RIGHT PARENTHESIS,22,4,"2017,2018,2019,2024",1,11,5,5
dis,Latn,dis_Latn,Dimasa,R,Lu,LATIN CAPITAL LETTER R,22,3,"2018,2019,2024",0,15,6,1
dis,Latn,dis_Latn,Dimasa,5,Nd,DIGIT FIVE,21,3,"2017,2018,2019",1,7,13,0
dis,Latn,dis_Latn,Dimasa,(,Ps,LEFT PARENTHESIS,21,4,"2017,2018,2019,2024",1,10,5,5
dis,Latn,dis_Latn,Dimasa,7,Nd,DIGIT SEVEN,19,3,"2017,2018,2019",1,5,13,0
dis,Latn,dis_Latn,Dimasa,?,Po,QUESTION MARK,19,2,"2018,2019",0,7,12,0
dis,Latn,dis_Latn,Dimasa,I,Lu,LATIN CAPITAL LETTER I,17,4,"2017,2018,2019,2024",1,7,7,2
dis,Latn,dis_Latn,Dimasa,“,Pi,LEFT DOUBLE QUOTATION MARK,16,1,2018,0,16,0,0
dis,Latn,dis_Latn,Dimasa,”,Pf,RIGHT DOUBLE QUOTATION MARK,15,1,2018,0,15,0,0
dis,Latn,dis_Latn,Dimasa,×,Sm,MULTIPLICATION SIGN,15,1,2019,0,0,15,0
dis,Latn,dis_Latn,Dimasa,;,Po,SEMICOLON,14,2,"2018,2019",0,7,7,0
dis,Latn,dis_Latn,Dimasa,9,Nd,DIGIT NINE,14,2,"2018,2019",0,4,10,0
dis,Latn,dis_Latn,Dimasa,!,Po,EXCLAMATION MARK,14,3,"2018,2019,2024",0,2,7,5
dis,Latn,dis_Latn,Dimasa,T,Lu,LATIN CAPITAL LETTER T,14,4,"2017,2018,2019,2024",1,6,4,3
dis,Latn,dis_Latn,Dimasa,L,Lu,LATIN CAPITAL LETTER L,10,3,"2018,2019,2024",0,4,5,1
dis,Latn,dis_Latn,Dimasa,@,Po,COMMERCIAL AT,6,1,2018,0,6,0,0
dis,Latn,dis_Latn,Dimasa,Y,Lu,LATIN CAPITAL LETTER Y,6,2,"2017,2018",1,5,0,0
dis,Latn,dis_Latn,Dimasa,F,Lu,LATIN CAPITAL LETTER F,5,1,2019,0,0,5,0
dis,Latn,dis_Latn,Dimasa,C,Lu,LATIN CAPITAL LETTER C,5,3,"2018,2019,2024",0,1,3,1
dis,Latn,dis_Latn,Dimasa,U,Lu,LATIN CAPITAL LETTER U,4,2,"2018,2019",0,3,1,0
dis,Latn,dis_Latn,Dimasa,x,Ll,LATIN SMALL LETTER X,4,2,"2018,2019",0,3,1,0
dis,Latn,dis_Latn,Dimasa,Z,Lu,LATIN CAPITAL LETTER Z,3,1,2018,0,3,0,0
dis,Latn,dis_Latn,Dimasa,V,Lu,LATIN CAPITAL LETTER V,3,2,"2018,2019",0,1,2,0
dis,Latn,dis_Latn,Dimasa,q,Ll,LATIN SMALL LETTER Q,3,1,2018,0,3,0,0
dis,Latn,dis_Latn,Dimasa,–,Pd,EN DASH,2,1,2019,0,0,2,0
dis,Latn,dis_Latn,Dimasa,/,Po,SOLIDUS,2,1,2019,0,0,2,0
dis,Latn,dis_Latn,Dimasa,"""",Po,QUOTATION MARK,2,1,2024,0,0,0,2
dis,Latn,dis_Latn,Dimasa,Q,Lu,LATIN CAPITAL LETTER Q,1,1,2019,0,0,1,0
