iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
div,Thaa,div_Thaa,Dhivehi, ,Zs,SPACE,84238074,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",281091,181208,53050,71023,1583137,3376658,11969302,18115134,17653845,11571108,13970239,5412279
div,Thaa,div_Thaa,Dhivehi,ަ,Mn,THAANA ABAFILI,78030237,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",258646,176500,50839,63778,1522027,3168649,10980087,16437216,16306268,10760096,13116874,5189257
div,Thaa,div_Thaa,Dhivehi,ް,Mn,THAANA SUKUN,62494794,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",199994,128534,36363,47740,1161991,2510535,8861407,13332563,13040276,8567442,10475204,4132745
div,Thaa,div_Thaa,Dhivehi,އ,Lo,THAANA LETTER ALIFU,54750779,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",177335,118344,33721,45337,1049917,2213943,7743088,11583247,11433459,7587622,9146730,3618036
div,Thaa,div_Thaa,Dhivehi,ެ,Mn,THAANA EBEFILI,51601431,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",170145,117085,33889,44545,1037522,2125788,7262980,10784536,10830598,7210118,8625284,3358941
div,Thaa,div_Thaa,Dhivehi,ު,Mn,THAANA UBUFILI,49298518,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",163459,112387,32231,38896,958569,1986246,6954879,10444677,10257333,6741942,8300947,3306952
div,Thaa,div_Thaa,Dhivehi,ި,Mn,THAANA IBIFILI,43522449,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",137819,96987,28644,35639,828035,1758314,6129803,9227468,9166680,5957180,7281556,2874324
div,Thaa,div_Thaa,Dhivehi,ނ,Lo,THAANA LETTER NOONU,42659477,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",139163,96801,26939,35526,833251,1740738,6007407,9022455,8952154,5926831,7102975,2775237
div,Thaa,div_Thaa,Dhivehi,ާ,Mn,THAANA AABAAFILI,26667031,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",87531,55786,15756,21773,514783,1091443,3774652,5588884,5537152,3684105,4509909,1785257
div,Thaa,div_Thaa,Dhivehi,މ,Lo,THAANA LETTER MEEMU,26616094,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",88283,56774,16362,20983,509571,1076025,3753326,5625916,5556139,3616706,4494742,1801267
