iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency
dln,Latn,dln_Latn,Darlong, ,Zs,SPACE,26012,2,"2017,2018",22772,3240
dln,Latn,dln_Latn,Darlong,a,Ll,LATIN SMALL LETTER A,18358,2,"2017,2018",16383,1975
dln,Latn,dln_Latn,Darlong,n,Ll,LATIN SMALL LETTER N,13885,2,"2017,2018",11950,1935
dln,Latn,dln_Latn,Darlong,i,Ll,LATIN SMALL LETTER I,12904,2,"2017,2018",11230,1674
dln,Latn,dln_Latn,Darlong,h,Ll,LATIN SMALL LETTER H,9888,2,"2017,2018",8751,1137
dln,Latn,dln_Latn,Darlong,u,Ll,LATIN SMALL LETTER U,5084,2,"2017,2018",4461,623
dln,Latn,dln_Latn,Darlong,t,Ll,LATIN SMALL LETTER T,4904,2,"2017,2018",4376,528
dln,Latn,dln_Latn,Darlong,g,Ll,LATIN SMALL LETTER G,4382,2,"2017,2018",3827,555
dln,Latn,dln_Latn,Darlong,e,Ll,LATIN SMALL LETTER E,3807,2,"2017,2018",3408,399
dln,Latn,dln_Latn,Darlong,l,Ll,LATIN SMALL LETTER L,3654,2,"2017,2018",3194,460
dln,Latn,dln_Latn,Darlong,m,Ll,LATIN SMALL LETTER M,3638,2,"2017,2018",3178,460
dln,Latn,dln_Latn,Darlong,k,Ll,LATIN SMALL LETTER K,3160,2,"2017,2018",2707,453
dln,Latn,dln_Latn,Darlong,c,Ll,LATIN SMALL LETTER C,3074,2,"2017,2018",2684,390
dln,Latn,dln_Latn,Darlong,r,Ll,LATIN SMALL LETTER R,2775,2,"2017,2018",2473,302
dln,Latn,dln_Latn,Darlong,o,Ll,LATIN SMALL LETTER O,2553,2,"2017,2018",2152,401
dln,Latn,dln_Latn,Darlong,w,Ll,LATIN SMALL LETTER W,2099,2,"2017,2018",1882,217
dln,Latn,dln_Latn,Darlong,",",Po,COMMA,1827,2,"2017,2018",1670,157
dln,Latn,dln_Latn,Darlong,.,Po,FULL STOP,1564,2,"2017,2018",1327,237
dln,Latn,dln_Latn,Darlong,p,Ll,LATIN SMALL LETTER P,1491,2,"2017,2018",1355,136
dln,Latn,dln_Latn,Darlong,s,Ll,LATIN SMALL LETTER S,1479,2,"2017,2018",1333,146
dln,Latn,dln_Latn,Darlong,d,Ll,LATIN SMALL LETTER D,1070,2,"2017,2018",930,140
dln,Latn,dln_Latn,Darlong,A,Lu,LATIN CAPITAL LETTER A,639,2,"2017,2018",591,48
dln,Latn,dln_Latn,Darlong,z,Ll,LATIN SMALL LETTER Z,527,2,"2017,2018",436,91
