iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
dng,Cyrl,dng_Cyrl,Dungan, ,Zs,SPACE,54407,7,"2017,2018,2019,2020,2021,2022,2023",322,539,1392,17731,6384,7441,20598
dng,Cyrl,dng_Cyrl,Dungan,н,Ll,CYRILLIC SMALL LETTER EN,31894,7,"2017,2018,2019,2020,2021,2022,2023",123,278,705,10255,3719,4477,12337
dng,Cyrl,dng_Cyrl,Dungan,и,Ll,CYRILLIC SMALL LETTER I,24473,7,"2017,2018,2019,2020,2021,2022,2023",165,213,642,6248,2914,3782,10509
dng,Cyrl,dng_Cyrl,Dungan,у,Ll,CYRILLIC SMALL LETTER U,16408,7,"2017,2018,2019,2020,2021,2022,2023",105,174,421,5274,1815,2347,6272
dng,Cyrl,dng_Cyrl,Dungan,а,Ll,CYRILLIC SMALL LETTER A,15201,7,"2017,2018,2019,2020,2021,2022,2023",60,159,372,4295,1818,2311,6186
dng,Cyrl,dng_Cyrl,Dungan,ы,Ll,CYRILLIC SMALL LETTER YERU,15013,7,"2017,2018,2019,2020,2021,2022,2023",53,101,216,5658,1706,1933,5346
dng,Cyrl,dng_Cyrl,Dungan,д,Ll,CYRILLIC SMALL LETTER DE,12723,7,"2017,2018,2019,2020,2021,2022,2023",74,115,301,3694,1458,1901,5180
dng,Cyrl,dng_Cyrl,Dungan,о,Ll,CYRILLIC SMALL LETTER O,8769,7,"2017,2018,2019,2020,2021,2022,2023",40,81,203,2479,1185,1410,3371
dng,Cyrl,dng_Cyrl,Dungan,җ,Ll,CYRILLIC SMALL LETTER ZHE WITH DESCENDER,7553,7,"2017,2018,2019,2020,2021,2022,2023",26,45,117,3018,721,987,2639
dng,Cyrl,dng_Cyrl,Dungan,й,Ll,CYRILLIC SMALL LETTER SHORT I,7528,7,"2017,2018,2019,2020,2021,2022,2023",40,43,160,2994,897,950,2444
dng,Cyrl,dng_Cyrl,Dungan,ә,Ll,CYRILLIC SMALL LETTER SCHWA,6531,6,"2018,2019,2020,2021,2022,2023",0,42,156,2005,677,787,2864
dng,Cyrl,dng_Cyrl,Dungan,л,Ll,CYRILLIC SMALL LETTER EL,6504,7,"2017,2018,2019,2020,2021,2022,2023",39,67,232,1698,735,975,2758
dng,Cyrl,dng_Cyrl,Dungan,м,Ll,CYRILLIC SMALL LETTER EM,6192,7,"2017,2018,2019,2020,2021,2022,2023",48,77,144,1651,818,1018,2436
dng,Cyrl,dng_Cyrl,Dungan,з,Ll,CYRILLIC SMALL LETTER ZE,5652,7,"2017,2018,2019,2020,2021,2022,2023",28,82,190,1462,695,890,2305
dng,Cyrl,dng_Cyrl,Dungan,г,Ll,CYRILLIC SMALL LETTER GHE,5477,7,"2017,2018,2019,2020,2021,2022,2023",15,40,148,1683,586,831,2174
dng,Cyrl,dng_Cyrl,Dungan,э,Ll,CYRILLIC SMALL LETTER E,5285,7,"2017,2018,2019,2020,2021,2022,2023",37,61,198,1672,585,693,2039
dng,Cyrl,dng_Cyrl,Dungan,я,Ll,CYRILLIC SMALL LETTER YA,5229,7,"2017,2018,2019,2020,2021,2022,2023",18,30,111,1527,583,663,2297
