iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2016_frequency,year_2017_frequency,year_2022_frequency,year_2023_frequency
dnj,Latn,dnj_Latn,Dan, ,Zs,SPACE,357340,5,"2013,2016,2017,2022,2023",358,271049,55478,27729,2726
dnj,Latn,dnj_Latn,Dan,‐,Pd,HYPHEN,138933,4,"2016,2017,2022,2023",0,105673,21598,10704,958
dnj,Latn,dnj_Latn,Dan,a,Ll,LATIN SMALL LETTER A,123891,5,"2013,2016,2017,2022,2023",112,93361,19107,10461,850
dnj,Latn,dnj_Latn,Dan,',Po,APOSTROPHE,101554,5,"2013,2016,2017,2022,2023",66,78055,15875,6811,747
dnj,Latn,dnj_Latn,Dan,ö,Ll,LATIN SMALL LETTER O WITH DIAERESIS,68947,4,"2016,2017,2022,2023",0,53390,10755,4316,486
dnj,Latn,dnj_Latn,Dan,n,Ll,LATIN SMALL LETTER N,64426,5,"2013,2016,2017,2022,2023",83,48617,10022,5163,541
dnj,Latn,dnj_Latn,Dan,h,Ll,LATIN SMALL LETTER H,63107,5,"2013,2016,2017,2022,2023",65,46784,9677,6105,476
dnj,Latn,dnj_Latn,Dan,k,Ll,LATIN SMALL LETTER K,52713,5,"2013,2016,2017,2022,2023",34,39401,8399,4486,393
dnj,Latn,dnj_Latn,Dan,ë,Ll,LATIN SMALL LETTER E WITH DIAERESIS,45891,4,"2016,2017,2022,2023",0,35382,7346,2777,386
dnj,Latn,dnj_Latn,Dan,ɛ,Ll,LATIN SMALL LETTER OPEN E,45003,4,"2016,2017,2022,2023",0,33901,6927,3829,346
dnj,Latn,dnj_Latn,Dan,d,Ll,LATIN SMALL LETTER D,42673,5,"2013,2016,2017,2022,2023",41,31505,6644,4173,310
dnj,Latn,dnj_Latn,Dan,b,Ll,LATIN SMALL LETTER B,39162,5,"2013,2016,2017,2022,2023",45,29298,6071,3448,300
dnj,Latn,dnj_Latn,Dan,u,Ll,LATIN SMALL LETTER U,36150,5,"2013,2016,2017,2022,2023",70,28316,5771,1758,235
dnj,Latn,dnj_Latn,Dan,o,Ll,LATIN SMALL LETTER O,35382,5,"2013,2016,2017,2022,2023",116,27322,5665,2066,213
dnj,Latn,dnj_Latn,Dan,w,Ll,LATIN SMALL LETTER W,29679,5,"2013,2016,2017,2022,2023",55,22686,4604,2173,161
dnj,Latn,dnj_Latn,Dan,g,Ll,LATIN SMALL LETTER G,29525,5,"2013,2016,2017,2022,2023",31,22027,4673,2593,201
dnj,Latn,dnj_Latn,Dan,y,Ll,LATIN SMALL LETTER Y,28976,5,"2013,2016,2017,2022,2023",20,21878,4433,2460,185
dnj,Latn,dnj_Latn,Dan,꞊,Sk,MODIFIER LETTER SHORT EQUALS SIGN,28479,4,"2016,2017,2022,2023",0,21762,4412,2071,234
dnj,Latn,dnj_Latn,Dan,ɔ,Ll,LATIN SMALL LETTER OPEN O,27420,4,"2016,2017,2022,2023",0,20669,4175,2364,212
dnj,Latn,dnj_Latn,Dan,i,Ll,LATIN SMALL LETTER I,26863,5,"2013,2016,2017,2022,2023",34,20374,3959,2337,159
dnj,Latn,dnj_Latn,Dan,ü,Ll,LATIN SMALL LETTER U WITH DIAERESIS,21593,4,"2016,2017,2022,2023",0,16169,3465,1774,185
dnj,Latn,dnj_Latn,Dan,l,Ll,LATIN SMALL LETTER L,19172,5,"2013,2016,2017,2022,2023",17,15263,3033,775,84
dnj,Latn,dnj_Latn,Dan,s,Ll,LATIN SMALL LETTER S,18765,5,"2013,2016,2017,2022,2023",25,13961,3075,1612,92
dnj,Latn,dnj_Latn,Dan,p,Ll,LATIN SMALL LETTER P,18512,5,"2013,2016,2017,2022,2023",24,14275,2766,1325,122
dnj,Latn,dnj_Latn,Dan,m,Ll,LATIN SMALL LETTER M,17666,5,"2013,2016,2017,2022,2023",18,13438,2703,1376,131
dnj,Latn,dnj_Latn,Dan,",",Po,COMMA,16913,5,"2013,2016,2017,2022,2023",15,13096,2553,1112,137
dnj,Latn,dnj_Latn,Dan,t,Ll,LATIN SMALL LETTER T,13825,5,"2013,2016,2017,2022,2023",24,10310,2148,1251,92
dnj,Latn,dnj_Latn,Dan,e,Ll,LATIN SMALL LETTER E,12879,5,"2013,2016,2017,2022,2023",112,9806,2154,746,61
dnj,Latn,dnj_Latn,Dan,.,Po,FULL STOP,11242,5,"2013,2016,2017,2022,2023",16,8595,1711,820,100
dnj,Latn,dnj_Latn,Dan,z,Ll,LATIN SMALL LETTER Z,11240,5,"2013,2016,2017,2022,2023",11,8605,1715,855,54
dnj,Latn,dnj_Latn,Dan,Z,Lu,LATIN CAPITAL LETTER Z,5648,5,"2013,2016,2017,2022,2023",3,4593,907,122,23
dnj,Latn,dnj_Latn,Dan,Y,Lu,LATIN CAPITAL LETTER Y,4981,5,"2013,2016,2017,2022,2023",3,3904,698,340,36
dnj,Latn,dnj_Latn,Dan,1,Nd,DIGIT ONE,3922,5,"2013,2016,2017,2022,2023",7,2956,609,321,29
dnj,Latn,dnj_Latn,Dan,K,Lu,LATIN CAPITAL LETTER K,3701,5,"2013,2016,2017,2022,2023",2,2743,584,355,17
dnj,Latn,dnj_Latn,Dan,D,Lu,LATIN CAPITAL LETTER D,3135,5,"2013,2016,2017,2022,2023",4,2555,371,172,33
dnj,Latn,dnj_Latn,Dan,:,Po,COLON,2955,5,"2013,2016,2017,2022,2023",7,2430,427,78,13
dnj,Latn,dnj_Latn,Dan,2,Nd,DIGIT TWO,2916,5,"2013,2016,2017,2022,2023",2,2264,428,197,25
dnj,Latn,dnj_Latn,Dan,"""",Po,QUOTATION MARK,2366,4,"2013,2016,2017,2022",97,370,128,1771,0
